year,canton,diseasesGroup,diseases,species,count
2012,BE,Epidemics to be supervised,Campylobacteriosis,Cat,1
2012,BS,Epidemics to be supervised,Echinococcosis/hydatidosis,Fox,2
2012,ZH,Epidemics to be supervised,Equine viral arteritis,Horse,1
2012,BE,Epidemics to be supervised,Tularemia,Monkey,1
2012,SZ,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2012,TG,Epidemics to be fought,Paratuberculosis,Cattle,1
2012,TI,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,2
2012,VD,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Sheep,1
2012,VS,Epidemics to be fought,European foulbrood of honey bees,Bees,13
2012,VD,Epidemics to be fought,American foulbrood of honey bees,Bees,2
2012,FR,Epidemics to be supervised,Maedi-visna,Sheep,1
2012,VD,Epidemics to be fought,Paratuberculosis,Cattle,8
2012,SO,Epidemics to be supervised,Neosporosis,Cattle,2
2012,VD,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,13
2012,GL,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2012,VS,Epidemics to be supervised,Listeriosis,Sheep,1
2012,ZH,Epidemics to be supervised,Neosporosis,Cattle,3
2012,TI,Epidemics to be fought,Warble infestation,Cattle,1
2012,NE,Epidemics to be supervised,Campylobacteriosis,Dog,1
2012,JU,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2012,AG,Highly contagious epidemics,Newcastle disease,Pigeon,1
2012,SG,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
2012,VD,Epidemics to be fought,Salmonellosis,Dog,2
2012,VD,Epidemics to be supervised,Proliferative kidney disease,Fish,11
2012,ZH,Epidemics to be fought,Salmonellosis,Cat,1
2012,FR,Epidemics to be supervised,Enzootic abortion of ewes,Goat,2
2012,SO,Epidemics to be supervised,Q fever,Cattle,1
2012,LU,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,8
2012,GE,Epidemics to be fought,American foulbrood of honey bees,Bees,2
2012,GR,Epidemics to be supervised,Q fever,Cattle,3
2012,GR,Epidemics to be supervised,Ovine pulmonary adenomatosis,Goat,1
2012,VS,Epidemics to be supervised,Q fever,Goat,2
2012,GR,Epidemics to be supervised,Listeriosis,Sheep,1
2012,FR,Epidemics to be fought,Swine actinobacillosis,Pig,9
2012,NW,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,3
2012,TI,Epidemics to be supervised,Q fever,Goat,3
2012,AI,Epidemics to be eradicated,Porcine reproductive and respiratory syndrome,Pig,2
2012,ZH,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,3
2012,BE,Epidemics to be fought,Salmonellosis,Cattle,2
2012,JU,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,4
2012,SO,Epidemics to be supervised,Echinococcosis/hydatidosis,Cattle,1
2012,BE,Epidemics to be supervised,Listeriosis,Cattle,1
2012,NE,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,4
2012,ZH,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
2012,AR,Epidemics to be eradicated,Porcine reproductive and respiratory syndrome,Pig,1
2012,GE,Epidemics to be fought,European foulbrood of honey bees,Bees,2
2012,BE,Epidemics to be supervised,Toxoplasmosis,Goat,1
2012,LU,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,1
2012,AG,Epidemics to be fought,Salmonellosis,Cattle,1
2012,FR,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,2
2012,LU,Epidemics to be supervised,Maedi-visna,Goat,1
2012,BE,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2012,JU,Epidemics to be fought,Enzootic pneumonia of swine,Pig,1
2012,FR,Epidemics to be fought,American foulbrood of honey bees,Bees,1
2012,TI,Epidemics to be supervised,Q fever,Sheep,1
2012,OW,Epidemics to be fought,American foulbrood of honey bees,Bees,1
2012,TI,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,1
2012,UR,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2012,GR,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,1
