year,canton,diseasesGroup,diseases,species,count
2011,FR,Epidemics to be supervised,Cryptosporidiosis,Cattle,14
2011,FL,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,3
2011,BL,Epidemics to be fought,Salmonellosis,Cattle,1
2011,SO,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2011,TG,Epidemics to be fought,European foulbrood of honey bees,Bees,39
2011,VS,Epidemics to be fought,European foulbrood of honey bees,Bees,22
2011,SH,Epidemics to be fought,Avian chlamydiosis,Parrot,1
2011,BS,Epidemics to be fought,Salmonellosis,Other zoo animal,1
2011,TI,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,23
2011,TG,Epidemics to be supervised,Q fever,Cattle,4
2011,TG,Epidemics to be fought,Crayfish plague (Aphanomyces astaci),Crayfish,1
2011,FR,Epidemics to be supervised,Maedi-visna,Goat,5
2011,JU,Epidemics to be supervised,Q fever,Cattle,8
