Year,Type,Count,Degree of severity,Canton
2023,NEW,0,0,SH
2023,NEW,0,1,SH
2023,NEW,0,2,SH
2023,NEW,0,3,SH
2023,NEW,0,all,SH
2023,NEW,0,0,SO
2023,NEW,2,1,SO
2023,NEW,0,2,SO
2023,NEW,1,3,SO
2023,NEW,3,all,SO
2023,NEW,0,0,SZ
2023,NEW,0,1,SZ
2023,NEW,0,2,SZ
2023,NEW,0,3,SZ
2023,NEW,0,all,SZ
2023,NEW,1,0,TG
2023,NEW,0,1,TG
2023,NEW,0,2,TG
2023,NEW,0,3,TG
2023,NEW,1,all,TG
2023,NEW,1,0,TI
2023,NEW,6,1,TI
2023,NEW,20,2,TI
2023,NEW,5,3,TI
2023,NEW,32,all,TI
2023,NEW,15,0,VD
2023,NEW,18,1,VD
2023,NEW,56,2,VD
2023,NEW,19,3,VD
2023,NEW,108,all,VD
2023,NEW,1,0,VS
2023,NEW,2,1,VS
2023,NEW,0,2,VS
2023,NEW,0,3,VS
2023,NEW,3,all,VS
2023,NEW,0,0,ZG
2023,NEW,0,1,ZG
2023,NEW,1,2,ZG
2023,NEW,0,3,ZG
2023,NEW,1,all,ZG
2023,NEW,23,0,ZH
2023,NEW,37,1,ZH
2023,NEW,78,2,ZH
2023,NEW,25,3,ZH
2023,NEW,163,all,ZH
2023,REKURS,0,all,BE
2023,REKURS,1,all,CH
2023,REKURS,1,all,GE
2024,ACTIVE,2245,all,CH
2024,CONTINUATION,0,0,AG
2024,CONTINUATION,0,1,AG
2024,CONTINUATION,3,2,AG
2024,CONTINUATION,0,3,AG
2024,CONTINUATION,3,all,AG
2024,CONTINUATION,6,0,BE
2024,CONTINUATION,5,1,BE
2024,CONTINUATION,16,2,BE
2024,CONTINUATION,10,3,BE
2024,CONTINUATION,37,all,BE
2024,CONTINUATION,2,0,BL
2024,CONTINUATION,4,1,BL
2024,CONTINUATION,14,2,BL
2024,CONTINUATION,2,3,BL
2024,CONTINUATION,22,all,BL
2024,CONTINUATION,7,0,BS
2024,CONTINUATION,6,1,BS
2024,CONTINUATION,45,2,BS
2024,CONTINUATION,21,3,BS
2024,CONTINUATION,79,all,BS
2024,CONTINUATION,32,0,CH
2024,CONTINUATION,31,1,CH
2024,CONTINUATION,127,2,CH
2024,CONTINUATION,59,3,CH
2024,CONTINUATION,249,all,CH
2024,CONTINUATION,3,0,FR
2024,CONTINUATION,0,1,FR
2024,CONTINUATION,4,2,FR
2024,CONTINUATION,1,3,FR
2024,CONTINUATION,8,all,FR
2024,CONTINUATION,1,0,GE
2024,CONTINUATION,3,1,GE
2024,CONTINUATION,9,2,GE
2024,CONTINUATION,7,3,GE
2024,CONTINUATION,20,all,GE
2024,CONTINUATION,0,0,GR
2024,CONTINUATION,1,1,GR
2024,CONTINUATION,0,2,GR
2024,CONTINUATION,0,3,GR
2024,CONTINUATION,1,all,GR
2024,CONTINUATION,0,0,JU
2024,CONTINUATION,0,1,JU
2024,CONTINUATION,0,2,JU
2024,CONTINUATION,0,3,JU
2024,CONTINUATION,0,all,JU
2024,CONTINUATION,0,0,LU
2024,CONTINUATION,0,1,LU
2024,CONTINUATION,0,2,LU
2024,CONTINUATION,0,3,LU
2024,CONTINUATION,0,all,LU
2024,CONTINUATION,1,0,SG
2024,CONTINUATION,1,1,SG
2024,CONTINUATION,2,2,SG
2024,CONTINUATION,0,3,SG
2024,CONTINUATION,4,all,SG
2024,CONTINUATION,0,0,SO
2024,CONTINUATION,0,1,SO
2024,CONTINUATION,0,2,SO
2024,CONTINUATION,1,3,SO
2024,CONTINUATION,1,all,SO
2024,CONTINUATION,0,0,SZ
2024,CONTINUATION,0,1,SZ
2024,CONTINUATION,0,2,SZ
2024,CONTINUATION,0,3,SZ
2024,CONTINUATION,0,all,SZ
2024,CONTINUATION,0,0,TG
2024,CONTINUATION,0,1,TG
2024,CONTINUATION,0,2,TG
2024,CONTINUATION,0,3,TG
2024,CONTINUATION,0,all,TG
2024,CONTINUATION,0,0,TI
2024,CONTINUATION,0,1,TI
2024,CONTINUATION,1,2,TI
2024,CONTINUATION,1,3,TI
2024,CONTINUATION,2,all,TI
2024,CONTINUATION,7,0,VD
2024,CONTINUATION,4,1,VD
2024,CONTINUATION,17,2,VD
2024,CONTINUATION,6,3,VD
2024,CONTINUATION,34,all,VD
2024,CONTINUATION,0,0,VS
2024,CONTINUATION,0,1,VS
2024,CONTINUATION,0,2,VS
2024,CONTINUATION,0,3,VS
2024,CONTINUATION,0,all,VS
2024,CONTINUATION,0,0,ZG
2024,CONTINUATION,0,1,ZG
2024,CONTINUATION,1,2,ZG
2024,CONTINUATION,0,3,ZG
2024,CONTINUATION,1,all,ZG
2024,CONTINUATION,5,0,ZH
2024,CONTINUATION,7,1,ZH
2024,CONTINUATION,15,2,ZH
2024,CONTINUATION,10,3,ZH
2024,CONTINUATION,37,all,ZH
2024,INACTIVE,949,all,CH
2024,NEW,4,0,AG
2024,NEW,1,1,AG
2024,NEW,1,2,AG
2024,NEW,0,3,AG
2024,NEW,6,all,AG
2024,NEW,0,0,AR
2024,NEW,0,1,AR
2024,NEW,0,2,AR
2024,NEW,0,3,AR
2024,NEW,0,all,AR
2024,NEW,18,0,BE
2024,NEW,16,1,BE
2024,NEW,18,2,BE
2024,NEW,20,3,BE
2024,NEW,72,all,BE
2024,NEW,0,0,BL
2024,NEW,2,1,BL
2024,NEW,0,2,BL
2024,NEW,0,3,BL
2024,NEW,2,all,BL
2024,NEW,6,0,BS
2024,NEW,1,1,BS
2024,NEW,20,2,BS
2024,NEW,9,3,BS
2024,NEW,36,all,BS
2024,NEW,112,0,CH
2024,NEW,123,1,CH
2024,NEW,236,2,CH
2024,NEW,117,3,CH
2024,NEW,588,all,CH
2024,NEW,13,0,FR
2024,NEW,7,1,FR
2024,NEW,6,2,FR
2024,NEW,5,3,FR
2024,NEW,31,all,FR
2024,NEW,5,0,GE
2024,NEW,14,1,GE
2024,NEW,42,2,GE
2024,NEW,22,3,GE
2024,NEW,83,all,GE
2024,NEW,4,0,GR
2024,NEW,1,1,GR
2024,NEW,16,2,GR
2024,NEW,3,3,GR
2024,NEW,24,all,GR
2024,NEW,1,0,JU
2024,NEW,1,1,JU
2024,NEW,0,2,JU
2024,NEW,0,3,JU
2024,NEW,2,all,JU
2024,NEW,2,0,LU
2024,NEW,1,1,LU
2024,NEW,0,2,LU
2024,NEW,0,3,LU
2024,NEW,3,all,LU
2024,NEW,1,0,SG
2024,NEW,0,1,SG
2024,NEW,0,2,SG
2024,NEW,0,3,SG
2024,NEW,1,all,SG
2024,NEW,1,0,SH
2024,NEW,0,1,SH
2024,NEW,0,2,SH
2024,NEW,0,3,SH
2024,NEW,1,all,SH
2024,NEW,2,0,SO
2024,NEW,0,1,SO
2024,NEW,0,2,SO
2024,NEW,0,3,SO
2024,NEW,2,all,SO
2024,NEW,1,0,SZ
2024,NEW,0,1,SZ
2024,NEW,0,2,SZ
2024,NEW,0,3,SZ
2024,NEW,1,all,SZ
2024,NEW,1,0,TG
2024,NEW,0,1,TG
2024,NEW,0,2,TG
2024,NEW,0,3,TG
2024,NEW,1,all,TG
2024,NEW,1,0,TI
2024,NEW,6,1,TI
2024,NEW,21,2,TI
2024,NEW,5,3,TI
2024,NEW,33,all,TI
2024,NEW,22,0,VD
2024,NEW,24,1,VD
2024,NEW,43,2,VD
2024,NEW,20,3,VD
2024,NEW,109,all,VD
2024,NEW,0,0,VS
2024,NEW,1,1,VS
2024,NEW,0,2,VS
2024,NEW,0,3,VS
2024,NEW,1,all,VS
2024,NEW,0,0,ZG
2024,NEW,1,1,ZG
2024,NEW,0,2,ZG
2024,NEW,0,3,ZG
2024,NEW,1,all,ZG
2024,NEW,30,0,ZH
2024,NEW,47,1,ZH
2024,NEW,69,2,ZH
2024,NEW,33,3,ZH
2024,NEW,179,all,ZH
