ID,DE,FR,IT,EN
pc1,Früchte und Gemüse,Fruits et légumes,Frutta e verdura,Fruits and vegetables
pc2,Getreide oder Pseudogetreide,Céréales ou pseudo-céréales,Cereali e pseudocereali,Grains or pseudocereals
pc3,getrocknete Früchte,Fruits secs,Frutta secca,Dried fruits
pc4,Gewürze,Épices,Spezie,Spices
pc5,Kosmetika,Produits cosmétiques,Cosmetici,Cosmetics
pc6,Nüsse,Fruits à coque,Frutta oleaginosa,Nuts
pc7,Samen,Graines,Semi,Seeds
pc8,Diverses,Divers,Altro,Miscellaneous
