Geschlecht,Sprachregion,Altersgruppe,Frage,Antwort,Anzahl
g1,de,10bis13,c09B_07,a78,0
g1,CH,14bis17,c09B_08,a77,0
g2,it,All,c09B_11,a77,0
g2,fr,14bis17,c09B_07,a77,0
g2,CH,10bis13,c09B_03,a77,0
g1,CH,14bis17,c09B_09,a77,0
g1,CH,14bis17,c09B_02,a77,4
g2,de,10bis13,c09B_06,a77,4
g2,fr,All,c09B_11,a77,0
g2,CH,10bis13,c09B_04,a77,4
g2,CH,10bis13,c09B_02,a77,0
g1,CH,14bis17,c09B_12,a77,1
g1,CH,14bis17,c09B_03,a77,0
g2,de,6bis9,c09B_07,a77,0
g2,fr,All,c09B_12,a77,0
g2,CH,10bis13,c09B_01,a77,262
g2,fr,14bis17,c09B_12,a77,0
g2,de,10bis13,c09B_07,a77,1
g1,CH,14bis17,c09B_11,a77,0
g2,de,10bis13,c09B_05,a77,2
g2,CH,6bis9,c09B_02,a77,2
g2,de,6bis9,c09B_08,a77,0
g2,de,6bis9,c09B_09,a77,0
g2,fr,All,c09B_08,a77,0
g2,fr,14bis17,c09B_11,a77,0
g2,CH,10bis13,c09B_08,a77,0
g2,de,10bis13,c09B_03,a77,0
g2,de,6bis9,c09B_03,a77,0
g2,it,All,c09B_07,a77,0
g2,fr,All,c09B_09,a77,0
g2,CH,10bis13,c09B_07,a77,1
g1,CH,10bis13,c09B_12,a77,0
g2,de,10bis13,c09B_04,a77,4
g2,CH,10bis13,c09B_06,a77,4
g2,fr,10bis13,c09B_04,a77,0
g2,fr,All,c09B_10,a77,0
g2,CH,10bis13,c09B_05,a77,2
g2,it,All,c09B_12,a77,0
g1,CH,14bis17,c09B_01,a77,231
g2,CH,6bis9,c09B_12,a77,0
g2,it,All,c09B_08,a77,0
g1,CH,14bis17,c09B_04,a77,4
g2,it,All,c09B_09,a77,0
g1,CH,14bis17,c09B_06,a77,1
g2,CH,6bis9,c09B_06,a77,2
g2,de,10bis13,c09B_11,a77,0
g2,de,6bis9,c09B_05,a77,0
g2,de,6bis9,c09B_04,a77,0
g2,it,All,c09B_04,a77,1
g2,CH,6bis9,c09B_05,a77,0
g2,fr,10bis13,c09B_01,a77,47
g1,CH,14bis17,c09B_07,a77,1
g2,CH,10bis13,c09B_09,a77,0
g2,fr,10bis13,c09B_02,a77,0
g2,CH,6bis9,c09B_04,a77,0
g2,de,10bis13,c09B_12,a77,0
g2,CH,6bis9,c09B_03,a77,0
g2,it,All,c09B_05,a77,0
g2,fr,14bis17,c09B_09,a77,0
g2,de,6bis9,c09B_01,a77,223
g2,it,All,c09B_03,a77,0
g2,it,All,c09B_06,a77,0
g2,it,All,c09B_01,a77,39
g2,CH,6bis9,c09B_07,a77,0
g2,CH,6bis9,c09B_11,a77,0
g2,de,10bis13,c09B_08,a77,0
g2,fr,10bis13,c09B_03,a77,0
g2,de,6bis9,c09B_02,a77,2
g2,CH,6bis9,c09B_10,a77,0
g2,de,10bis13,c09B_09,a77,0
g1,CH,14bis17,c09B_10,a77,0
g2,it,All,c09B_10,a77,0
g2,de,6bis9,c09B_06,a77,2
g2,CH,6bis9,c09B_01,a77,283
g2,CH,6bis9,c09B_09,a77,0
g2,fr,14bis17,c09B_08,a77,0
g2,CH,6bis9,c09B_08,a77,0
g1,CH,14bis17,c09B_05,a77,0
g2,it,All,c09B_02,a77,0
g2,de,10bis13,c09B_10,a77,0
g2,fr,14bis17,c09B_10,a77,0
g1,it,All,c09B_08,a77,0
g2,de,14bis17,c09B_11,a77,0
g2,CH,10bis13,c09B_10,a77,0
g1,fr,All,c09B_03,a77,0
g2,de,All,c09B_02,a77,3
g2,fr,6bis9,c09B_08,a77,0
g2,fr,14bis17,c09B_02,a77,0
g1,fr,All,c09B_07,a77,0
g2,de,All,c09B_03,a77,0
g1,fr,All,c09B_06,a77,0
g2,fr,10bis13,c09B_10,a77,0
g1,fr,All,c09B_05,a77,0
g2,fr,6bis9,c09B_09,a77,0
g2,de,All,c09B_04,a77,7
g1,fr,All,c09B_04,a77,1
