Geschlecht,Sprachregion,Altersgruppe,Frage,Antwort,Anzahl
g1,it,6bis9,c09B_01,a78,0
g1,it,6bis9,c09B_02,a78,0
g1,it,6bis9,c09B_03,a78,0
All,fr,All,c09B_10,a78,0
All,de,6bis9,c09B_11,a78,0
All,de,6bis9,c09B_12,a78,0
All,de,10bis13,c09B_01,a78,0
All,de,10bis13,c09B_02,a78,0
All,fr,All,c09B_09,a78,0
All,de,10bis13,c09B_03,a78,0
All,de,10bis13,c09B_04,a78,0
All,de,10bis13,c09B_05,a78,0
All,de,10bis13,c09B_06,a78,0
All,fr,All,c09B_08,a78,0
All,CH,6bis9,c09B_01,a78,0
All,de,10bis13,c09B_08,a78,0
All,de,10bis13,c09B_09,a78,0
All,de,10bis13,c09B_10,a78,0
All,de,10bis13,c09B_11,a78,0
All,fr,All,c09B_07,a78,0
All,de,10bis13,c09B_12,a78,0
All,de,14bis17,c09B_01,a78,0
All,de,14bis17,c09B_02,a78,0
All,de,6bis9,c09B_10,a78,0
All,de,6bis9,c09B_09,a78,0
All,it,All,c09B_02,a78,0
All,de,6bis9,c09B_08,a78,0
g1,it,6bis9,c09B_04,a78,0
g1,it,6bis9,c09B_05,a78,0
g1,it,6bis9,c09B_06,a78,0
g1,it,6bis9,c09B_07,a78,0
g1,it,6bis9,c09B_08,a78,0
All,it,All,c09B_01,a78,0
g1,it,6bis9,c09B_09,a78,0
g1,it,6bis9,c09B_10,a78,0
g1,it,6bis9,c09B_11,a78,0
g1,it,6bis9,c09B_12,a78,0
All,fr,All,c09B_12,a78,0
All,de,6bis9,c09B_01,a78,0
All,de,6bis9,c09B_02,a78,0
All,de,6bis9,c09B_03,a78,0
All,de,6bis9,c09B_04,a78,0
All,de,6bis9,c09B_05,a78,0
All,fr,All,c09B_11,a78,0
All,de,6bis9,c09B_06,a78,0
All,de,6bis9,c09B_07,a78,0
All,it,14bis17,c09B_07,a78,0
All,de,All,c09B_01,a78,0
g1,de,10bis13,c09B_12,a78,0
g1,it,All,c09B_04,a78,0
g1,fr,All,c09B_09,a78,0
g1,fr,All,c09B_10,a78,0
g1,fr,All,c09B_11,a78,0
All,CH,10bis13,c09B_03,a78,0
g1,fr,All,c09B_12,a78,0
g1,it,All,c09B_01,a78,0
g1,it,All,c09B_02,a78,0
g1,it,All,c09B_03,a78,0
All,CH,10bis13,c09B_02,a78,0
g1,it,All,c09B_05,a78,0
All,CH,10bis13,c09B_08,a78,0
g1,it,All,c09B_06,a78,0
g1,it,All,c09B_07,a78,0
g1,it,All,c09B_08,a78,0
All,CH,10bis13,c09B_01,a78,0
g1,it,All,c09B_09,a78,0
g1,it,All,c09B_10,a78,0
g1,it,All,c09B_11,a78,0
g1,it,All,c09B_12,a78,0
All,CH,6bis9,c09B_12,a78,0
g1,fr,All,c09B_08,a78,0
g1,fr,All,c09B_07,a78,0
All,CH,10bis13,c09B_04,a78,0
g1,fr,All,c09B_06,a78,0
g1,de,All,c09B_02,a78,0
g1,de,All,c09B_03,a78,0
g1,de,All,c09B_04,a78,0
g1,de,All,c09B_05,a78,0
All,CH,10bis13,c09B_07,a78,0
g1,de,All,c09B_06,a78,0
g1,de,All,c09B_07,a78,0
g1,de,All,c09B_08,a78,0
g1,de,All,c09B_09,a78,0
All,CH,10bis13,c09B_06,a78,0
g1,de,All,c09B_10,a78,0
g1,de,All,c09B_11,a78,0
g1,de,All,c09B_12,a78,0
g1,fr,All,c09B_01,a78,0
g1,fr,All,c09B_02,a78,0
All,CH,10bis13,c09B_05,a78,0
g1,fr,All,c09B_03,a78,0
g1,fr,All,c09B_04,a78,0
g1,fr,All,c09B_05,a78,0
g2,de,All,c09B_01,a78,0
g2,de,All,c09B_02,a78,0
g2,de,All,c09B_03,a78,0
g2,fr,All,c09B_09,a78,0
g2,fr,All,c09B_10,a78,0
g2,fr,All,c09B_11,a78,0
g2,fr,All,c09B_12,a78,0
g2,it,All,c09B_01,a78,0
All,CH,6bis9,c09B_05,a78,0
g2,it,All,c09B_02,a78,0
g2,it,All,c09B_03,a78,0
g2,it,All,c09B_04,a78,0
All,CH,6bis9,c09B_04,a78,0
g2,it,All,c09B_05,a78,0
g2,it,All,c09B_06,a78,0
g2,it,All,c09B_07,a78,0
g2,it,All,c09B_08,a78,0
All,CH,6bis9,c09B_03,a78,0
g2,it,All,c09B_09,a78,0
g2,it,All,c09B_10,a78,0
g2,it,All,c09B_11,a78,0
All,CH,6bis9,c09B_02,a78,0
g2,it,All,c09B_12,a78,0
All,CH,6bis9,c09B_06,a78,0
g2,fr,All,c09B_08,a78,0
g2,de,All,c09B_04,a78,0
g2,fr,All,c09B_07,a78,0
All,CH,6bis9,c09B_11,a78,0
g2,de,All,c09B_05,a78,0
g2,de,All,c09B_06,a78,0
g2,de,All,c09B_07,a78,0
All,CH,6bis9,c09B_10,a78,0
g2,de,All,c09B_08,a78,0
g2,de,All,c09B_09,a78,0
g2,de,All,c09B_10,a78,0
g2,de,All,c09B_11,a78,0
All,CH,6bis9,c09B_09,a78,0
g2,de,All,c09B_12,a78,0
g2,fr,All,c09B_01,a78,0
g2,fr,All,c09B_02,a78,0
All,CH,6bis9,c09B_08,a78,0
g2,fr,All,c09B_03,a78,0
g2,fr,All,c09B_04,a78,0
g2,fr,All,c09B_05,a78,0
g2,fr,All,c09B_06,a78,0
All,CH,6bis9,c09B_07,a78,0
g1,de,All,c09B_01,a78,0
g2,CH,14bis17,c09B_12,a78,0
All,it,14bis17,c09B_09,a78,0
g1,CH,10bis13,c09B_12,a78,0
g1,CH,10bis13,c09B_05,a78,0
g1,CH,10bis13,c09B_06,a78,0
All,CH,14bis17,c09B_08,a78,0
g1,CH,10bis13,c09B_07,a78,0
g1,CH,10bis13,c09B_08,a78,0
g1,CH,10bis13,c09B_09,a78,0
g1,CH,10bis13,c09B_10,a78,0
g1,CH,10bis13,c09B_11,a78,0
All,CH,14bis17,c09B_07,a78,0
g1,CH,14bis17,c09B_01,a78,0
g2,CH,14bis17,c09B_11,a78,0
g1,CH,14bis17,c09B_02,a78,0
g1,CH,14bis17,c09B_03,a78,0
All,CH,14bis17,c09B_06,a78,0
g1,CH,14bis17,c09B_04,a78,0
g1,CH,14bis17,c09B_05,a78,0
g1,CH,14bis17,c09B_06,a78,0
g1,CH,14bis17,c09B_07,a78,0
g1,CH,14bis17,c09B_08,a78,0
All,CH,14bis17,c09B_05,a78,0
g1,CH,10bis13,c09B_04,a78,0
g1,CH,10bis13,c09B_03,a78,0
All,CH,14bis17,c09B_09,a78,0
g1,CH,10bis13,c09B_02,a78,0
All,it,14bis17,c09B_10,a78,0
All,it,14bis17,c09B_11,a78,0
All,it,14bis17,c09B_12,a78,0
All,CH,14bis17,c09B_12,a78,0
g1,CH,6bis9,c09B_01,a78,0
g1,CH,6bis9,c09B_02,a78,0
g1,CH,6bis9,c09B_03,a78,0
g1,CH,6bis9,c09B_04,a78,0
g1,CH,6bis9,c09B_05,a78,0
All,CH,14bis17,c09B_11,a78,0
g1,CH,6bis9,c09B_06,a78,0
g1,CH,6bis9,c09B_07,a78,0
g1,CH,6bis9,c09B_08,a78,0
g1,CH,6bis9,c09B_09,a78,0
All,CH,14bis17,c09B_10,a78,0
g1,CH,6bis9,c09B_10,a78,0
g1,CH,6bis9,c09B_11,a78,0
g1,CH,6bis9,c09B_12,a78,0
g1,CH,10bis13,c09B_01,a78,0
g1,CH,14bis17,c09B_09,a78,0
g1,CH,14bis17,c09B_10,a78,0
g1,CH,14bis17,c09B_11,a78,0
g2,CH,10bis13,c09B_06,a78,0
g2,CH,10bis13,c09B_07,a78,0
g2,CH,10bis13,c09B_08,a78,0
g2,CH,10bis13,c09B_09,a78,0
g2,CH,10bis13,c09B_10,a78,0
g2,CH,10bis13,c09B_11,a78,0
All,CH,10bis13,c09B_11,a78,0
g2,CH,10bis13,c09B_12,a78,0
g2,CH,14bis17,c09B_01,a78,0
g2,CH,14bis17,c09B_02,a78,0
g2,CH,14bis17,c09B_03,a78,0
All,CH,10bis13,c09B_10,a78,0
g2,CH,14bis17,c09B_04,a78,0
g2,CH,14bis17,c09B_05,a78,0
g2,CH,14bis17,c09B_06,a78,0
g2,CH,14bis17,c09B_07,a78,0
g2,CH,14bis17,c09B_08,a78,0
All,CH,10bis13,c09B_09,a78,0
g2,CH,14bis17,c09B_09,a78,0
g2,CH,14bis17,c09B_10,a78,0
All,CH,10bis13,c09B_12,a78,0
g2,CH,10bis13,c09B_05,a78,0
g1,CH,14bis17,c09B_12,a78,0
g2,CH,10bis13,c09B_04,a78,0
All,CH,14bis17,c09B_04,a78,0
g2,CH,6bis9,c09B_01,a78,0
g2,CH,6bis9,c09B_02,a78,0
g2,CH,6bis9,c09B_03,a78,0
g2,CH,6bis9,c09B_04,a78,0
g2,CH,6bis9,c09B_05,a78,0
All,CH,14bis17,c09B_03,a78,0
g2,CH,6bis9,c09B_06,a78,0
g2,CH,6bis9,c09B_07,a78,0
g2,CH,6bis9,c09B_08,a78,0
g2,CH,6bis9,c09B_09,a78,0
All,CH,14bis17,c09B_02,a78,0
g2,CH,6bis9,c09B_10,a78,0
g2,CH,6bis9,c09B_11,a78,0
g2,CH,6bis9,c09B_12,a78,0
g2,CH,10bis13,c09B_01,a78,0
g2,CH,10bis13,c09B_02,a78,0
All,CH,14bis17,c09B_01,a78,0
g2,CH,10bis13,c09B_03,a78,0
g1,de,6bis9,c09B_01,a78,0
All,de,10bis13,c09B_07,a78,0
g2,it,14bis17,c09B_12,a78,0
g2,de,14bis17,c09B_05,a78,0
g1,fr,14bis17,c09B_09,a78,0
g1,fr,14bis17,c09B_08,a78,0
g2,de,14bis17,c09B_01,a78,0
g1,fr,14bis17,c09B_07,a78,0
g2,de,14bis17,c09B_02,a78,0
g1,fr,14bis17,c09B_06,a78,0
g1,CH,All,c09B_11,a78,0
g2,de,14bis17,c09B_03,a78,0
g1,fr,14bis17,c09B_05,a78,0
g1,fr,14bis17,c09B_04,a78,0
g2,de,14bis17,c09B_04,a78,0
g1,fr,14bis17,c09B_03,a78,0
g1,fr,14bis17,c09B_02,a78,0
All,CH,All,c09B_03,a78,0
g1,fr,14bis17,c09B_01,a78,0
g2,fr,6bis9,c09B_12,a78,0
g1,CH,All,c09B_12,a78,0
g2,it,6bis9,c09B_12,a78,0
g2,de,14bis17,c09B_06,a78,0
g2,it,6bis9,c09B_11,a78,0
g2,de,14bis17,c09B_07,a78,0
g2,it,6bis9,c09B_10,a78,0
g2,de,14bis17,c09B_08,a78,0
g2,it,6bis9,c09B_09,a78,0
g2,it,6bis9,c09B_08,a78,0
g2,de,14bis17,c09B_09,a78,0
g2,CH,All,c09B_01,a78,0
All,CH,All,c09B_02,a78,0
g2,it,6bis9,c09B_07,a78,0
g2,de,14bis17,c09B_10,a78,0
All,CH,All,c09B_04,a78,0
g1,CH,All,c09B_10,a78,0
g1,fr,6bis9,c09B_02,a78,0
g2,fr,6bis9,c09B_06,a78,0
g2,fr,6bis9,c09B_01,a78,0
g1,fr,10bis13,c09B_12,a78,0
g2,fr,6bis9,c09B_02,a78,0
g1,CH,All,c09B_07,a78,0
g1,fr,10bis13,c09B_11,a78,0
g2,fr,6bis9,c09B_03,a78,0
g1,fr,10bis13,c09B_10,a78,0
All,CH,All,c09B_06,a78,0
g1,fr,10bis13,c09B_09,a78,0
g2,fr,6bis9,c09B_04,a78,0
g1,fr,10bis13,c09B_08,a78,0
g2,fr,6bis9,c09B_05,a78,0
g1,fr,10bis13,c09B_07,a78,0
g1,CH,All,c09B_08,a78,0
g1,fr,10bis13,c09B_06,a78,0
g1,fr,14bis17,c09B_10,a78,0
g1,fr,10bis13,c09B_05,a78,0
g2,fr,6bis9,c09B_07,a78,0
g1,fr,10bis13,c09B_04,a78,0
All,CH,All,c09B_05,a78,0
g1,fr,10bis13,c09B_03,a78,0
g2,fr,6bis9,c09B_08,a78,0
g1,CH,All,c09B_09,a78,0
g1,fr,10bis13,c09B_02,a78,0
g2,fr,6bis9,c09B_09,a78,0
g1,fr,10bis13,c09B_01,a78,0
g2,fr,6bis9,c09B_10,a78,0
g1,fr,14bis17,c09B_12,a78,0
g1,fr,14bis17,c09B_11,a78,0
g2,de,6bis9,c09B_09,a78,0
g2,it,6bis9,c09B_06,a78,0
g2,it,6bis9,c09B_05,a78,0
g2,de,14bis17,c09B_11,a78,0
g2,it,14bis17,c09B_05,a78,0
All,it,All,c09B_11,a78,0
g2,de,10bis13,c09B_11,a78,0
g2,it,14bis17,c09B_11,a78,0
g2,it,14bis17,c09B_10,a78,0
g2,de,10bis13,c09B_12,a78,0
g2,CH,All,c09B_06,a78,0
g2,de,6bis9,c09B_01,a78,0
g2,it,14bis17,c09B_09,a78,0
g2,it,14bis17,c09B_08,a78,0
g2,de,6bis9,c09B_02,a78,0
g2,it,14bis17,c09B_07,a78,0
g2,it,14bis17,c09B_06,a78,0
g2,de,6bis9,c09B_03,a78,0
g2,CH,All,c09B_10,a78,0
g2,CH,All,c09B_07,a78,0
g2,it,6bis9,c09B_04,a78,0
g2,de,6bis9,c09B_04,a78,0
g2,it,14bis17,c09B_04,a78,0
g2,it,14bis17,c09B_03,a78,0
g2,de,6bis9,c09B_05,a78,0
g2,it,14bis17,c09B_02,a78,0
g2,de,6bis9,c09B_06,a78,0
g2,it,14bis17,c09B_01,a78,0
g2,de,6bis9,c09B_07,a78,0
g2,CH,All,c09B_08,a78,0
g2,de,6bis9,c09B_12,a78,0
g2,CH,All,c09B_09,a78,0
g2,de,6bis9,c09B_11,a78,0
g2,de,6bis9,c09B_08,a78,0
g2,de,6bis9,c09B_10,a78,0
g2,CH,All,c09B_11,a78,0
g2,it,10bis13,c09B_01,a78,0
g2,de,10bis13,c09B_10,a78,0
g2,CH,All,c09B_05,a78,0
g2,de,14bis17,c09B_12,a78,0
g2,CH,All,c09B_02,a78,0
g2,it,6bis9,c09B_03,a78,0
g2,de,10bis13,c09B_01,a78,0
g2,it,6bis9,c09B_02,a78,0
g2,it,6bis9,c09B_01,a78,0
All,CH,All,c09B_01,a78,0
g2,de,10bis13,c09B_02,a78,0
g2,it,10bis13,c09B_12,a78,0
g2,it,10bis13,c09B_11,a78,0
g2,de,10bis13,c09B_03,a78,0
g2,CH,All,c09B_03,a78,0
g2,it,10bis13,c09B_10,a78,0
g2,de,10bis13,c09B_04,a78,0
g2,it,10bis13,c09B_09,a78,0
g2,de,10bis13,c09B_05,a78,0
g2,it,10bis13,c09B_08,a78,0
g2,de,10bis13,c09B_06,a78,0
g2,it,10bis13,c09B_07,a78,0
g2,CH,All,c09B_12,a78,0
g2,CH,All,c09B_04,a78,0
g2,it,10bis13,c09B_06,a78,0
g2,de,10bis13,c09B_07,a78,0
g2,it,10bis13,c09B_05,a78,0
g2,it,10bis13,c09B_04,a78,0
g2,de,10bis13,c09B_08,a78,0
g2,it,10bis13,c09B_03,a78,0
g2,de,10bis13,c09B_09,a78,0
g2,it,10bis13,c09B_02,a78,0
g1,fr,6bis9,c09B_01,a78,0
g2,fr,6bis9,c09B_11,a78,0
g1,fr,6bis9,c09B_12,a78,0
g2,fr,14bis17,c09B_03,a78,0
g2,fr,14bis17,c09B_04,a78,0
g1,CH,All,c09B_01,a78,0
g1,de,14bis17,c09B_02,a78,0
g2,fr,14bis17,c09B_08,a78,0
g1,de,10bis13,c09B_03,a78,0
g1,de,14bis17,c09B_01,a78,0
g1,CH,All,c09B_04,a78,0
g2,fr,10bis13,c09B_02,a78,0
g2,fr,10bis13,c09B_08,a78,0
g1,de,10bis13,c09B_04,a78,0
g1,de,14bis17,c09B_03,a78,0
g1,fr,6bis9,c09B_11,a78,0
g1,de,10bis13,c09B_05,a78,0
All,CH,All,c09B_08,a78,0
All,CH,All,c09B_11,a78,0
g1,fr,6bis9,c09B_10,a78,0
g1,de,10bis13,c09B_06,a78,0
g2,fr,10bis13,c09B_09,a78,0
g2,fr,14bis17,c09B_09,a78,0
g1,fr,6bis9,c09B_09,a78,0
g2,fr,10bis13,c09B_07,a78,0
g1,de,10bis13,c09B_02,a78,0
g1,CH,All,c09B_05,a78,0
All,CH,All,c09B_10,a78,0
g1,de,14bis17,c09B_09,a78,0
g1,CH,All,c09B_02,a78,0
g2,fr,10bis13,c09B_04,a78,0
g1,de,14bis17,c09B_10,a78,0
g1,de,14bis17,c09B_08,a78,0
g2,fr,10bis13,c09B_05,a78,0
g1,de,14bis17,c09B_07,a78,0
g1,de,14bis17,c09B_11,a78,0
g2,fr,10bis13,c09B_12,a78,0
g1,de,14bis17,c09B_06,a78,0
g2,fr,10bis13,c09B_03,a78,0
g2,fr,10bis13,c09B_06,a78,0
g2,fr,14bis17,c09B_05,a78,0
g1,de,14bis17,c09B_12,a78,0
g1,CH,All,c09B_03,a78,0
g2,fr,14bis17,c09B_07,a78,0
All,CH,All,c09B_09,a78,0
g1,de,14bis17,c09B_05,a78,0
g1,de,10bis13,c09B_01,a78,0
g1,de,14bis17,c09B_04,a78,0
g2,fr,14bis17,c09B_02,a78,0
g2,fr,14bis17,c09B_06,a78,0
g2,fr,10bis13,c09B_01,a78,0
All,CH,All,c09B_07,a78,0
g1,de,10bis13,c09B_08,a78,0
g2,fr,10bis13,c09B_10,a78,0
g1,fr,6bis9,c09B_06,a78,0
g2,fr,10bis13,c09B_11,a78,0
g1,fr,6bis9,c09B_05,a78,0
g2,fr,14bis17,c09B_01,a78,0
g1,fr,6bis9,c09B_04,a78,0
g2,fr,14bis17,c09B_12,a78,0
g1,de,10bis13,c09B_10,a78,0
g1,CH,All,c09B_06,a78,0
g2,fr,14bis17,c09B_10,a78,0
g2,fr,14bis17,c09B_11,a78,0
g1,fr,6bis9,c09B_03,a78,0
g1,de,10bis13,c09B_11,a78,0
g1,fr,6bis9,c09B_07,a78,0
g1,de,10bis13,c09B_09,a78,0
All,it,All,c09B_12,a78,0
g1,fr,6bis9,c09B_08,a78,0
