Nr (abs);Milchproduktkategorie;Beschreibung;Proben-Nr. extern;Datum Probenahme;Bemerkung generell;Produktionsland;PFBA [µg/kg];PFPeA [µg/kg];PFHxA [µg/kg];PFHpA [µg/kg];PFOA [µg/kg];PFNA [µg/kg];PFDA [µg/kg];PFUnDA [µg/kg];PFDoDA [µg/kg];PFTrDA [µg/kg];PFTeDA [µg/kg];PFBS [µg/kg];PFPeS [µg/kg];total PFHxS [µg/kg];PFHpS [µg/kg];total PFOS [µg/kg];PFNS [µg/kg];PFDS [µg/kg];PFUnDS [µg/kg];PFDoDS [µg/kg];PFTrDS [µg/kg];HFPO-DA [µg/kg];DONA [µg/kg];9Cl-PF3ONS [µg/kg];11Cl-PF3OUnDS [µg/kg];4:2 FTS [µg/kg];8:2 FTS [µg/kg];10:2 FTS [µg/kg];FOSA [µg/kg];Capstone A [µg/kg];Capstone B [µg/kg];6:2 FTOH [µg/kg];8:2 FTOH [µg/kg]
20861;Milch Detailhandel;Milch Drink, bio;94;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20862;Milch Detailhandel;Teilentrahmte Milch  UHT, 2,5% Milchfett;95;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20863;Milch Detailhandel;Teilentrahmte Milch  UHT, 1,5% Milchfett;96;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20864;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;97;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20867;Milch Detailhandel;Vollmilch UHT, 3,5% Fett;100;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20868;Milch Detailhandel;Vollmilch UHT, bio;101;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20869;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;102;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20870;Milch Detailhandel;Teilentrahmte Milch UHT, 1,5% Milchfett;103;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20871;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;104;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20872;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;105;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20873;Milch Detailhandel;Teilentrahmte Milch, 2,7% Milchfett;106;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20874;Milch Detailhandel;Teilentrahmte Milch,  UHT, 1,5% Milchfett;107;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20875;Milch Detailhandel;Teilentrahmte Milch,  UHT, 1,5% Milchfett;108;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
