Nr (abs);Milchproduktkategorie;Beschreibung;Proben-Nr. extern;Datum Probenahme;Bemerkung generell;Produktionsland;PFBA [µg/kg];PFPeA [µg/kg];PFHxA [µg/kg];PFHpA [µg/kg];PFOA [µg/kg];PFNA [µg/kg];PFDA [µg/kg];PFUnDA [µg/kg];PFDoDA [µg/kg];PFTrDA [µg/kg];PFTeDA [µg/kg];PFBS [µg/kg];PFPeS [µg/kg];total PFHxS [µg/kg];PFHpS [µg/kg];total PFOS [µg/kg];PFNS [µg/kg];PFDS [µg/kg];PFUnDS [µg/kg];PFDoDS [µg/kg];PFTrDS [µg/kg];HFPO-DA [µg/kg];DONA [µg/kg];9Cl-PF3ONS [µg/kg];11Cl-PF3OUnDS [µg/kg];4:2 FTS [µg/kg];8:2 FTS [µg/kg];10:2 FTS [µg/kg];FOSA [µg/kg];Capstone A [µg/kg];Capstone B [µg/kg];6:2 FTOH [µg/kg];8:2 FTOH [µg/kg]
20994;Kesselsammelmilch;Kesselsammelmilch ;227;19.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20995;Kesselsammelmilch;Kesselsammelmilch ;228;20.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.011;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20996;Kesselsammelmilch;Kesselsammelmilch ;229;12.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20997;Kesselsammelmilch;Kesselsammelmilch ;230;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20998;Kesselsammelmilch;Kesselsammelmilch ;231;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20999;Kesselsammelmilch;Kesselsammelmilch ;232;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21000;Kesselsammelmilch;Kesselsammelmilch ;233;03.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21001;Kesselsammelmilch;Kesselsammelmilch ;234;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21002;Kesselsammelmilch;Kesselsammelmilch ;235;08.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21003;Kesselsammelmilch;Kesselsammelmilch ;236;24.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21004;Kesselsammelmilch;Kesselsammelmilch ;237;11.01.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21005;Kesselsammelmilch;Kesselsammelmilch ;238;18.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21006;Kesselsammelmilch;Kesselsammelmilch ;239;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21007;Kesselsammelmilch;Kesselsammelmilch ;240;03.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21008;Kesselsammelmilch;Kesselsammelmilch ;241;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21009;Kesselsammelmilch;Kesselsammelmilch ;242;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21010;Kesselsammelmilch;Kesselsammelmilch ;243;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21011;Kesselsammelmilch;Kesselsammelmilch ;244;24.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21012;Kesselsammelmilch;Kesselsammelmilch ;245;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21013;Kesselsammelmilch;Kesselsammelmilch ;246;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21014;Kesselsammelmilch;Kesselsammelmilch ;247;17.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21015;Kesselsammelmilch;Kesselsammelmilch ;248;14.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21016;Kesselsammelmilch;Kesselsammelmilch ;249;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21017;Kesselsammelmilch;Kesselsammelmilch ;250;17.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21018;Kesselsammelmilch;Kesselsammelmilch ;251;05.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21019;Kesselsammelmilch;Kesselsammelmilch ;252;05.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.031;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21020;Kesselsammelmilch;Kesselsammelmilch ;253;05.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21021;Kesselsammelmilch;Kesselsammelmilch ;254;05.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21022;Kesselsammelmilch;Kesselsammelmilch ;255;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21023;Kesselsammelmilch;Kesselsammelmilch ;256;05.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21024;Joghurt;Joghurt nature, 3.5% Milchfett;257;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21026;Milch Detailhandel;Teilentrahmte Past, 2.5% Milchfett;259;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21027;Milch Detailhandel;Vollmilch UHT, 3,5% Fett;260;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21028;Milch Detailhandel;Teilentrahmte Milch UHT, 2.5% Milchfett;261;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21029;Milch Detailhandel;Vollmich bio UHT, 3.9% Milchfett;262;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21030;Milch Detailhandel;Teilentrahmte Milch Past, 2,5% Milchfett;263;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21031;Milch Detailhandel;Teilentrahmte Milch  UHT, 1,5% Milchfett;264;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21032;Joghurt;Jogurt nature;265;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.011;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21033;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;266;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21034;Joghurt;Jogurt nature, bio;267;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.032;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21035;Joghurt;Jogurt nature;268;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21036;Milch Detailhandel;Teilentrahmte Milch Past, 2,5% Milchfett;269;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21038;Joghurt;Jogurt nature;271;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21039;Joghurt;Jogurt nature;272;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21041;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;274;03.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
21043;Milch Detailhandel;Vollmilch Past, 3.5% Milchfett,  Bergmilch;276;05.05.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
