ID,DE,FR,IT,EN
ac154,Ratten - Fetus gentechnisch verändert,Rats - fœtus génétiquement modifié,Ratti - Feti geneticamente modificato,Rats - Foetus genetically modified
ac155,Ziegen,Chèvres,Capre,Goats
ac157,Schafe - Feten,Moutons - fœtus,Pecore - Feti,Sheep - Foetus
ac158,Schafe,Moutons,Pecore,Sheep
ac160,Spitzhörnchen,Toupayes,Tupaia,Tupaia
ac162,Wildkatzen,Chats sauvages,Gatti selvatici,Wild cats
ac164,Wilde Nagetiere,Rongeurs sauvages,Roditori selvatici,Wild rodents
ac166,Wölfe,Loups,Lupi,Wolves
ac171,Steinböcke,Bouquetins,Stambecchi,Ibex
ac172,Gämsen,Chamois,Camosci,Chamois
ac173,Rothirsche,Cerfs élaphes,Cervi rossi,Red Deer
ac174,Rehe,Chevreuils,Caprioli,Roe Deer
ac175,Andere nicht menschliche Primaten,Autres primates non humains,Altri primati non umani,Other non human primates
ac176,Andere Labor-Nagetiere,Autre rongeurs de laboratoire,Altroroditori da laboratorio,Other lab. rodents
ac180,Säugetiere,Mammifères,Mammiferi,Mammals
ac181,Affen,Singes,Scimmie,Monkeys
ac182,Säugetiere -Feten,Mammifères – fœtus,Mammiferi - Feti,Mammals - Foetus
ac184,Giraffen,Girafes,Giraffe,Giraffes
ac185,Andere Nager,Autres rongeurs,Altri roditori,Other rodents
ac186,Schlangen,Serpents,Serpenti,Snakes
ac187,Schlangen - Feten,Serpents – fœtus,Serpenti - Feti,Snakes - Foetus
ac191,Reptilien,Reptiles,Rettile,Reptiles
ac192,Reptilien - Feten,Reptiles - fœtus,Rettili - Feti,Reptiles - Foetus
