Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2024,All animals,All species,Laying hens,All prescription types,636054,68580,173.56,18.71,3664740
2024,All animals,All species,Fattening broilers,All prescription types,33602139,3388882,408.8,41.23,82197176
2024,All animals,All species,Fattening pigs and giltsm,All prescription types,577670,59864,245.36,25.43,2354346
2024,All animals,All species,Fattening turkeys,All prescription types,66391,215,157.17,0.51,422412
2024,All animals,All species,Dairy cows,All prescription types,1126393,98946,2157.77,189.55,522016
2024,All animals,All species,Suckler cows,All prescription types,66225,5086,266.88,20.5,248149
2024,All animals,All species,Cattle rearing and fattening,All prescription types,2859886,468697,2803.13,459.4,1020247
2024,All animals,All species,Suckling and weaned piglets,All prescription types,767213,75131,181.63,17.79,4223952
2024,All animals,All species,Sheep,All prescription types,59100,4096,132.19,9.16,447094
2024,All animals,All species,Goats,All prescription types,41306,6548,352.11,55.82,117310
2024,All animals,All species,Breeding sows and boars,All prescription types,25769,6879,962.46,256.93,26774
2024,All animals,Equids,All categories of use,All prescription types,85559,2950,763.43,26.32,112072
2024,All animals,Equids,Equids,All prescription types,85559,2950,763.43,26.32,112072
2024,All animals,Poultry,All categories of use,All prescription types,35886138,4148116,2370.04,225.53,91574091
2024,All animals,Poultry,Rearing laying hens and parent birds,All prescription types,1127343,681418,227.01,137.21,4966135
2024,All animals,Poultry,Laying and parent birds,All prescription types,454211,9021,1403.5,27.87,323628
2024,All animals,Poultry,Laying hens,All prescription types,636054,68580,173.56,18.71,3664740
2024,All animals,Poultry,Fattening broilers,All prescription types,33602139,3388882,408.8,41.23,82197176
2024,All animals,Poultry,Fattening turkeys,All prescription types,66391,215,157.17,0.51,422412
2024,All animals,Game animals,All categories of use,All prescription types,46,1,3.23,0.07,14253
2024,All animals,Game animals,Game animals,All prescription types,46,1,3.23,0.07,14253
2024,All animals,Dogs,All categories of use,All prescription types,1241896,159562,2237.19,287.44,555114
2024,All animals,Dogs,Dogs,All prescription types,1241896,159562,2237.19,287.44,555114
2024,All animals,Camelids,All categories of use,All prescription types,4043,667,420.88,69.44,9606
2024,All animals,Camelids,Camelids,All prescription types,4043,667,420.88,69.44,9606
2024,All animals,Rabbits,All categories of use,All prescription types,15289,825,78.37,4.23,195085
2024,All animals,Rabbits,Rabbits,All prescription types,15289,825,78.37,4.23,195085
2024,All animals,Cats,All categories of use,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,All animals,Cats,Cats,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,All animals,Cattle,All categories of use,All prescription types,4052504,572729,5227.78,669.45,1790412
2024,All animals,Cattle,Dairy cows,All prescription types,1126393,98946,2157.77,189.55,522016
2024,All animals,Cattle,Suckler cows,All prescription types,66225,5086,266.88,20.5,248149
2024,All animals,Cattle,Cattle rearing and fattening,All prescription types,2859886,468697,2803.13,459.4,1020247
2024,All animals,Sheep,All categories of use,All prescription types,59100,4096,132.19,9.16,447094
2024,All animals,Sheep,Sheep,All prescription types,59100,4096,132.19,9.16,447094
2024,All animals,Pigs,All categories of use,All prescription types,1370652,141874,1389.45,300.15,6605072
2024,All animals,Pigs,Fattening pigs and giltsm,All prescription types,577670,59864,245.36,25.43,2354346
2024,All animals,Pigs,Suckling and weaned piglets,All prescription types,767213,75131,181.63,17.79,4223952
2024,All animals,Pigs,Breeding sows and boars,All prescription types,25769,6879,962.46,256.93,26774
2024,All animals,Goats,All categories of use,All prescription types,41306,6548,352.11,55.82,117310
2024,All animals,Goats,Goats,All prescription types,41306,6548,352.11,55.82,117310
2024,Pets,All species,All categories of use,All prescription types,3395643,1219913,4268.47,961.97,2298439
2024,Pets,All species,Equids,All prescription types,85559,2950,763.43,26.32,112072
2024,Pets,All species,Dogs,All prescription types,1241896,159562,2237.19,287.44,555114
2024,Pets,All species,Cats,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,Pets,Equids,All categories of use,All prescription types,85559,2950,763.43,26.32,112072
2024,Pets,Equids,Equids,All prescription types,85559,2950,763.43,26.32,112072
2024,Pets,Dogs,All categories of use,All prescription types,1241896,159562,2237.19,287.44,555114
2024,Pets,Dogs,Dogs,All prescription types,1241896,159562,2237.19,287.44,555114
2024,Pets,Cats,All categories of use,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,Pets,Cats,Cats,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,Farm animals,All species,All categories of use,All prescription types,41429078,4874856,9974.05,1333.85,100752923
2024,Farm animals,All species,Rearing laying hens and parent birds,All prescription types,1127343,681418,227.01,137.21,4966135
2024,Farm animals,All species,Game animals,All prescription types,46,1,3.23,0.07,14253
2024,Farm animals,All species,Camelids,All prescription types,4043,667,420.88,69.44,9606
2024,Farm animals,All species,Rabbits,All prescription types,15289,825,78.37,4.23,195085
2024,Farm animals,All species,Laying and parent birds,All prescription types,454211,9021,1403.5,27.87,323628
2024,Farm animals,All species,Laying hens,All prescription types,636054,68580,173.56,18.71,3664740
2024,Farm animals,All species,Fattening broilers,All prescription types,33602139,3388882,408.8,41.23,82197176
2024,Farm animals,All species,Fattening pigs and giltsm,All prescription types,577670,59864,245.36,25.43,2354346
2024,Farm animals,All species,Fattening turkeys,All prescription types,66391,215,157.17,0.51,422412
2024,Farm animals,All species,Dairy cows,All prescription types,1126393,98946,2157.77,189.55,522016
2024,Farm animals,All species,Suckler cows,All prescription types,66225,5086,266.88,20.5,248149
2024,Farm animals,All species,Cattle rearing and fattening,All prescription types,2859886,468697,2803.13,459.4,1020247
2024,Farm animals,All species,Suckling and weaned piglets,All prescription types,767213,75131,181.63,17.79,4223952
2024,Farm animals,All species,Sheep,All prescription types,59100,4096,132.19,9.16,447094
2024,Farm animals,All species,Goats,All prescription types,41306,6548,352.11,55.82,117310
2024,Farm animals,All species,Breeding sows and boars,All prescription types,25769,6879,962.46,256.93,26774
2024,Farm animals,Poultry,All categories of use,All prescription types,35886138,4148116,2370.04,225.53,91574091
2024,Farm animals,Poultry,Rearing laying hens and parent birds,All prescription types,1127343,681418,227.01,137.21,4966135
2024,Farm animals,Poultry,Laying and parent birds,All prescription types,454211,9021,1403.5,27.87,323628
2024,Farm animals,Poultry,Laying hens,All prescription types,636054,68580,173.56,18.71,3664740
2024,Farm animals,Poultry,Fattening broilers,All prescription types,33602139,3388882,408.8,41.23,82197176
2024,Farm animals,Poultry,Fattening turkeys,All prescription types,66391,215,157.17,0.51,422412
2024,Farm animals,Game animals,All categories of use,All prescription types,46,1,3.23,0.07,14253
2024,Farm animals,Game animals,Game animals,All prescription types,46,1,3.23,0.07,14253
2024,Farm animals,Camelids,All categories of use,All prescription types,4043,667,420.88,69.44,9606
2024,Farm animals,Camelids,Camelids,All prescription types,4043,667,420.88,69.44,9606
2024,Farm animals,Rabbits,All categories of use,All prescription types,15289,825,78.37,4.23,195085
2024,Farm animals,Rabbits,Rabbits,All prescription types,15289,825,78.37,4.23,195085
2024,Farm animals,Cattle,All categories of use,All prescription types,4052504,572729,5227.78,669.45,1790412
2024,Farm animals,Cattle,Dairy cows,All prescription types,1126393,98946,2157.77,189.55,522016
2024,Farm animals,Cattle,Suckler cows,All prescription types,66225,5086,266.88,20.5,248149
2024,Farm animals,Cattle,Cattle rearing and fattening,All prescription types,2859886,468697,2803.13,459.4,1020247
2024,Farm animals,Sheep,All categories of use,All prescription types,59100,4096,132.19,9.16,447094
2024,Farm animals,Sheep,Sheep,All prescription types,59100,4096,132.19,9.16,447094
2024,Farm animals,Pigs,All categories of use,All prescription types,1370652,141874,1389.45,300.15,6605072
2024,Farm animals,Pigs,Fattening pigs and giltsm,All prescription types,577670,59864,245.36,25.43,2354346
2024,Farm animals,Pigs,Suckling and weaned piglets,All prescription types,767213,75131,181.63,17.79,4223952
2024,Farm animals,Pigs,Breeding sows and boars,All prescription types,25769,6879,962.46,256.93,26774
2024,Farm animals,Goats,All categories of use,All prescription types,41306,6548,352.11,55.82,117310
2024,Farm animals,Goats,Goats,All prescription types,41306,6548,352.11,55.82,117310
2025,All animals,All species,All categories of use,All prescription types,57426725,7018177,15366.43,2309.08,102937779
2025,All animals,All species,Rearing laying hens and parent birds,All prescription types,735800,324003,148.16,65.24,4966135
2025,All animals,All species,Equids,All prescription types,82110,2183,739.64,19.66,111013
2025,All animals,All species,Game animals,All prescription types,58,7,4.07,0.49,14253
2025,All animals,All species,Dogs,All prescription types,1181399,146525,2133.09,264.56,553843
2025,All animals,All species,Camelids,All prescription types,3935,475,409.64,49.45,9606
2025,All animals,All species,Rabbits,All prescription types,150779,735,772.89,3.77,195085
2025,All animals,All species,Cats,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,All animals,All species,Laying and parent birds,All prescription types,530255,120333,1638.47,371.83,323628
2025,All animals,All species,Laying hens,All prescription types,1124428,40435,306.82,11.03,3664740
2025,All animals,All species,Fattening broilers,All prescription types,46142176,4791413,561.36,58.29,82197176
2025,All animals,All species,Fattening pigs and giltsm,All prescription types,611299,76845,259.65,32.64,2354346
2025,All animals,All species,Fattening turkeys,All prescription types,34565,3315,81.83,7.85,422412
2025,All animals,All species,Dairy cows,All prescription types,1091369,88183,2090.68,168.93,522016
2025,All animals,All species,Suckler cows,All prescription types,60594,4405,244.18,17.75,248149
2025,All animals,All species,Cattle rearing and fattening,All prescription types,2783505,370750,2728.27,363.39,1020247
2025,All animals,All species,Suckling and weaned piglets,All prescription types,777558,71120,184.08,16.84,4223952
2025,All animals,All species,Sheep,All prescription types,55416,3910,123.95,8.75,447094
2025,All animals,All species,Goats,All prescription types,38567,4222,328.76,35.99,117310
2025,All animals,All species,Breeding sows and boars,All prescription types,34886,4767,1302.98,178.05,26774
2025,All animals,Equids,All categories of use,All prescription types,82110,2183,739.64,19.66,111013
2025,All animals,Equids,Equids,All prescription types,82110,2183,739.64,19.66,111013
2025,All animals,Poultry,All categories of use,All prescription types,48567224,5279499,2736.64,514.24,91574091
2025,All animals,Poultry,Rearing laying hens and parent birds,All prescription types,735800,324003,148.16,65.24,4966135
2025,All animals,Poultry,Laying and parent birds,All prescription types,530255,120333,1638.47,371.83,323628
2025,All animals,Poultry,Laying hens,All prescription types,1124428,40435,306.82,11.03,3664740
2025,All animals,Poultry,Fattening broilers,All prescription types,46142176,4791413,561.36,58.29,82197176
2025,All animals,Poultry,Fattening turkeys,All prescription types,34565,3315,81.83,7.85,422412
2025,All animals,Game animals,All categories of use,All prescription types,58,7,4.07,0.49,14253
2025,All animals,Game animals,Game animals,All prescription types,58,7,4.07,0.49,14253
2025,All animals,Dogs,All categories of use,All prescription types,1181399,146525,2133.09,264.56,553843
2025,All animals,Dogs,Dogs,All prescription types,1181399,146525,2133.09,264.56,553843
2025,All animals,Camelids,All categories of use,All prescription types,3935,475,409.64,49.45,9606
2025,All animals,Camelids,Camelids,All prescription types,3935,475,409.64,49.45,9606
2025,All animals,Rabbits,All categories of use,All prescription types,150779,735,772.89,3.77,195085
2025,All animals,Rabbits,Rabbits,All prescription types,150779,735,772.89,3.77,195085
2025,All animals,Cats,All categories of use,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,All animals,Cats,Cats,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,All animals,Cattle,All categories of use,All prescription types,3935468,463338,5063.13,550.07,1790412
2025,All animals,Cattle,Dairy cows,All prescription types,1091369,88183,2090.68,168.93,522016
2025,All animals,Cattle,Suckler cows,All prescription types,60594,4405,244.18,17.75,248149
2025,All animals,Cattle,Cattle rearing and fattening,All prescription types,2783505,370750,2728.27,363.39,1020247
2025,All animals,Sheep,All categories of use,All prescription types,55416,3910,123.95,8.75,447094
2025,All animals,Sheep,Sheep,All prescription types,55416,3910,123.95,8.75,447094
2025,All animals,Pigs,All categories of use,All prescription types,1423743,152732,1746.71,227.53,6605072
2025,All animals,Pigs,Fattening pigs and giltsm,All prescription types,611299,76845,259.65,32.64,2354346
2025,All animals,Pigs,Suckling and weaned piglets,All prescription types,777558,71120,184.08,16.84,4223952
2025,All animals,Pigs,Breeding sows and boars,All prescription types,34886,4767,1302.98,178.05,26774
2025,All animals,Goats,All categories of use,All prescription types,38567,4222,328.76,35.99,117310
2025,All animals,Goats,Goats,All prescription types,38567,4222,328.76,35.99,117310
2025,Pets,All species,All categories of use,All prescription types,3251535,1113259,4180.64,918.79,2184856
2025,Pets,All species,Equids,All prescription types,82110,2183,739.64,19.66,111013
2025,Pets,All species,Dogs,All prescription types,1181399,146525,2133.09,264.56,553843
2025,Pets,All species,Cats,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,Pets,Equids,All categories of use,All prescription types,82110,2183,739.64,19.66,111013
2025,Pets,Equids,Equids,All prescription types,82110,2183,739.64,19.66,111013
2025,Pets,Dogs,All categories of use,All prescription types,1181399,146525,2133.09,264.56,553843
2025,Pets,Dogs,Dogs,All prescription types,1181399,146525,2133.09,264.56,553843
2025,Pets,Cats,All categories of use,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,Pets,Cats,Cats,All prescription types,1988026,964551,1307.91,634.57,1520000
2025,Farm animals,All species,All categories of use,All prescription types,54175190,5904918,11185.79,1390.29,100752923
2025,Farm animals,All species,Rearing laying hens and parent birds,All prescription types,735800,324003,148.16,65.24,4966135
2025,Farm animals,All species,Game animals,All prescription types,58,7,4.07,0.49,14253
2025,Farm animals,All species,Camelids,All prescription types,3935,475,409.64,49.45,9606
2025,Farm animals,All species,Rabbits,All prescription types,150779,735,772.89,3.77,195085
2025,Farm animals,All species,Laying and parent birds,All prescription types,530255,120333,1638.47,371.83,323628
2025,Farm animals,All species,Laying hens,All prescription types,1124428,40435,306.82,11.03,3664740
2025,Farm animals,All species,Fattening broilers,All prescription types,46142176,4791413,561.36,58.29,82197176
2025,Farm animals,All species,Fattening pigs and giltsm,All prescription types,611299,76845,259.65,32.64,2354346
2025,Farm animals,All species,Fattening turkeys,All prescription types,34565,3315,81.83,7.85,422412
2025,Farm animals,All species,Dairy cows,All prescription types,1091369,88183,2090.68,168.93,522016
2025,Farm animals,All species,Suckler cows,All prescription types,60594,4405,244.18,17.75,248149
2025,Farm animals,All species,Cattle rearing and fattening,All prescription types,2783505,370750,2728.27,363.39,1020247
2025,Farm animals,All species,Suckling and weaned piglets,All prescription types,777558,71120,184.08,16.84,4223952
2025,Farm animals,All species,Sheep,All prescription types,55416,3910,123.95,8.75,447094
2025,Farm animals,All species,Goats,All prescription types,38567,4222,328.76,35.99,117310
2025,Farm animals,All species,Breeding sows and boars,All prescription types,34886,4767,1302.98,178.05,26774
2025,Farm animals,Poultry,All categories of use,All prescription types,48567224,5279499,2736.64,514.24,91574091
2025,Farm animals,Poultry,Rearing laying hens and parent birds,All prescription types,735800,324003,148.16,65.24,4966135
2025,Farm animals,Poultry,Laying and parent birds,All prescription types,530255,120333,1638.47,371.83,323628
2025,Farm animals,Poultry,Laying hens,All prescription types,1124428,40435,306.82,11.03,3664740
2025,Farm animals,Poultry,Fattening broilers,All prescription types,46142176,4791413,561.36,58.29,82197176
2025,Farm animals,Poultry,Fattening turkeys,All prescription types,34565,3315,81.83,7.85,422412
2025,Farm animals,Game animals,All categories of use,All prescription types,58,7,4.07,0.49,14253
2025,Farm animals,Game animals,Game animals,All prescription types,58,7,4.07,0.49,14253
2025,Farm animals,Camelids,All categories of use,All prescription types,3935,475,409.64,49.45,9606
2025,Farm animals,Camelids,Camelids,All prescription types,3935,475,409.64,49.45,9606
2025,Farm animals,Rabbits,All categories of use,All prescription types,150779,735,772.89,3.77,195085
2025,Farm animals,Rabbits,Rabbits,All prescription types,150779,735,772.89,3.77,195085
2025,Farm animals,Cattle,All categories of use,All prescription types,3935468,463338,5063.13,550.07,1790412
2025,Farm animals,Cattle,Dairy cows,All prescription types,1091369,88183,2090.68,168.93,522016
2025,Farm animals,Cattle,Suckler cows,All prescription types,60594,4405,244.18,17.75,248149
2025,Farm animals,Cattle,Cattle rearing and fattening,All prescription types,2783505,370750,2728.27,363.39,1020247
2025,Farm animals,Sheep,All categories of use,All prescription types,55416,3910,123.95,8.75,447094
2025,Farm animals,Sheep,Sheep,All prescription types,55416,3910,123.95,8.75,447094
2025,Farm animals,Pigs,All categories of use,All prescription types,1423743,152732,1746.71,227.53,6605072
2025,Farm animals,Pigs,Fattening pigs and giltsm,All prescription types,611299,76845,259.65,32.64,2354346
2025,Farm animals,Pigs,Suckling and weaned piglets,All prescription types,777558,71120,184.08,16.84,4223952
2025,Farm animals,Pigs,Breeding sows and boars,All prescription types,34886,4767,1302.98,178.05,26774
2025,Farm animals,Goats,All categories of use,All prescription types,38567,4222,328.76,35.99,117310
2025,Farm animals,Goats,Goats,All prescription types,38567,4222,328.76,35.99,117310
