Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2021,Farm animals,Cattle,Suckler cows,All prescription types,48092,3321,209.15,14.44,229936
2021,Farm animals,Cattle,Cattle rearing and fattening,All prescription types,2729931,643966,2733.17,644.73,998814
2021,Farm animals,Sheep,All categories of use,All prescription types,42768,3812,100.21,8.93,426770
2021,Farm animals,Sheep,Sheep,All prescription types,42768,3812,100.21,8.93,426770
2021,Farm animals,Pigs,All categories of use,All prescription types,2321840,320105,1049.19,171.88,7059102
2021,Farm animals,Pigs,Fattening pigs and giltsm,All prescription types,798034,102801,317.07,40.84,2516871
2021,Farm animals,Pigs,Suckling and weaned piglets,All prescription types,1512079,214840,335.07,47.61,4512696
2021,Farm animals,Pigs,Breeding sows and boars,All prescription types,11727,2464,397.05,83.43,29535
2021,Farm animals,Goats,All categories of use,All prescription types,52603,10241,483.38,94.11,108824
2021,Farm animals,Goats,Goats,All prescription types,52603,10241,483.38,94.11,108824
2022,All animals,All species,All categories of use,All prescription types,50474447,10678061,21188.22,2642.1,104123881
2022,All animals,All species,Rearing laying hens and parent birds,All prescription types,2823270,1302296,751.97,346.86,3754481
2022,All animals,All species,Equids,All prescription types,79426,2906,701.29,25.66,113257
2022,All animals,All species,Game animals,All prescription types,86,13,5.8,0.88,14830
2022,All animals,All species,Dogs,All prescription types,1312680,195032,2374.68,352.82,552781
2022,All animals,All species,Camelids,All prescription types,3145,1086,336.51,116.2,9346
2022,All animals,All species,Rabbits,All prescription types,1774167,11397,6783.93,43.58,261525
2022,All animals,All species,Cats,All prescription types,2203685,1234007,1188.77,665.68,1853759
2022,All animals,All species,Laying and parent birds,All prescription types,764379,15137,1840.58,36.45,415292
2022,All animals,All species,Laying hens,All prescription types,1791951,67158,502.41,18.83,3566711
2022,All animals,All species,Fattening broilers,All prescription types,34373927,7056287,409.66,84.09,83908974
2022,All animals,All species,Fattening pigs and giltsm,All prescription types,516282,40696,209.19,16.49,2467959
2022,All animals,All species,Fattening turkeys,All prescription types,85401,6000,205.92,14.47,414732
2022,All animals,All species,Dairy cows,All prescription types,802624,73672,1517.44,139.28,528934
2022,All animals,All species,Suckler cows,All prescription types,51155,3511,221.13,15.18,231333
2022,All animals,All species,Cattle rearing and fattening,All prescription types,2760080,521237,2716.04,512.92,1016215
2022,All animals,All species,Suckling and weaned piglets,All prescription types,1010115,125733,227.47,28.31,4440736
2022,All animals,All species,Sheep,All prescription types,43493,3837,100.13,8.83,434370
2022,All animals,All species,Goats,All prescription types,63902,16071,580.12,145.9,110153
2022,All animals,All species,Breeding sows and boars,All prescription types,14679,1985,515.18,69.67,28493
2022,All animals,Equids,All categories of use,All prescription types,79426,2906,701.29,25.66,113257
2022,All animals,Equids,Equids,All prescription types,79426,2906,701.29,25.66,113257
2022,All animals,Poultry,All categories of use,All prescription types,39838928,8446878,3710.54,500.7,92060190
2022,All animals,Poultry,Rearing laying hens and parent birds,All prescription types,2823270,1302296,751.97,346.86,3754481
2022,All animals,Poultry,Laying and parent birds,All prescription types,764379,15137,1840.58,36.45,415292
2022,All animals,Poultry,Laying hens,All prescription types,1791951,67158,502.41,18.83,3566711
2022,All animals,Poultry,Fattening broilers,All prescription types,34373927,7056287,409.66,84.09,83908974
2022,All animals,Poultry,Fattening turkeys,All prescription types,85401,6000,205.92,14.47,414732
2022,All animals,Game animals,All categories of use,All prescription types,86,13,5.8,0.88,14830
2022,All animals,Game animals,Game animals,All prescription types,86,13,5.8,0.88,14830
2022,All animals,Dogs,All categories of use,All prescription types,1312680,195032,2374.68,352.82,552781
2022,All animals,Dogs,Dogs,All prescription types,1312680,195032,2374.68,352.82,552781
2022,All animals,Camelids,All categories of use,All prescription types,3145,1086,336.51,116.2,9346
2022,All animals,Camelids,Camelids,All prescription types,3145,1086,336.51,116.2,9346
2022,All animals,Rabbits,All categories of use,All prescription types,1774167,11397,6783.93,43.58,261525
2022,All animals,Rabbits,Rabbits,All prescription types,1774167,11397,6783.93,43.58,261525
2022,All animals,Cats,All categories of use,All prescription types,2203685,1234007,1188.77,665.68,1853759
2022,All animals,Cats,Cats,All prescription types,2203685,1234007,1188.77,665.68,1853759
2022,All animals,Cattle,All categories of use,All prescription types,3613859,598420,4454.61,667.38,1776482
2022,All animals,Cattle,Dairy cows,All prescription types,802624,73672,1517.44,139.28,528934
2022,All animals,Cattle,Suckler cows,All prescription types,51155,3511,221.13,15.18,231333
2022,All animals,Cattle,Cattle rearing and fattening,All prescription types,2760080,521237,2716.04,512.92,1016215
2022,All animals,Sheep,All categories of use,All prescription types,43493,3837,100.13,8.83,434370
2022,All animals,Sheep,Sheep,All prescription types,43493,3837,100.13,8.83,434370
2022,All animals,Pigs,All categories of use,All prescription types,1541076,168414,951.84,114.47,6937188
2022,All animals,Pigs,Fattening pigs and giltsm,All prescription types,516282,40696,209.19,16.49,2467959
2022,All animals,Pigs,Suckling and weaned piglets,All prescription types,1010115,125733,227.47,28.31,4440736
2022,All animals,Pigs,Breeding sows and boars,All prescription types,14679,1985,515.18,69.67,28493
2022,All animals,Goats,All categories of use,All prescription types,63902,16071,580.12,145.9,110153
2022,All animals,Goats,Goats,All prescription types,63902,16071,580.12,145.9,110153
2022,Pets,All species,All categories of use,All prescription types,3595791,1431945,4264.74,1044.16,2519797
2022,Pets,All species,Equids,All prescription types,79426,2906,701.29,25.66,113257
2022,Pets,All species,Dogs,All prescription types,1312680,195032,2374.68,352.82,552781
2022,Pets,All species,Cats,All prescription types,2203685,1234007,1188.77,665.68,1853759
2022,Pets,Equids,All categories of use,All prescription types,79426,2906,701.29,25.66,113257
2022,Pets,Equids,Equids,All prescription types,79426,2906,701.29,25.66,113257
2022,Pets,Dogs,All categories of use,All prescription types,1312680,195032,2374.68,352.82,552781
2022,Pets,Dogs,Dogs,All prescription types,1312680,195032,2374.68,352.82,552781
2022,Pets,Cats,All categories of use,All prescription types,2203685,1234007,1188.77,665.68,1853759
2022,Pets,Cats,Cats,All prescription types,2203685,1234007,1188.77,665.68,1853759
