Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Goats nAS,Yes,Dispensing on stock,Goats,0.1094
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Goats nAS,Yes,All prescription types,Goats,0.1094
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Goats nAS,Yes,Dispensing on stock,Goats,0.012
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Goats nAS,Yes,All prescription types,Goats,0.012
2021,Farm animals,All active substance classes,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,20.3276
2021,Farm animals,All active substance classes,Goats nAS,All types of active ingredients,All prescription types,Goats,20.3276
2021,Farm animals,Aminoglycosides,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,4.1051
2021,Farm animals,Aminoglycosides,Goats nAS,All types of active ingredients,All prescription types,Goats,4.1051
2021,Farm animals,Amphenicols,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.0388
2021,Farm animals,Amphenicols,Goats nAS,All types of active ingredients,All prescription types,Goats,0.0388
2021,Farm animals,Others¹,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.3187
2021,Farm animals,Others¹,Goats nAS,All types of active ingredients,All prescription types,Goats,0.3187
2021,Farm animals,Cephalosporins 1st/2nd generation,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.0225
2021,Farm animals,Cephalosporins 1st/2nd generation,Goats nAS,All types of active ingredients,All prescription types,Goats,0.0225
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.0123
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Goats nAS,All types of active ingredients,All prescription types,Goats,0.0123
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.1094
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Goats nAS,All types of active ingredients,All prescription types,Goats,0.1094
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,0.012
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Goats nAS,All types of active ingredients,All prescription types,Goats,0.012
2021,Farm animals,Penicillins,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,7.1002
2021,Farm animals,Penicillins,Goats nAS,All types of active ingredients,All prescription types,Goats,7.1002
2021,Farm animals,Sulfonamides,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,6.2371
2021,Farm animals,Sulfonamides,Goats nAS,All types of active ingredients,All prescription types,Goats,6.2371
2021,Farm animals,Tetracyclines,Goats nAS,All types of active ingredients,Dispensing on stock,Goats,2.3714
2021,Farm animals,Tetracyclines,Goats nAS,All types of active ingredients,All prescription types,Goats,2.3714
2021,Farm animals,Aminoglycosides,Sheep nAS,All types of active ingredients,All prescription types,Sheep,15.2726
2021,Farm animals,Amphenicols,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.18
2021,Farm animals,Amphenicols,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.18
2021,Farm animals,Others¹,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,2.4619
2021,Farm animals,Others¹,Sheep nAS,All types of active ingredients,All prescription types,Sheep,2.4619
2021,Farm animals,Cephalosporins 1st/2nd generation,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.0281
2021,Farm animals,Cephalosporins 1st/2nd generation,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.0281
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.0114
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.0114
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.0452
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.0452
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.0161
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.0161
2021,Farm animals,Penicillins,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,24.9978
2021,Farm animals,Penicillins,Sheep nAS,All types of active ingredients,All prescription types,Sheep,24.9978
2021,Farm animals,Polymyxins,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,0.0024
2021,Farm animals,Polymyxins,Sheep nAS,All types of active ingredients,All prescription types,Sheep,0.0024
2021,Farm animals,Sulfonamides,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,38.0431
2021,Farm animals,Sulfonamides,Sheep nAS,All types of active ingredients,All prescription types,Sheep,38.0431
2021,Farm animals,Tetracyclines,Sheep nAS,All types of active ingredients,Dispensing on stock,Sheep,13.7405
2021,Farm animals,Tetracyclines,Sheep nAS,All types of active ingredients,All prescription types,Sheep,13.7405
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,No,Dispensing on stock,Pigs,0.006
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,No,All prescription types,Pigs,0.0067
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,No,Single treatments farm animals,Pigs,0.0007
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,Dispensing on stock,Pigs,0.1084
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,All prescription types,Pigs,0.289
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,Single treatments farm animals,Pigs,0.1807
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Dispensing on stock,Pigs,0.006
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,All prescription types,Pigs,0.0067
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Single treatments farm animals,Pigs,0.0007
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Dispensing on stock,Pigs,0.1084
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,Pigs,0.289
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,Pigs,0.1807
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,Yes,All prescription types,Pigs,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,Yes,Single treatments farm animals,Pigs,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,All types of active ingredients,All prescription types,Pigs,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,All types of active ingredients,Single treatments farm animals,Pigs,0.0115
2021,Farm animals,All active substance classes,Suckling and weaned piglets,No,All prescription types,Pigs,448.5221
2021,Farm animals,All active substance classes,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,2.6878
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Laying and parent birds,Yes,All prescription types,Poultry,1.0008
2021,Farm animals,All active substance classes,Suckling and weaned piglets,No,Oral group treatments,Pigs,445.8343
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,No,All prescription types,Pigs,0.2508
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.2208
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Laying and parent birds,Yes,Oral group treatments,Poultry,1.0008
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,No,Oral group treatments,Pigs,0.03
2021,Farm animals,Amphenicols,Suckling and weaned piglets,No,All prescription types,Pigs,0.0678
2021,Farm animals,Amphenicols,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.0678
2021,Farm animals,Others¹,Suckling and weaned piglets,No,All prescription types,Pigs,11.2666
2021,Farm animals,Others¹,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.0812
2021,Farm animals,Others¹,Suckling and weaned piglets,No,Oral group treatments,Pigs,11.1855
2021,Farm animals,Penicillins,Suckling and weaned piglets,No,All prescription types,Pigs,42.821
2021,Farm animals,Penicillins,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.8759
2021,Farm animals,Penicillins,Suckling and weaned piglets,No,Oral group treatments,Pigs,41.9451
2021,Farm animals,Polymyxins,Suckling and weaned piglets,No,All prescription types,Pigs,45.1697
2021,Farm animals,Polymyxins,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.0274
2021,Farm animals,Polymyxins,Suckling and weaned piglets,No,Oral group treatments,Pigs,45.1423
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,No,All prescription types,Pigs,159.791
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.7796
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,No,Oral group treatments,Pigs,159.0114
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,No,All prescription types,Pigs,189.1551
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,No,Single treatments farm animals,Pigs,0.6351
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,No,Oral group treatments,Pigs,188.52
2021,Farm animals,All active substance classes,Laying and parent birds,All types of active ingredients,All prescription types,Poultry,22.1903
2021,Farm animals,All active substance classes,Suckling and weaned piglets,Yes,All prescription types,Pigs,10.2999
2021,Farm animals,All active substance classes,Laying and parent birds,All types of active ingredients,Single treatments farm animals,Poultry,0.0006
2021,Farm animals,All active substance classes,Suckling and weaned piglets,Yes,Single treatments farm animals,Pigs,0.2434
2021,Farm animals,All active substance classes,Laying and parent birds,All types of active ingredients,Oral group treatments,Poultry,22.1896
2021,Farm animals,All active substance classes,Suckling and weaned piglets,Yes,Oral group treatments,Pigs,10.0565
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Laying and parent birds,All types of active ingredients,All prescription types,Poultry,0.0002
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Suckling and weaned piglets,Yes,All prescription types,Pigs,0.0018
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Suckling and weaned piglets,Yes,Single treatments farm animals,Pigs,0.0018
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Suckling and weaned piglets,Yes,All prescription types,Pigs,0.1875
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Laying and parent birds,All types of active ingredients,Single treatments farm animals,Poultry,0.0002
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Suckling and weaned piglets,Yes,Single treatments farm animals,Pigs,0.1875
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Laying and parent birds,All types of active ingredients,All prescription types,Poultry,1.0008
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,Yes,All prescription types,Pigs,10.1105
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,Yes,Single treatments farm animals,Pigs,0.054
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Laying and parent birds,All types of active ingredients,Oral group treatments,Poultry,1.0008
2021,Farm animals,Penicillins,Laying and parent birds,All types of active ingredients,All prescription types,Poultry,21.1892
2021,Farm animals,Penicillins,Laying and parent birds,All types of active ingredients,Single treatments farm animals,Poultry,0.0004
2021,Farm animals,Penicillins,Laying and parent birds,All types of active ingredients,Oral group treatments,Poultry,21.1888
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,Yes,Oral group treatments,Pigs,10.0565
2021,Farm animals,All active substance classes,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,458.8219
2021,Farm animals,All active substance classes,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,2.9312
2021,Farm animals,All active substance classes,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,455.8907
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,0.2508
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.2208
2021,Farm animals,Aminoglycosides,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,0.03
2021,Farm animals,Amphenicols,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,0.0678
2021,Farm animals,Amphenicols,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.0678
2021,Farm animals,Others¹,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,11.2666
2021,Farm animals,Others¹,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.0812
2021,Farm animals,Others¹,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,11.1855
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,0.0018
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.0018
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,0.1875
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.1875
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,10.1105
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.054
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,10.0565
2021,Farm animals,Penicillins,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,42.821
2021,Farm animals,Penicillins,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.8759
2021,Farm animals,Penicillins,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,41.9451
2021,Farm animals,Polymyxins,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,45.1697
2021,Farm animals,Polymyxins,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.0274
2021,Farm animals,Polymyxins,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,45.1423
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,159.791
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.7796
2021,Farm animals,Sulfonamides,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,159.0114
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,All types of active ingredients,All prescription types,Pigs,189.1551
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,All types of active ingredients,Single treatments farm animals,Pigs,0.6351
2021,Farm animals,Tetracyclines,Suckling and weaned piglets,All types of active ingredients,Oral group treatments,Pigs,188.52
2021,Farm animals,All active substance classes,Pigs nAS,No,Dispensing on stock,Pigs,798.5394
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,All prescription types,Game animals,0.001
2021,Farm animals,All active substance classes,Pigs nAS,No,All prescription types,Pigs,798.5394
2021,Farm animals,Aminoglycosides,Pigs nAS,No,Dispensing on stock,Pigs,100.6957
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,Single treatments farm animals,Game animals,0.001
2021,Farm animals,Aminoglycosides,Pigs nAS,No,All prescription types,Pigs,100.6957
2021,Farm animals,Amphenicols,Pigs nAS,No,Dispensing on stock,Pigs,4.719
2021,Farm animals,Amphenicols,Pigs nAS,No,All prescription types,Pigs,4.719
2021,Farm animals,Others¹,Pigs nAS,No,Dispensing on stock,Pigs,29.12
2021,Farm animals,Others¹,Pigs nAS,No,All prescription types,Pigs,29.12
2021,Farm animals,Cephalosporins 1st/2nd generation,Pigs nAS,No,Dispensing on stock,Pigs,0.006
2021,Farm animals,Cephalosporins 1st/2nd generation,Pigs nAS,No,All prescription types,Pigs,0.006
2021,Farm animals,Penicillins,Pigs nAS,No,Dispensing on stock,Pigs,425.5996
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,Game animals,0.001
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,Game animals,0.001
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Game animals,Yes,All prescription types,Game animals,0.001
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Game animals,Yes,Single treatments farm animals,Game animals,0.001
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Game animals,All types of active ingredients,All prescription types,Game animals,0.001
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Game animals,All types of active ingredients,Single treatments farm animals,Game animals,0.001
2021,Farm animals,Penicillins,Pigs nAS,No,All prescription types,Pigs,425.5996
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,No,All prescription types,Camelids,0.0257
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,No,Single treatments farm animals,Camelids,0.0257
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,All prescription types,Camelids,0.0404
2021,Farm animals,Polymyxins,Pigs nAS,No,Dispensing on stock,Pigs,9.5819
2021,Farm animals,Polymyxins,Pigs nAS,No,All prescription types,Pigs,9.5819
2021,Farm animals,Sulfonamides,Pigs nAS,No,Dispensing on stock,Pigs,161.5076
2021,Farm animals,Sulfonamides,Pigs nAS,No,All prescription types,Pigs,161.5076
2021,Farm animals,Tetracyclines,Pigs nAS,No,Dispensing on stock,Pigs,67.3096
2021,Farm animals,Tetracyclines,Pigs nAS,No,All prescription types,Pigs,67.3096
2021,Farm animals,All active substance classes,Pigs nAS,Yes,Dispensing on stock,Pigs,4.9301
2021,Farm animals,All active substance classes,Pigs nAS,Yes,All prescription types,Pigs,4.9301
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Pigs nAS,Yes,Dispensing on stock,Pigs,0.1084
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Pigs nAS,Yes,All prescription types,Pigs,0.1084
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Pigs nAS,Yes,Dispensing on stock,Pigs,1.611
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Pigs nAS,Yes,All prescription types,Pigs,1.611
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Pigs nAS,Yes,Dispensing on stock,Pigs,3.2108
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Pigs nAS,Yes,All prescription types,Pigs,3.2108
2021,Farm animals,All active substance classes,Pigs nAS,All types of active ingredients,Dispensing on stock,Pigs,803.4695
2021,Farm animals,All active substance classes,Pigs nAS,All types of active ingredients,All prescription types,Pigs,803.4695
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening calves and cattle,Yes,Single treatments farm animals,All species,0.5916
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Fattening calves and cattle,Yes,All prescription types,All species,13.4529
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Fattening calves and cattle,Yes,Single treatments farm animals,All species,13.4529
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,Yes,All prescription types,All species,491.0802
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,Yes,Single treatments farm animals,All species,15.6276
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,Yes,Oral group treatments,All species,475.4526
2021,Farm animals,All active substance classes,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,6977.2352
2021,Farm animals,All active substance classes,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,302.075
2021,Farm animals,All active substance classes,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,6675.1602
2021,Farm animals,Aminoglycosides,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,19.6357
2021,Farm animals,Aminoglycosides,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,19.6357
2021,Farm animals,Amphenicols,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,57.5116
2021,Farm animals,Amphenicols,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,57.5116
2021,Farm animals,Others¹,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,55.0651
2021,Farm animals,Others¹,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,4.3771
2021,Farm animals,Others¹,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,50.688
2021,Farm animals,Cephalosporins 1st/2nd generation,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,0.0328
2021,Farm animals,Cephalosporins 1st/2nd generation,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,0.0328
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,0.5916
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,0.5916
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,13.4529
2021,Farm animals,Fluoroquinolonesᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,13.4529
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,491.0802
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,15.6276
2021,Farm animals,Macrolidesᵏʳⁱᵗ,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,475.4526
2021,Farm animals,Penicillins,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,2025.0907
2021,Farm animals,Penicillins,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,71.2167
2021,Farm animals,Penicillins,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,1953.874
2021,Farm animals,Polymyxins,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,0.1635
2021,Farm animals,Polymyxins,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,0.0416
2021,Farm animals,Polymyxins,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,0.1219
2021,Farm animals,Sulfonamides,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,1802.1153
2021,Farm animals,Sulfonamides,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,66.1072
2021,Farm animals,Sulfonamides,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,1736.0081
2021,Farm animals,Tetracyclines,Fattening calves and cattle,All types of active ingredients,All prescription types,All species,2512.4959
2021,Farm animals,Tetracyclines,Fattening calves and cattle,All types of active ingredients,Single treatments farm animals,All species,53.4803
2021,Farm animals,Tetracyclines,Fattening calves and cattle,All types of active ingredients,Oral group treatments,All species,2459.0155
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,Yes,All prescription types,All species,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,Yes,Single treatments farm animals,All species,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,All types of active ingredients,All prescription types,All species,0.0115
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Fattening pigs,All types of active ingredients,Single treatments farm animals,All species,0.0115
2021,Farm animals,Cephalosporins 1st/2nd generation,Dairy cows,No,All prescription types,All species,37.8312
2021,Farm animals,Cephalosporins 1st/2nd generation,Dairy cows,No,Single treatments farm animals,All species,37.8312
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,Single treatments farm animals,Camelids,0.0404
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Dairy cows,Yes,All prescription types,All species,23.4076
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Dairy cows,Yes,Single treatments farm animals,All species,23.4076
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,All prescription types,Camelids,0.0257
2021,Farm animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Single treatments farm animals,Camelids,0.0257
2021,Farm animals,Cephalosporins 1st/2nd generation,Dairy cows,All types of active ingredients,All prescription types,All species,37.8312
2021,Farm animals,Cephalosporins 1st/2nd generation,Dairy cows,All types of active ingredients,Single treatments farm animals,All species,37.8312
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,Camelids,0.0404
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Dairy cows,All types of active ingredients,All prescription types,All species,23.4076
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Dairy cows,All types of active ingredients,Single treatments farm animals,All species,23.4076
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,Camelids,0.0404
2021,Farm animals,Cephalosporins 1st/2nd generation,Cow-calf calves,No,All prescription types,All species,0.0074
2021,Farm animals,Cephalosporins 1st/2nd generation,Cow-calf calves,No,Single treatments farm animals,All species,0.0074
2021,Farm animals,Cephalosporins 1st/2nd generation,Camelids,No,All prescription types,Camelids,0.0257
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Cow-calf calves,Yes,All prescription types,All species,0.1638
2021,Farm animals,Cephalosporins 1st/2nd generation,Camelids,No,Single treatments farm animals,Camelids,0.0257
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Cow-calf calves,Yes,Single treatments farm animals,All species,0.1638
2021,Farm animals,Cephalosporins 1st/2nd generation,Cow-calf calves,All types of active ingredients,All prescription types,All species,0.0074
2021,Farm animals,Cephalosporins 1st/2nd generation,Cow-calf calves,All types of active ingredients,Single treatments farm animals,All species,0.0074
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Cow-calf calves,All types of active ingredients,All prescription types,All species,0.1638
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Camelids,Yes,All prescription types,Camelids,0.0404
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Cow-calf calves,All types of active ingredients,Single treatments farm animals,All species,0.1638
2021,Farm animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Camelids,Yes,Single treatments farm animals,Camelids,0.0404
2021,Farm animals,Cephalosporins 1st/2nd generation,Camelids,All types of active ingredients,All prescription types,Camelids,0.0257
2021,Farm animals,Cephalosporins 1st/2nd generation,Suckler cows,No,All prescription types,All species,1.115
2021,Farm animals,Cephalosporins 1st/2nd generation,Suckler cows,No,Single treatments farm animals,All species,1.115
