Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,All animals,Aminoglycosides,All categories of use,All types of active ingredients,Single treatments companion animals,All species,43.0351
2021,All animals,Aminoglycosides,All categories of use,All types of active ingredients,Single treatments farm animals,All species,903.7667
2021,All animals,Aminoglycosides,All categories of use,All types of active ingredients,Oral group treatments,All species,0.0819
2021,All animals,Amphenicols,All categories of use,All types of active ingredients,Dispensing on stock,All species,330.0264
2021,All animals,Amphenicols,All categories of use,All types of active ingredients,All prescription types,All species,507.4227
2021,All animals,Amphenicols,All categories of use,All types of active ingredients,Single treatments companion animals,All species,2.2232
2021,All animals,Amphenicols,All categories of use,All types of active ingredients,Single treatments farm animals,All species,167.4381
2021,All animals,Amphenicols,All categories of use,All types of active ingredients,Oral group treatments,All species,7.7349
2021,All animals,Others¹,All categories of use,All types of active ingredients,Dispensing on stock,All species,90.4566
2021,All animals,Others¹,All categories of use,All types of active ingredients,All prescription types,All species,457.9582
2021,All animals,Others¹,All categories of use,All types of active ingredients,Single treatments companion animals,All species,183.4436
2021,All animals,Others¹,All categories of use,All types of active ingredients,Single treatments farm animals,All species,77.698
2021,All animals,Others¹,All categories of use,All types of active ingredients,Oral group treatments,All species,106.3599
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Dispensing on stock,All species,21.3311
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,All prescription types,All species,203.3701
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Single treatments companion animals,All species,132.0506
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,All types of active ingredients,Single treatments farm animals,All species,49.9884
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Dispensing on stock,All species,2.8772
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,All species,39.6058
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments companion animals,All species,4.4595
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,All species,32.269
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Dispensing on stock,All species,33.0481
