Month,Species,Category,Prescription type,Monthly prescriptions
02.2021,Cats,Pets,All prescription types,25788
02.2021,Equids,Pets,All prescription types,1656
02.2021,Animal species nZO,Farm animals,All prescription types,2925
02.2021,All species,Pets,All prescription types,48724
02.2021,Pigs,Farm animals,All prescription types,2079
02.2021,All species,All animals,All prescription types,123308
02.2021,Goats,Farm animals,All prescription types,1246
02.2021,Dogs,Pets,All prescription types,18651
02.2021,Sheep,Farm animals,All prescription types,2310
02.2021,Pigs,All animals,All prescription types,2079
02.2021,Poultry,All animals,All prescription types,91
02.2021,Equids,All animals,All prescription types,1656
02.2021,Fish,All animals,All prescription types,10
02.2021,Cattle,All animals,All prescription types,65866
02.2021,Rabbits,All animals,All prescription types,16
02.2021,Cattle,Farm animals,All prescription types,65866
02.2021,Game animals,All animals,All prescription types,1
02.2021,Animal species nZO,All animals,All prescription types,5554
02.2021,Rabbits,Farm animals,All prescription types,16
02.2021,Camelids,Farm animals,All prescription types,40
02.2021,Game animals,Farm animals,All prescription types,1
02.2021,Camelids,All animals,All prescription types,40
02.2021,Poultry,Farm animals,All prescription types,91
02.2021,Sheep,All animals,All prescription types,2310
02.2021,Goats,All animals,All prescription types,1246
02.2021,Fish,Farm animals,All prescription types,10
02.2021,Dogs,All animals,All prescription types,18651
02.2021,Cats,All animals,All prescription types,25788
02.2021,All species,Farm animals,All prescription types,74584
02.2021,Equids,Pets,Single treatments companion animals,1656
02.2021,All species,Pets,Single treatments companion animals,48724
02.2021,All species,All animals,Single treatments companion animals,48724
02.2021,Cats,All animals,Single treatments companion animals,25788
02.2021,Animal species nZO,All animals,Single treatments companion animals,2629
02.2021,Dogs,All animals,Single treatments companion animals,18651
02.2021,Animal species nZO,Pets,Single treatments companion animals,2629
02.2021,Cats,Pets,Single treatments companion animals,25788
02.2021,Dogs,Pets,Single treatments companion animals,18651
02.2021,Equids,All animals,Single treatments companion animals,1656
02.2021,Rabbits,All animals,Single treatments farm animals,1
02.2021,Sheep,All animals,Single treatments farm animals,1979
02.2021,Game animals,Farm animals,Single treatments farm animals,1
02.2021,Goats,All animals,Single treatments farm animals,1122
02.2021,All species,Farm animals,Single treatments farm animals,57311
02.2021,Poultry,Farm animals,Single treatments farm animals,4
02.2021,Camelids,All animals,Single treatments farm animals,40
02.2021,Rabbits,Farm animals,Single treatments farm animals,1
02.2021,Game animals,All animals,Single treatments farm animals,1
02.2021,Cattle,All animals,Single treatments farm animals,53707
02.2021,Pigs,All animals,Single treatments farm animals,457
02.2021,Camelids,Farm animals,Single treatments farm animals,40
02.2021,Cattle,Farm animals,Single treatments farm animals,53707
02.2021,Poultry,All animals,Single treatments farm animals,4
02.2021,All species,All animals,Single treatments farm animals,57311
02.2021,Goats,Farm animals,Single treatments farm animals,1122
02.2021,Pigs,Farm animals,Single treatments farm animals,457
02.2021,Sheep,Farm animals,Single treatments farm animals,1979
02.2021,Cattle,Farm animals,Oral group treatments,572
02.2021,Fish,All animals,Oral group treatments,5
02.2021,Rabbits,Farm animals,Oral group treatments,5
02.2021,Cattle,All animals,Oral group treatments,572
02.2021,Sheep,Farm animals,Oral group treatments,1
02.2021,Poultry,All animals,Oral group treatments,87
02.2021,Pigs,All animals,Oral group treatments,161
02.2021,All species,Farm animals,Oral group treatments,835
02.2021,Sheep,All animals,Oral group treatments,1
02.2021,All species,All animals,Oral group treatments,835
02.2021,Goats,Farm animals,Oral group treatments,4
02.2021,Goats,All animals,Oral group treatments,4
02.2021,Poultry,Farm animals,Oral group treatments,87
02.2021,Pigs,Farm animals,Oral group treatments,161
02.2021,Fish,Farm animals,Oral group treatments,5
02.2021,Rabbits,All animals,Oral group treatments,5
03.2021,Goats,All animals,Dispensing on stock,122
03.2021,Poultry,All animals,Dispensing on stock,3
03.2021,All species,Farm animals,Dispensing on stock,18141
03.2021,Fish,All animals,Dispensing on stock,1
03.2021,Cattle,Farm animals,Dispensing on stock,12536
03.2021,Rabbits,All animals,Dispensing on stock,13
03.2021,Pigs,All animals,Dispensing on stock,1815
03.2021,Fish,Farm animals,Dispensing on stock,1
03.2021,Sheep,Farm animals,Dispensing on stock,390
03.2021,Goats,Farm animals,Dispensing on stock,122
03.2021,Animal species nZO,Farm animals,Dispensing on stock,3261
03.2021,Sheep,All animals,Dispensing on stock,390
03.2021,Poultry,Farm animals,Dispensing on stock,3
03.2021,All species,All animals,Dispensing on stock,18141
03.2021,Cattle,All animals,Dispensing on stock,12536
03.2021,Pigs,Farm animals,Dispensing on stock,1815
03.2021,Rabbits,Farm animals,Dispensing on stock,13
03.2021,Animal species nZO,All animals,Dispensing on stock,3261
03.2021,Animal species nZO,Pets,All prescription types,3358
03.2021,Pigs,Farm animals,All prescription types,2509
03.2021,Equids,Pets,All prescription types,1885
03.2021,Animal species nZO,Farm animals,All prescription types,3261
03.2021,Goats,Farm animals,All prescription types,1256
03.2021,All species,All animals,All prescription types,137334
03.2021,All species,Pets,All prescription types,56339
03.2021,Dogs,Pets,All prescription types,21664
03.2021,Fish,All animals,All prescription types,6
03.2021,Sheep,Farm animals,All prescription types,2803
03.2021,Poultry,All animals,All prescription types,109
03.2021,Cats,Pets,All prescription types,29432
03.2021,Goats,All animals,All prescription types,1256
03.2021,Equids,All animals,All prescription types,1885
03.2021,Pigs,All animals,All prescription types,2509
03.2021,Cattle,Farm animals,All prescription types,70948
03.2021,Animal species nZO,All animals,All prescription types,6619
03.2021,Game animals,All animals,All prescription types,1
03.2021,Rabbits,Farm animals,All prescription types,20
03.2021,Cats,All animals,All prescription types,29432
03.2021,Camelids,Farm animals,All prescription types,82
03.2021,Poultry,Farm animals,All prescription types,109
03.2021,Game animals,Farm animals,All prescription types,1
03.2021,Sheep,All animals,All prescription types,2803
