Month,Species,Category,Prescription type,Monthly prescriptions
10.2021,Goats,Farm animals,Dispensing on stock,57
10.2021,Sheep,Farm animals,Dispensing on stock,267
10.2021,Rabbits,All animals,Dispensing on stock,9
10.2021,Goats,All animals,Dispensing on stock,57
10.2021,Animal species nZO,Farm animals,Dispensing on stock,2960
10.2021,All species,All animals,Dispensing on stock,16601
10.2021,Pigs,Farm animals,Dispensing on stock,1465
10.2021,Poultry,Farm animals,Dispensing on stock,5
10.2021,Sheep,All animals,Dispensing on stock,267
10.2021,Rabbits,Farm animals,Dispensing on stock,9
10.2021,Poultry,All animals,Dispensing on stock,5
10.2021,Pigs,All animals,Dispensing on stock,1465
10.2021,Cattle,Farm animals,Dispensing on stock,11836
10.2021,Cattle,All animals,Dispensing on stock,11836
10.2021,Pigs,Farm animals,All prescription types,2067
10.2021,Cats,Pets,All prescription types,30193
10.2021,All species,All animals,All prescription types,135700
10.2021,Equids,All animals,All prescription types,1889
10.2021,Cattle,All animals,All prescription types,72852
10.2021,Dogs,Pets,All prescription types,20939
10.2021,Sheep,Farm animals,All prescription types,1306
10.2021,Fish,All animals,All prescription types,5
10.2021,Goats,Farm animals,All prescription types,435
10.2021,Equids,Pets,All prescription types,1889
10.2021,Animal species nZO,Pets,All prescription types,2885
10.2021,All species,Pets,All prescription types,55906
10.2021,Camelids,Farm animals,All prescription types,51
10.2021,Poultry,All animals,All prescription types,94
10.2021,Pigs,All animals,All prescription types,2067
10.2021,Cattle,Farm animals,All prescription types,72852
10.2021,Cats,All animals,All prescription types,30193
10.2021,Dogs,All animals,All prescription types,20939
10.2021,Game animals,All animals,All prescription types,5
10.2021,Rabbits,Farm animals,All prescription types,19
10.2021,Game animals,Farm animals,All prescription types,5
10.2021,Sheep,All animals,All prescription types,1306
10.2021,Animal species nZO,All animals,All prescription types,5845
10.2021,Camelids,All animals,All prescription types,51
10.2021,All species,Farm animals,All prescription types,79794
10.2021,Goats,All animals,All prescription types,435
10.2021,Animal species nZO,Farm animals,All prescription types,2960
10.2021,Poultry,Farm animals,All prescription types,94
10.2021,Fish,Farm animals,All prescription types,5
10.2021,Rabbits,All animals,All prescription types,19
10.2021,Equids,Pets,Single treatments companion animals,1889
10.2021,Animal species nZO,Pets,Single treatments companion animals,2885
10.2021,All species,Pets,Single treatments companion animals,55906
10.2021,Cats,All animals,Single treatments companion animals,30193
10.2021,Dogs,All animals,Single treatments companion animals,20939
10.2021,All species,All animals,Single treatments companion animals,55906
10.2021,Dogs,Pets,Single treatments companion animals,20939
10.2021,Equids,All animals,Single treatments companion animals,1889
10.2021,Animal species nZO,All animals,Single treatments companion animals,2885
10.2021,Cats,Pets,Single treatments companion animals,30193
10.2021,Rabbits,All animals,Single treatments farm animals,4
10.2021,Poultry,Farm animals,Single treatments farm animals,3
10.2021,Game animals,Farm animals,Single treatments farm animals,5
10.2021,Sheep,All animals,Single treatments farm animals,1039
10.2021,Goats,All animals,Single treatments farm animals,375
10.2021,All species,Farm animals,Single treatments farm animals,62347
10.2021,Camelids,All animals,Single treatments farm animals,51
10.2021,Game animals,All animals,Single treatments farm animals,5
10.2021,Rabbits,Farm animals,Single treatments farm animals,4
10.2021,Cattle,Farm animals,Single treatments farm animals,60422
10.2021,Pigs,All animals,Single treatments farm animals,448
10.2021,Camelids,Farm animals,Single treatments farm animals,51
10.2021,Poultry,All animals,Single treatments farm animals,3
10.2021,All species,All animals,Single treatments farm animals,62347
10.2021,Goats,Farm animals,Single treatments farm animals,375
10.2021,Pigs,Farm animals,Single treatments farm animals,448
10.2021,Sheep,Farm animals,Single treatments farm animals,1039
10.2021,Cattle,All animals,Single treatments farm animals,60422
10.2021,Rabbits,Farm animals,Oral group treatments,6
10.2021,Poultry,All animals,Oral group treatments,86
10.2021,Goats,Farm animals,Oral group treatments,3
10.2021,Pigs,All animals,Oral group treatments,154
10.2021,All species,Farm animals,Oral group treatments,846
10.2021,All species,All animals,Oral group treatments,846
10.2021,Cattle,All animals,Oral group treatments,594
10.2021,Goats,All animals,Oral group treatments,3
10.2021,Poultry,Farm animals,Oral group treatments,86
10.2021,Cattle,Farm animals,Oral group treatments,594
10.2021,Fish,All animals,Oral group treatments,3
10.2021,Pigs,Farm animals,Oral group treatments,154
10.2021,Rabbits,All animals,Oral group treatments,6
10.2021,Fish,Farm animals,Oral group treatments,3
11.2021,Goats,Farm animals,Dispensing on stock,50
11.2021,Animal species nZO,All animals,Dispensing on stock,3104
11.2021,Cattle,All animals,Dispensing on stock,13262
11.2021,Rabbits,All animals,Dispensing on stock,10
11.2021,All species,Farm animals,Dispensing on stock,18148
11.2021,Animal species nZO,Farm animals,Dispensing on stock,3104
11.2021,Sheep,All animals,Dispensing on stock,242
11.2021,All species,All animals,Dispensing on stock,18148
11.2021,Goats,All animals,Dispensing on stock,50
11.2021,Pigs,Farm animals,Dispensing on stock,1480
11.2021,Cattle,Farm animals,Dispensing on stock,13262
11.2021,Pigs,All animals,Dispensing on stock,1480
11.2021,Sheep,Farm animals,Dispensing on stock,242
11.2021,Rabbits,Farm animals,Dispensing on stock,10
11.2021,Fish,All animals,All prescription types,4
11.2021,Pigs,Farm animals,All prescription types,2041
11.2021,All species,All animals,All prescription types,138280
11.2021,All species,Pets,All prescription types,55600
11.2021,Dogs,Pets,All prescription types,20462
11.2021,Poultry,All animals,All prescription types,51
11.2021,Cattle,All animals,All prescription types,75718
11.2021,Cats,Pets,All prescription types,30933
11.2021,Equids,Pets,All prescription types,1591
11.2021,Animal species nZO,Pets,All prescription types,2614
11.2021,Equids,All animals,All prescription types,1591
11.2021,Goats,Farm animals,All prescription types,444
11.2021,Sheep,Farm animals,All prescription types,1251
11.2021,Cattle,Farm animals,All prescription types,75718
11.2021,Camelids,Farm animals,All prescription types,46
11.2021,Animal species nZO,All animals,All prescription types,5718
11.2021,All species,Farm animals,All prescription types,82680
11.2021,Rabbits,All animals,All prescription types,21
11.2021,Pigs,All animals,All prescription types,2041
11.2021,Rabbits,Farm animals,All prescription types,21
11.2021,Goats,All animals,All prescription types,444
11.2021,Poultry,Farm animals,All prescription types,51
11.2021,Sheep,All animals,All prescription types,1251
11.2021,Animal species nZO,Farm animals,All prescription types,3104
11.2021,Fish,Farm animals,All prescription types,4
11.2021,Camelids,All animals,All prescription types,46
11.2021,Dogs,All animals,All prescription types,20462
11.2021,Cats,All animals,All prescription types,30933
11.2021,Equids,Pets,Single treatments companion animals,1591
11.2021,Animal species nZO,Pets,Single treatments companion animals,2614
11.2021,Cats,All animals,Single treatments companion animals,30933
11.2021,Animal species nZO,All animals,Single treatments companion animals,2614
11.2021,All species,All animals,Single treatments companion animals,55600
11.2021,Dogs,All animals,Single treatments companion animals,20462
11.2021,Cats,Pets,Single treatments companion animals,30933
11.2021,Dogs,Pets,Single treatments companion animals,20462
11.2021,All species,Pets,Single treatments companion animals,55600
11.2021,Equids,All animals,Single treatments companion animals,1591
11.2021,Camelids,All animals,Single treatments farm animals,46
11.2021,All species,Farm animals,Single treatments farm animals,63623
11.2021,Rabbits,All animals,Single treatments farm animals,5
11.2021,Goats,All animals,Single treatments farm animals,392
11.2021,Rabbits,Farm animals,Single treatments farm animals,5
11.2021,Pigs,All animals,Single treatments farm animals,402
11.2021,Cattle,Farm animals,Single treatments farm animals,61768
11.2021,Camelids,Farm animals,Single treatments farm animals,46
11.2021,Poultry,All animals,Single treatments farm animals,2
11.2021,Sheep,Farm animals,Single treatments farm animals,1008
11.2021,All species,All animals,Single treatments farm animals,63623
11.2021,Poultry,Farm animals,Single treatments farm animals,2
11.2021,Pigs,Farm animals,Single treatments farm animals,402
11.2021,Goats,Farm animals,Single treatments farm animals,392
11.2021,Sheep,All animals,Single treatments farm animals,1008
11.2021,Cattle,All animals,Single treatments farm animals,61768
11.2021,Poultry,All animals,Oral group treatments,49
11.2021,Cattle,All animals,Oral group treatments,688
11.2021,Sheep,Farm animals,Oral group treatments,1
11.2021,Rabbits,Farm animals,Oral group treatments,6
11.2021,Goats,Farm animals,Oral group treatments,2
11.2021,All species,All animals,Oral group treatments,909
11.2021,Goats,All animals,Oral group treatments,2
11.2021,Sheep,All animals,Oral group treatments,1
11.2021,Poultry,Farm animals,Oral group treatments,49
11.2021,Cattle,Farm animals,Oral group treatments,688
11.2021,Fish,All animals,Oral group treatments,4
11.2021,Pigs,Farm animals,Oral group treatments,159
11.2021,Fish,Farm animals,Oral group treatments,4
11.2021,All species,Farm animals,Oral group treatments,909
11.2021,Pigs,All animals,Oral group treatments,159
11.2021,Rabbits,All animals,Oral group treatments,6
12.2021,Poultry,All animals,Dispensing on stock,3
12.2021,Goats,Farm animals,Dispensing on stock,52
12.2021,All species,Farm animals,Dispensing on stock,19103
12.2021,Poultry,Farm animals,Dispensing on stock,3
12.2021,Animal species nZO,Farm animals,Dispensing on stock,3320
12.2021,All species,All animals,Dispensing on stock,19103
12.2021,Pigs,Farm animals,Dispensing on stock,1595
12.2021,Goats,All animals,Dispensing on stock,52
12.2021,Sheep,All animals,Dispensing on stock,250
12.2021,Rabbits,Farm animals,Dispensing on stock,13
12.2021,Animal species nZO,All animals,Dispensing on stock,3320
12.2021,Pigs,All animals,Dispensing on stock,1595
12.2021,Cattle,Farm animals,Dispensing on stock,13870
12.2021,Rabbits,All animals,Dispensing on stock,13
12.2021,Sheep,Farm animals,Dispensing on stock,250
12.2021,Cattle,All animals,Dispensing on stock,13870
12.2021,Cats,Pets,All prescription types,28144
12.2021,Pigs,Farm animals,All prescription types,2212
12.2021,Dogs,Pets,All prescription types,19110
12.2021,Equids,Pets,All prescription types,1576
12.2021,All species,Pets,All prescription types,51407
12.2021,Goats,Farm animals,All prescription types,500
12.2021,Poultry,All animals,All prescription types,77
12.2021,Fish,All animals,All prescription types,2
12.2021,Animal species nZO,Pets,All prescription types,2577
12.2021,Equids,All animals,All prescription types,1576
12.2021,Animal species nZO,All animals,All prescription types,5897
12.2021,Rabbits,All animals,All prescription types,20
12.2021,Sheep,Farm animals,All prescription types,1463
12.2021,Cattle,Farm animals,All prescription types,78808
12.2021,Cats,All animals,All prescription types,28144
12.2021,Rabbits,Farm animals,All prescription types,20
12.2021,Game animals,All animals,All prescription types,2
12.2021,Camelids,Farm animals,All prescription types,54
12.2021,Pigs,All animals,All prescription types,2212
12.2021,Cattle,All animals,All prescription types,78808
12.2021,Sheep,All animals,All prescription types,1463
12.2021,Game animals,Farm animals,All prescription types,2
12.2021,Goats,All animals,All prescription types,500
12.2021,Poultry,Farm animals,All prescription types,77
12.2021,Animal species nZO,Farm animals,All prescription types,3320
12.2021,All species,All animals,All prescription types,137865
12.2021,Fish,Farm animals,All prescription types,2
12.2021,Dogs,All animals,All prescription types,19110
12.2021,Camelids,All animals,All prescription types,54
12.2021,All species,Farm animals,All prescription types,86458
12.2021,Equids,Pets,Single treatments companion animals,1576
12.2021,All species,Pets,Single treatments companion animals,51407
12.2021,Animal species nZO,Pets,Single treatments companion animals,2577
12.2021,Cats,All animals,Single treatments companion animals,28144
12.2021,Animal species nZO,All animals,Single treatments companion animals,2577
12.2021,All species,All animals,Single treatments companion animals,51407
12.2021,Dogs,All animals,Single treatments companion animals,19110
12.2021,Cats,Pets,Single treatments companion animals,28144
12.2021,Dogs,Pets,Single treatments companion animals,19110
12.2021,Equids,All animals,Single treatments companion animals,1576
12.2021,Rabbits,All animals,Single treatments farm animals,4
12.2021,Camelids,All animals,Single treatments farm animals,54
12.2021,All species,Farm animals,Single treatments farm animals,66303
12.2021,Game animals,Farm animals,Single treatments farm animals,2
12.2021,Sheep,All animals,Single treatments farm animals,1213
12.2021,Goats,All animals,Single treatments farm animals,448
12.2021,Cattle,All animals,Single treatments farm animals,64141
12.2021,Camelids,Farm animals,Single treatments farm animals,54
12.2021,Poultry,All animals,Single treatments farm animals,2
12.2021,Game animals,All animals,Single treatments farm animals,2
12.2021,Rabbits,Farm animals,Single treatments farm animals,4
12.2021,Cattle,Farm animals,Single treatments farm animals,64141
12.2021,Sheep,Farm animals,Single treatments farm animals,1213
12.2021,Pigs,All animals,Single treatments farm animals,439
12.2021,Goats,Farm animals,Single treatments farm animals,448
12.2021,All species,All animals,Single treatments farm animals,66303
12.2021,Pigs,Farm animals,Single treatments farm animals,439
12.2021,Poultry,Farm animals,Single treatments farm animals,2
12.2021,Cattle,All animals,Oral group treatments,797
12.2021,Cattle,Farm animals,Oral group treatments,797
12.2021,Fish,All animals,Oral group treatments,2
12.2021,Poultry,All animals,Oral group treatments,72
12.2021,Rabbits,Farm animals,Oral group treatments,3
12.2021,Pigs,All animals,Oral group treatments,178
12.2021,All species,All animals,Oral group treatments,1052
12.2021,Poultry,Farm animals,Oral group treatments,72
12.2021,All species,Farm animals,Oral group treatments,1052
12.2021,Pigs,Farm animals,Oral group treatments,178
12.2021,Rabbits,All animals,Oral group treatments,3
12.2021,Fish,Farm animals,Oral group treatments,2
01.2022,Camelids,All animals,Dispensing on stock,1
01.2022,Cattle,Farm animals,Dispensing on stock,12192
01.2022,Goats,Farm animals,Dispensing on stock,93
01.2022,Sheep,Farm animals,Dispensing on stock,310
01.2022,All species,Farm animals,Dispensing on stock,16861
01.2022,Poultry,Farm animals,Dispensing on stock,6
01.2022,Cattle,All animals,Dispensing on stock,12192
01.2022,Animal species nZO,Farm animals,Dispensing on stock,2708
01.2022,All species,All animals,Dispensing on stock,16861
01.2022,Goats,All animals,Dispensing on stock,93
01.2022,Sheep,All animals,Dispensing on stock,310
01.2022,Pigs,Farm animals,Dispensing on stock,1537
01.2022,Poultry,All animals,Dispensing on stock,6
01.2022,Rabbits,Farm animals,Dispensing on stock,14
01.2022,Animal species nZO,All animals,Dispensing on stock,2708
01.2022,Camelids,Farm animals,Dispensing on stock,1
01.2022,Rabbits,All animals,Dispensing on stock,14
01.2022,Pigs,All animals,Dispensing on stock,1537
01.2022,Equids,Pets,All prescription types,1592
01.2022,Animal species nZO,Pets,All prescription types,2769
01.2022,All species,Pets,All prescription types,50494
01.2022,Pigs,Farm animals,All prescription types,2140
01.2022,Sheep,Farm animals,All prescription types,1963
01.2022,Equids,All animals,All prescription types,1592
01.2022,Fish,All animals,All prescription types,1
01.2022,Poultry,All animals,All prescription types,74
01.2022,Pigs,All animals,All prescription types,2140
01.2022,Dogs,Pets,All prescription types,19181
01.2022,Cats,Pets,All prescription types,26952
01.2022,Goats,Farm animals,All prescription types,985
01.2022,Rabbits,All animals,All prescription types,22
01.2022,Animal species nZO,All animals,All prescription types,5477
01.2022,All species,Farm animals,All prescription types,81610
01.2022,Cattle,Farm animals,All prescription types,73645
01.2022,Cats,All animals,All prescription types,26952
01.2022,Rabbits,Farm animals,All prescription types,22
01.2022,Camelids,Farm animals,All prescription types,68
01.2022,Game animals,All animals,All prescription types,4
01.2022,Game animals,Farm animals,All prescription types,4
01.2022,Goats,All animals,All prescription types,985
01.2022,Sheep,All animals,All prescription types,1963
01.2022,All species,All animals,All prescription types,132104
01.2022,Animal species nZO,Farm animals,All prescription types,2708
01.2022,Cattle,All animals,All prescription types,73645
01.2022,Poultry,Farm animals,All prescription types,74
01.2022,Camelids,All animals,All prescription types,68
01.2022,Fish,Farm animals,All prescription types,1
01.2022,Dogs,All animals,All prescription types,19181
01.2022,Dogs,Pets,Single treatments companion animals,19181
01.2022,Equids,Pets,Single treatments companion animals,1592
01.2022,Dogs,All animals,Single treatments companion animals,19181
01.2022,All species,All animals,Single treatments companion animals,50494
01.2022,Animal species nZO,All animals,Single treatments companion animals,2769
01.2022,Cats,All animals,Single treatments companion animals,26952
01.2022,Animal species nZO,Pets,Single treatments companion animals,2769
01.2022,Cats,Pets,Single treatments companion animals,26952
01.2022,All species,Pets,Single treatments companion animals,50494
01.2022,Equids,All animals,Single treatments companion animals,1592
01.2022,Camelids,All animals,Single treatments farm animals,67
01.2022,Goats,All animals,Single treatments farm animals,887
01.2022,Game animals,Farm animals,Single treatments farm animals,4
01.2022,All species,Farm animals,Single treatments farm animals,63870
01.2022,Camelids,Farm animals,Single treatments farm animals,67
01.2022,Game animals,All animals,Single treatments farm animals,4
01.2022,Pigs,All animals,Single treatments farm animals,450
01.2022,Rabbits,Farm animals,Single treatments farm animals,5
01.2022,Rabbits,All animals,Single treatments farm animals,5
01.2022,Cattle,Farm animals,Single treatments farm animals,60802
01.2022,Sheep,Farm animals,Single treatments farm animals,1651
01.2022,Sheep,All animals,Single treatments farm animals,1651
01.2022,All species,All animals,Single treatments farm animals,63870
01.2022,Poultry,All animals,Single treatments farm animals,4
01.2022,Pigs,Farm animals,Single treatments farm animals,450
01.2022,Goats,Farm animals,Single treatments farm animals,887
01.2022,Cattle,All animals,Single treatments farm animals,60802
01.2022,Poultry,Farm animals,Single treatments farm animals,4
01.2022,Goats,Farm animals,Oral group treatments,5
01.2022,Sheep,Farm animals,Oral group treatments,2
01.2022,Poultry,All animals,Oral group treatments,64
01.2022,Fish,All animals,Oral group treatments,1
01.2022,Rabbits,Farm animals,Oral group treatments,3
01.2022,Pigs,All animals,Oral group treatments,153
01.2022,All species,Farm animals,Oral group treatments,879
01.2022,Poultry,Farm animals,Oral group treatments,64
01.2022,Pigs,Farm animals,Oral group treatments,153
01.2022,All species,All animals,Oral group treatments,879
01.2022,Goats,All animals,Oral group treatments,5
01.2022,Cattle,All animals,Oral group treatments,651
01.2022,Sheep,All animals,Oral group treatments,2
01.2022,Cattle,Farm animals,Oral group treatments,651
01.2022,Rabbits,All animals,Oral group treatments,3
01.2022,Fish,Farm animals,Oral group treatments,1
02.2022,Poultry,All animals,Dispensing on stock,2
02.2022,Goats,Farm animals,Dispensing on stock,130
02.2022,All species,Farm animals,Dispensing on stock,15237
02.2022,Rabbits,All animals,Dispensing on stock,15
02.2022,Poultry,Farm animals,Dispensing on stock,2
02.2022,Sheep,All animals,Dispensing on stock,291
02.2022,Animal species nZO,Farm animals,Dispensing on stock,2344
02.2022,All species,All animals,Dispensing on stock,15237
02.2022,Pigs,Farm animals,Dispensing on stock,1337
02.2022,Goats,All animals,Dispensing on stock,130
02.2022,Animal species nZO,All animals,Dispensing on stock,2344
02.2022,Pigs,All animals,Dispensing on stock,1337
02.2022,Sheep,Farm animals,Dispensing on stock,291
02.2022,Cattle,Farm animals,Dispensing on stock,11118
02.2022,Cattle,All animals,Dispensing on stock,11118
02.2022,Rabbits,Farm animals,Dispensing on stock,15
02.2022,All species,Pets,All prescription types,46450
02.2022,Animal species nZO,Pets,All prescription types,2574
02.2022,Animal species nZO,Farm animals,All prescription types,2344
02.2022,Equids,Pets,All prescription types,1663
02.2022,Goats,Farm animals,All prescription types,1336
02.2022,Fish,All animals,All prescription types,5
02.2022,Equids,All animals,All prescription types,1663
02.2022,Pigs,All animals,All prescription types,1956
02.2022,Cattle,All animals,All prescription types,66416
02.2022,Dogs,Pets,All prescription types,17528
02.2022,Pigs,Farm animals,All prescription types,1956
02.2022,Cats,Pets,All prescription types,24685
02.2022,Sheep,Farm animals,All prescription types,2156
02.2022,Rabbits,All animals,All prescription types,25
02.2022,Cattle,Farm animals,All prescription types,66416
02.2022,Rabbits,Farm animals,All prescription types,25
02.2022,Poultry,All animals,All prescription types,87
02.2022,Camelids,Farm animals,All prescription types,61
02.2022,Game animals,All animals,All prescription types,3
02.2022,Game animals,Farm animals,All prescription types,3
02.2022,Goats,All animals,All prescription types,1336
02.2022,All species,All animals,All prescription types,120839
02.2022,Sheep,All animals,All prescription types,2156
02.2022,Poultry,Farm animals,All prescription types,87
02.2022,Dogs,All animals,All prescription types,17528
02.2022,Camelids,All animals,All prescription types,61
02.2022,All species,Farm animals,All prescription types,74389
02.2022,Cats,All animals,All prescription types,24685
02.2022,Animal species nZO,All animals,All prescription types,4918
02.2022,Fish,Farm animals,All prescription types,5
02.2022,Animal species nZO,Pets,Single treatments companion animals,2574
02.2022,All species,Pets,Single treatments companion animals,46450
02.2022,Equids,Pets,Single treatments companion animals,1663
02.2022,Dogs,All animals,Single treatments companion animals,17528
02.2022,Cats,All animals,Single treatments companion animals,24685
02.2022,All species,All animals,Single treatments companion animals,46450
02.2022,Animal species nZO,All animals,Single treatments companion animals,2574
02.2022,Cats,Pets,Single treatments companion animals,24685
02.2022,Dogs,Pets,Single treatments companion animals,17528
02.2022,Equids,All animals,Single treatments companion animals,1663
02.2022,Camelids,All animals,Single treatments farm animals,61
02.2022,Rabbits,All animals,Single treatments farm animals,7
02.2022,Goats,All animals,Single treatments farm animals,1194
02.2022,All species,Farm animals,Single treatments farm animals,58236
02.2022,Game animals,Farm animals,Single treatments farm animals,3
02.2022,Game animals,All animals,Single treatments farm animals,3
02.2022,Poultry,All animals,Single treatments farm animals,5
02.2022,Rabbits,Farm animals,Single treatments farm animals,7
02.2022,Cattle,Farm animals,Single treatments farm animals,54630
02.2022,Pigs,All animals,Single treatments farm animals,473
02.2022,Camelids,Farm animals,Single treatments farm animals,61
02.2022,Sheep,Farm animals,Single treatments farm animals,1863
02.2022,Goats,Farm animals,Single treatments farm animals,1194
02.2022,All species,All animals,Single treatments farm animals,58236
02.2022,Pigs,Farm animals,Single treatments farm animals,473
02.2022,Poultry,Farm animals,Single treatments farm animals,5
02.2022,Cattle,All animals,Single treatments farm animals,54630
02.2022,Sheep,All animals,Single treatments farm animals,1863
02.2022,Rabbits,Farm animals,Oral group treatments,3
02.2022,Goats,Farm animals,Oral group treatments,12
02.2022,Sheep,Farm animals,Oral group treatments,2
02.2022,Fish,All animals,Oral group treatments,5
02.2022,Cattle,All animals,Oral group treatments,668
02.2022,Poultry,All animals,Oral group treatments,80
02.2022,All species,All animals,Oral group treatments,916
02.2022,Sheep,All animals,Oral group treatments,2
02.2022,All species,Farm animals,Oral group treatments,916
02.2022,Goats,All animals,Oral group treatments,12
02.2022,Fish,Farm animals,Oral group treatments,5
02.2022,Poultry,Farm animals,Oral group treatments,80
02.2022,Cattle,Farm animals,Oral group treatments,668
02.2022,Pigs,All animals,Oral group treatments,146
02.2022,Pigs,Farm animals,Oral group treatments,146
02.2022,Rabbits,All animals,Oral group treatments,3
03.2022,Pigs,All animals,Dispensing on stock,1459
03.2022,Goats,All animals,Dispensing on stock,124
03.2022,Camelids,All animals,Dispensing on stock,1
03.2022,Rabbits,All animals,Dispensing on stock,11
03.2022,Cattle,Farm animals,Dispensing on stock,11247
03.2022,Sheep,Farm animals,Dispensing on stock,370
03.2022,All species,Farm animals,Dispensing on stock,15566
03.2022,Poultry,Farm animals,Dispensing on stock,2
03.2022,Goats,Farm animals,Dispensing on stock,124
03.2022,All species,All animals,Dispensing on stock,15566
03.2022,Animal species nZO,Farm animals,Dispensing on stock,2352
03.2022,Sheep,All animals,Dispensing on stock,370
03.2022,Pigs,Farm animals,Dispensing on stock,1459
03.2022,Poultry,All animals,Dispensing on stock,2
03.2022,Animal species nZO,All animals,Dispensing on stock,2352
03.2022,Cattle,All animals,Dispensing on stock,11247
03.2022,Rabbits,Farm animals,Dispensing on stock,11
03.2022,Camelids,Farm animals,Dispensing on stock,1
03.2022,Equids,Pets,All prescription types,1915
03.2022,All species,Pets,All prescription types,52699
03.2022,Dogs,Pets,All prescription types,20315
03.2022,Sheep,Farm animals,All prescription types,2834
03.2022,Goats,Farm animals,All prescription types,1407
03.2022,Equids,All animals,All prescription types,1915
03.2022,Cats,Pets,All prescription types,27518
03.2022,Animal species nZO,Pets,All prescription types,2951
03.2022,Pigs,Farm animals,All prescription types,2021
03.2022,Fish,All animals,All prescription types,1
03.2022,Goats,All animals,All prescription types,1407
03.2022,Poultry,All animals,All prescription types,71
03.2022,Cattle,Farm animals,All prescription types,69129
03.2022,Rabbits,All animals,All prescription types,25
03.2022,Pigs,All animals,All prescription types,2021
03.2022,Cattle,All animals,All prescription types,69129
03.2022,Rabbits,Farm animals,All prescription types,25
03.2022,Animal species nZO,All animals,All prescription types,5303
03.2022,Camelids,Farm animals,All prescription types,74
03.2022,Game animals,All animals,All prescription types,2
03.2022,All species,All animals,All prescription types,130615
03.2022,Sheep,All animals,All prescription types,2834
03.2022,Animal species nZO,Farm animals,All prescription types,2352
03.2022,Game animals,Farm animals,All prescription types,2
03.2022,Poultry,Farm animals,All prescription types,71
03.2022,Fish,Farm animals,All prescription types,1
03.2022,Dogs,All animals,All prescription types,20315
03.2022,Camelids,All animals,All prescription types,74
03.2022,All species,Farm animals,All prescription types,77916
03.2022,Cats,All animals,All prescription types,27518
03.2022,All species,Pets,Single treatments companion animals,52699
03.2022,Animal species nZO,Pets,Single treatments companion animals,2951
03.2022,Equids,Pets,Single treatments companion animals,1915
03.2022,Dogs,All animals,Single treatments companion animals,20315
03.2022,Cats,All animals,Single treatments companion animals,27518
03.2022,All species,All animals,Single treatments companion animals,52699
03.2022,Animal species nZO,All animals,Single treatments companion animals,2951
03.2022,Dogs,Pets,Single treatments companion animals,20315
03.2022,Equids,All animals,Single treatments companion animals,1915
03.2022,Cats,Pets,Single treatments companion animals,27518
03.2022,Game animals,Farm animals,Single treatments farm animals,2
03.2022,Camelids,All animals,Single treatments farm animals,73
03.2022,All species,Farm animals,Single treatments farm animals,61466
03.2022,Game animals,All animals,Single treatments farm animals,2
03.2022,Camelids,Farm animals,Single treatments farm animals,73
03.2022,Cattle,All animals,Single treatments farm animals,57214
03.2022,Rabbits,Farm animals,Single treatments farm animals,10
03.2022,Cattle,Farm animals,Single treatments farm animals,57214
03.2022,Pigs,All animals,Single treatments farm animals,427
03.2022,Rabbits,All animals,Single treatments farm animals,10
03.2022,Goats,Farm animals,Single treatments farm animals,1277
03.2022,All species,All animals,Single treatments farm animals,61466
03.2022,Sheep,Farm animals,Single treatments farm animals,2463
03.2022,Goats,All animals,Single treatments farm animals,1277
03.2022,Pigs,Farm animals,Single treatments farm animals,427
03.2022,Sheep,All animals,Single treatments farm animals,2463
03.2022,Fish,All animals,Oral group treatments,1
03.2022,Goats,All animals,Oral group treatments,6
03.2022,Poultry,All animals,Oral group treatments,69
03.2022,Sheep,Farm animals,Oral group treatments,1
03.2022,Cattle,All animals,Oral group treatments,668
03.2022,Pigs,All animals,Oral group treatments,135
03.2022,Rabbits,Farm animals,Oral group treatments,4
03.2022,All species,Farm animals,Oral group treatments,884
03.2022,All species,All animals,Oral group treatments,884
03.2022,Pigs,Farm animals,Oral group treatments,135
03.2022,Poultry,Farm animals,Oral group treatments,69
03.2022,Sheep,All animals,Oral group treatments,1
03.2022,Cattle,Farm animals,Oral group treatments,668
03.2022,Fish,Farm animals,Oral group treatments,1
03.2022,Rabbits,All animals,Oral group treatments,4
03.2022,Goats,Farm animals,Oral group treatments,6
04.2022,Goats,Farm animals,Dispensing on stock,95
04.2022,All species,Farm animals,Dispensing on stock,13598
04.2022,Pigs,All animals,Dispensing on stock,1367
04.2022,Rabbits,All animals,Dispensing on stock,12
04.2022,Cattle,Farm animals,Dispensing on stock,10059
04.2022,Sheep,Farm animals,Dispensing on stock,310
04.2022,Cattle,All animals,Dispensing on stock,10059
04.2022,Pigs,Farm animals,Dispensing on stock,1367
04.2022,All species,All animals,Dispensing on stock,13598
04.2022,Animal species nZO,Farm animals,Dispensing on stock,1754
04.2022,Poultry,Farm animals,Dispensing on stock,1
04.2022,Goats,All animals,Dispensing on stock,95
04.2022,Sheep,All animals,Dispensing on stock,310
04.2022,Animal species nZO,All animals,Dispensing on stock,1754
04.2022,Poultry,All animals,Dispensing on stock,1
04.2022,Rabbits,Farm animals,Dispensing on stock,12
04.2022,Animal species nZO,Farm animals,All prescription types,1754
04.2022,Equids,Pets,All prescription types,1864
04.2022,All species,All animals,All prescription types,116264
04.2022,Pigs,Farm animals,All prescription types,1940
04.2022,Sheep,Farm animals,All prescription types,2082
04.2022,Fish,All animals,All prescription types,2
04.2022,Goats,Farm animals,All prescription types,1079
04.2022,Animal species nZO,Pets,All prescription types,2868
