"TIMESTEP","BVD_AMPEL","N_FARMS"
"14.03.2024","green","28'886"
"14.03.2024","orange","5'618"
"14.03.2024","red","179"
"15.03.2024","green","28'885"
"15.03.2024","orange","5'621"
"15.03.2024","red","175"
"16.03.2024","green","28'891"
"16.03.2024","orange","5'615"
"16.03.2024","red","175"
"17.03.2024","green","28'892"
"17.03.2024","orange","5'616"
"17.03.2024","red","173"
"18.03.2024","green","28'890"
"18.03.2024","orange","5'618"
"18.03.2024","red","173"
"19.03.2024","green","28'914"
"19.03.2024","orange","5'594"
"19.03.2024","red","173"
"20.03.2024","green","28'924"
"20.03.2024","orange","5'582"
"20.03.2024","red","175"
"21.03.2024","green","28'942"
"21.03.2024","orange","5'563"
"21.03.2024","red","176"
"22.03.2024","green","28'939"
"22.03.2024","orange","5'566"
"22.03.2024","red","176"
"23.03.2024","green","12'551"
"23.03.2024","orange","21'954"
"23.03.2024","red","174"
"24.03.2024","green","12'561"
"24.03.2024","orange","21'945"
"24.03.2024","red","173"
"25.03.2024","green","28'946"
"25.03.2024","orange","5'562"
"25.03.2024","red","173"
"26.03.2024","green","28'966"
"26.03.2024","orange","5'542"
"26.03.2024","red","173"
"27.03.2024","green","28'981"
"27.03.2024","orange","5'528"
"27.03.2024","red","172"
"28.03.2024","green","28'993"
"28.03.2024","orange","5'517"
"28.03.2024","red","173"
"29.03.2024","green","29'004"
"29.03.2024","orange","5'506"
"29.03.2024","red","173"
"30.03.2024","green","28'998"
"30.03.2024","orange","5'513"
"30.03.2024","red","171"
"31.03.2024","green","28'997"
"31.03.2024","orange","5'514"
"31.03.2024","red","170"
"01.04.2024","green","28'997"
"01.04.2024","orange","5'514"
"01.04.2024","red","170"
"02.04.2024","green","29'010"
"02.04.2024","orange","5'501"
"02.04.2024","red","170"
"03.04.2024","green","29'016"
"03.04.2024","orange","5'496"
"03.04.2024","red","170"
"04.04.2024","green","29'018"
"04.04.2024","orange","5'492"
"04.04.2024","red","172"
"05.04.2024","green","29'028"
"05.04.2024","orange","5'483"
"05.04.2024","red","170"
"06.04.2024","green","29'062"
"06.04.2024","orange","5'449"
"06.04.2024","red","170"
"07.04.2024","green","29'060"
"07.04.2024","orange","5'448"
"07.04.2024","red","173"
"08.04.2024","green","29'060"
"08.04.2024","orange","5'448"
"08.04.2024","red","173"
"09.04.2024","green","29'078"
"09.04.2024","orange","5'430"
"09.04.2024","red","173"
"10.04.2024","green","29'082"
"10.04.2024","orange","5'426"
"10.04.2024","red","173"
"11.04.2024","green","29'098"
"11.04.2024","orange","5'408"
"11.04.2024","red","174"
"12.04.2024","green","29'106"
"12.04.2024","orange","5'404"
"12.04.2024","red","170"
"13.04.2024","green","29'121"
"13.04.2024","orange","5'391"
"13.04.2024","red","168"
"14.04.2024","green","29'121"
"14.04.2024","orange","5'392"
"14.04.2024","red","167"
"15.04.2024","green","29'119"
"15.04.2024","orange","5'394"
"15.04.2024","red","167"
"16.04.2024","green","29'132"
"16.04.2024","orange","5'381"
"16.04.2024","red","167"
"17.04.2024","green","29'134"
"17.04.2024","orange","5'375"
"17.04.2024","red","169"
"18.04.2024","green","29'146"
"18.04.2024","orange","5'365"
"18.04.2024","red","167"
"19.04.2024","green","29'146"
"19.04.2024","orange","5'364"
"19.04.2024","red","166"
"20.04.2024","green","29'155"
"20.04.2024","orange","5'356"
"20.04.2024","red","165"
"21.04.2024","green","29'154"
"21.04.2024","orange","5'360"
"21.04.2024","red","164"
"22.04.2024","green","29'153"
"22.04.2024","orange","5'361"
"22.04.2024","red","164"
"23.04.2024","green","29'162"
"23.04.2024","orange","5'352"
"23.04.2024","red","164"
"24.04.2024","green","29'167"
"24.04.2024","orange","5'346"
"24.04.2024","red","165"
"25.04.2024","green","28'922"
"25.04.2024","orange","5'565"
"25.04.2024","red","190"
