TIMESTEP;BVD_AMPEL;N_FARMS
28.01.2025;green;30044
28.01.2025;orange;4353
28.01.2025;red;53
29.01.2025;green;30044
29.01.2025;orange;4356
29.01.2025;red;52
30.01.2025;green;30053
30.01.2025;orange;4344
30.01.2025;red;52
31.01.2025;green;30056
31.01.2025;orange;4340
31.01.2025;red;52
01.02.2025;green;30103
01.02.2025;orange;4283
01.02.2025;red;54
02.02.2025;green;30100
02.02.2025;orange;4287
02.02.2025;red;54
03.02.2025;green;30104
03.02.2025;orange;4283
03.02.2025;red;54
04.02.2025;green;30125
04.02.2025;orange;4262
04.02.2025;red;54
05.02.2025;green;30137
05.02.2025;orange;4249
05.02.2025;red;55
06.02.2025;green;30163
06.02.2025;orange;4224
06.02.2025;red;55
07.02.2025;green;30191
07.02.2025;orange;4195
07.02.2025;red;56
08.02.2025;green;30223
08.02.2025;orange;4163
08.02.2025;red;56
09.02.2025;green;30222
09.02.2025;orange;4164
09.02.2025;red;55
10.02.2025;green;30225
10.02.2025;orange;4161
10.02.2025;red;55
11.02.2025;green;30251
11.02.2025;orange;4136
11.02.2025;red;55
12.02.2025;green;30273
12.02.2025;orange;4112
12.02.2025;red;55
13.02.2025;green;30297
13.02.2025;orange;4090
13.02.2025;red;54
14.02.2025;green;30316
14.02.2025;orange;4070
14.02.2025;red;54
15.02.2025;green;30321
15.02.2025;orange;4062
15.02.2025;red;54
16.02.2025;green;30321
16.02.2025;orange;4061
16.02.2025;red;54
17.02.2025;green;30321
17.02.2025;orange;4061
17.02.2025;red;54
18.02.2025;green;30328
18.02.2025;orange;4053
18.02.2025;red;55
19.02.2025;green;30337
19.02.2025;orange;4045
19.02.2025;red;55
20.02.2025;green;30363
20.02.2025;orange;4026
20.02.2025;red;53
21.02.2025;green;30017
21.02.2025;orange;4362
21.02.2025;red;53
22.02.2025;green;30021
22.02.2025;orange;4357
22.02.2025;red;54
23.02.2025;green;30026
23.02.2025;orange;4355
23.02.2025;red;52
24.02.2025;green;30065
24.02.2025;orange;4315
24.02.2025;red;52
25.02.2025;green;30066
25.02.2025;orange;4314
25.02.2025;red;52
26.02.2025;green;30096
26.02.2025;orange;4283
26.02.2025;red;51
27.02.2025;green;30146
27.02.2025;orange;4235
27.02.2025;red;46
28.02.2025;green;30166
28.02.2025;orange;4211
28.02.2025;red;47
01.03.2025;green;30174
01.03.2025;orange;4205
01.03.2025;red;47
02.03.2025;green;30171
02.03.2025;orange;4205
02.03.2025;red;47
03.03.2025;green;30179
03.03.2025;orange;4200
03.03.2025;red;47
04.03.2025;green;30211
04.03.2025;orange;4167
04.03.2025;red;48
05.03.2025;green;30218
05.03.2025;orange;4154
05.03.2025;red;49
06.03.2025;green;30237
06.03.2025;orange;4134
06.03.2025;red;49
07.03.2025;green;30239
07.03.2025;orange;4133
07.03.2025;red;49
08.03.2025;green;30254
08.03.2025;orange;4117
08.03.2025;red;49
09.03.2025;green;30258
09.03.2025;orange;4117
09.03.2025;red;48
10.03.2025;green;30262
10.03.2025;orange;4113
10.03.2025;red;48
11.03.2025;green;30271
11.03.2025;orange;4102
11.03.2025;red;48
12.03.2025;green;30286
12.03.2025;orange;4086
12.03.2025;red;48
13.03.2025;green;30299
13.03.2025;orange;4073
13.03.2025;red;48
14.03.2025;green;30325
14.03.2025;orange;4048
14.03.2025;red;47
15.03.2025;green;30337
15.03.2025;orange;4034
15.03.2025;red;47
16.03.2025;green;30337
16.03.2025;orange;4036
16.03.2025;red;47
17.03.2025;green;30344
17.03.2025;orange;4028
17.03.2025;red;47
18.03.2025;green;30384
18.03.2025;orange;3986
18.03.2025;red;48
19.03.2025;green;30395
19.03.2025;orange;3972
19.03.2025;red;48
20.03.2025;green;30405
20.03.2025;orange;3964
20.03.2025;red;48
21.03.2025;green;30418
21.03.2025;orange;3950
21.03.2025;red;49
22.03.2025;green;30436
22.03.2025;orange;3934
22.03.2025;red;49
23.03.2025;green;30436
23.03.2025;orange;3934
23.03.2025;red;49
24.03.2025;green;30438
24.03.2025;orange;3931
24.03.2025;red;49
25.03.2025;green;30442
25.03.2025;orange;3926
25.03.2025;red;49
26.03.2025;green;30449
26.03.2025;orange;3918
26.03.2025;red;48
27.03.2025;green;30483
27.03.2025;orange;3889
27.03.2025;red;47
28.03.2025;green;30494
28.03.2025;orange;3878
28.03.2025;red;46
29.03.2025;green;30494
29.03.2025;orange;3878
29.03.2025;red;46
30.03.2025;green;31987
30.03.2025;orange;2380
30.03.2025;red;48
31.03.2025;green;31993
31.03.2025;orange;2372
31.03.2025;red;48
01.04.2025;green;32017
01.04.2025;orange;2353
01.04.2025;red;48
02.04.2025;green;32043
02.04.2025;orange;2327
02.04.2025;red;48
03.04.2025;green;32132
03.04.2025;orange;2234
03.04.2025;red;48
04.04.2025;green;32145
04.04.2025;orange;2225
04.04.2025;red;46
05.04.2025;green;32146
05.04.2025;orange;2222
05.04.2025;red;46
06.04.2025;green;32146
06.04.2025;orange;2223
06.04.2025;red;46
07.04.2025;green;32149
07.04.2025;orange;2218
07.04.2025;red;46
08.04.2025;green;32169
08.04.2025;orange;2200
08.04.2025;red;45
09.04.2025;green;32196
09.04.2025;orange;2174
09.04.2025;red;43
10.04.2025;green;32216
10.04.2025;orange;2158
10.04.2025;red;44
11.04.2025;green;32233
11.04.2025;orange;2139
11.04.2025;red;44
12.04.2025;green;32238
12.04.2025;orange;2133
12.04.2025;red;45
13.04.2025;green;32238
13.04.2025;orange;2133
13.04.2025;red;45
14.04.2025;green;32250
14.04.2025;orange;2121
14.04.2025;red;45
15.04.2025;green;32308
15.04.2025;orange;2054
15.04.2025;red;45
16.04.2025;green;32340
16.04.2025;orange;2022
16.04.2025;red;45
17.04.2025;green;32452
17.04.2025;orange;1906
17.04.2025;red;45
18.04.2025;green;32464
18.04.2025;orange;1893
18.04.2025;red;45
19.04.2025;green;32459
19.04.2025;orange;1896
19.04.2025;red;45
20.04.2025;green;32458
20.04.2025;orange;1896
20.04.2025;red;45
21.04.2025;green;32457
21.04.2025;orange;1897
21.04.2025;red;45
22.04.2025;green;32465
22.04.2025;orange;1890
22.04.2025;red;44
23.04.2025;green;32521
23.04.2025;orange;1833
23.04.2025;red;44
24.04.2025;green;32539
24.04.2025;orange;1814
24.04.2025;red;44
25.04.2025;green;32583
25.04.2025;orange;1773
25.04.2025;red;44
26.04.2025;green;32598
26.04.2025;orange;1760
26.04.2025;red;45
27.04.2025;green;32598
27.04.2025;orange;1760
27.04.2025;red;45
28.04.2025;green;32623
28.04.2025;orange;1734
28.04.2025;red;45
29.04.2025;green;32653
29.04.2025;orange;1719
29.04.2025;red;44
30.04.2025;green;32679
30.04.2025;orange;1695
30.04.2025;red;44
01.05.2025;green;32697
01.05.2025;orange;1674
01.05.2025;red;44
02.05.2025;green;32718
02.05.2025;orange;1656
02.05.2025;red;43
03.05.2025;green;32736
03.05.2025;orange;1638
03.05.2025;red;43
04.05.2025;green;32736
04.05.2025;orange;1638
04.05.2025;red;43
05.05.2025;green;32735
05.05.2025;orange;1639
05.05.2025;red;43
06.05.2025;green;32744
06.05.2025;orange;1630
06.05.2025;red;43
07.05.2025;green;32749
07.05.2025;orange;1623
07.05.2025;red;43
08.05.2025;green;32766
08.05.2025;orange;1600
08.05.2025;red;44
09.05.2025;green;32786
09.05.2025;orange;1580
09.05.2025;red;44
10.05.2025;green;32796
10.05.2025;orange;1570
10.05.2025;red;44
11.05.2025;green;32796
11.05.2025;orange;1570
11.05.2025;red;44
12.05.2025;green;32801
12.05.2025;orange;1565
12.05.2025;red;44
13.05.2025;green;32814
13.05.2025;orange;1553
13.05.2025;red;43
14.05.2025;green;32832
14.05.2025;orange;1536
14.05.2025;red;42
15.05.2025;green;32840
15.05.2025;orange;1527
15.05.2025;red;42
16.05.2025;green;32852
16.05.2025;orange;1523
16.05.2025;red;42
17.05.2025;green;32861
17.05.2025;orange;1514
17.05.2025;red;42
18.05.2025;green;32864
18.05.2025;orange;1511
18.05.2025;red;42
19.05.2025;green;32867
19.05.2025;orange;1508
19.05.2025;red;42
20.05.2025;green;32877
20.05.2025;orange;1499
20.05.2025;red;41
21.05.2025;green;32860
21.05.2025;orange;1477
21.05.2025;red;41
22.05.2025;green;32879
22.05.2025;orange;1465
22.05.2025;red;41
23.05.2025;green;32878
23.05.2025;orange;1461
23.05.2025;red;41
24.05.2025;green;32898
24.05.2025;orange;1453
24.05.2025;red;42
25.05.2025;green;32900
25.05.2025;orange;1451
25.05.2025;red;42
26.05.2025;green;32904
26.05.2025;orange;1448
26.05.2025;red;41
27.05.2025;green;32918
27.05.2025;orange;1435
27.05.2025;red;42
28.05.2025;green;32934
28.05.2025;orange;1418
28.05.2025;red;42
29.05.2025;green;32939
29.05.2025;orange;1413
29.05.2025;red;42
30.05.2025;green;32941
30.05.2025;orange;1412
30.05.2025;red;42
31.05.2025;green;32950
31.05.2025;orange;1407
31.05.2025;red;41
01.06.2025;green;32950
01.06.2025;orange;1407
01.06.2025;red;41
02.06.2025;green;32960
02.06.2025;orange;1398
02.06.2025;red;41
03.06.2025;green;32976
03.06.2025;orange;1381
03.06.2025;red;40
04.06.2025;green;32983
04.06.2025;orange;1375
04.06.2025;red;40
05.06.2025;green;32998
05.06.2025;orange;1360
05.06.2025;red;40
06.06.2025;green;32998
06.06.2025;orange;1359
06.06.2025;red;40
07.06.2025;green;32997
07.06.2025;orange;1356
07.06.2025;red;40
08.06.2025;green;32990
08.06.2025;orange;1362
08.06.2025;red;40
09.06.2025;green;32989
09.06.2025;orange;1363
09.06.2025;red;40
10.06.2025;green;32992
10.06.2025;orange;1360
10.06.2025;red;40
11.06.2025;green;33002
11.06.2025;orange;1355
11.06.2025;red;39
12.06.2025;green;33004
12.06.2025;orange;1351
12.06.2025;red;43
13.06.2025;green;33016
13.06.2025;orange;1345
13.06.2025;red;43
14.06.2025;green;33014
14.06.2025;orange;1343
14.06.2025;red;47
15.06.2025;green;33016
15.06.2025;orange;1341
15.06.2025;red;47
16.06.2025;green;33014
16.06.2025;orange;1345
16.06.2025;red;47
17.06.2025;green;32972
17.06.2025;orange;1291
17.06.2025;red;45
18.06.2025;green;32977
18.06.2025;orange;1286
18.06.2025;red;42
19.06.2025;green;32978
19.06.2025;orange;1283
19.06.2025;red;42
20.06.2025;green;32989
20.06.2025;orange;1276
20.06.2025;red;41
21.06.2025;green;32986
21.06.2025;orange;1276
21.06.2025;red;41
22.06.2025;green;32987
22.06.2025;orange;1276
22.06.2025;red;40
23.06.2025;green;32989
23.06.2025;orange;1274
23.06.2025;red;40
24.06.2025;green;32996
24.06.2025;orange;1267
24.06.2025;red;42
25.06.2025;green;33000
25.06.2025;orange;1265
25.06.2025;red;42
26.06.2025;green;33001
26.06.2025;orange;1266
26.06.2025;red;40
27.06.2025;green;33005
27.06.2025;orange;1265
27.06.2025;red;40
28.06.2025;green;33007
28.06.2025;orange;1262
28.06.2025;red;41
29.06.2025;green;33006
29.06.2025;orange;1263
29.06.2025;red;41
30.06.2025;green;33008
30.06.2025;orange;1261
30.06.2025;red;41
01.07.2025;green;33019
01.07.2025;orange;1251
01.07.2025;red;41
02.07.2025;green;33024
02.07.2025;orange;1246
02.07.2025;red;41
03.07.2025;green;33032
03.07.2025;orange;1238
03.07.2025;red;41
04.07.2025;green;33034
04.07.2025;orange;1245
04.07.2025;red;41
05.07.2025;green;33034
05.07.2025;orange;1245
05.07.2025;red;41
06.07.2025;green;33034
06.07.2025;orange;1245
06.07.2025;red;41
07.07.2025;green;33040
07.07.2025;orange;1240
07.07.2025;red;41
08.07.2025;green;33043
08.07.2025;orange;1237
08.07.2025;red;41
09.07.2025;green;33043
09.07.2025;orange;1237
09.07.2025;red;41
10.07.2025;green;33043
10.07.2025;orange;1235
10.07.2025;red;41
11.07.2025;green;33056
11.07.2025;orange;1225
11.07.2025;red;38
12.07.2025;green;33060
12.07.2025;orange;1219
12.07.2025;red;38
13.07.2025;green;33061
13.07.2025;orange;1217
13.07.2025;red;38
14.07.2025;green;33057
14.07.2025;orange;1221
14.07.2025;red;38
15.07.2025;green;33060
15.07.2025;orange;1216
15.07.2025;red;40
16.07.2025;green;33061
16.07.2025;orange;1218
16.07.2025;red;40
17.07.2025;green;33062
17.07.2025;orange;1216
17.07.2025;red;40
18.07.2025;green;33062
18.07.2025;orange;1215
18.07.2025;red;41
19.07.2025;green;33066
19.07.2025;orange;1211
19.07.2025;red;41
20.07.2025;green;33066
20.07.2025;orange;1211
20.07.2025;red;41
21.07.2025;green;33064
21.07.2025;orange;1213
21.07.2025;red;41
22.07.2025;green;33066
22.07.2025;orange;1212
22.07.2025;red;41
23.07.2025;green;33065
23.07.2025;orange;1211
23.07.2025;red;41
24.07.2025;green;33075
24.07.2025;orange;1200
24.07.2025;red;41
25.07.2025;green;33078
25.07.2025;orange;1197
25.07.2025;red;41
26.07.2025;green;33077
26.07.2025;orange;1198
26.07.2025;red;41
27.07.2025;green;33078
27.07.2025;orange;1198
27.07.2025;red;41
28.07.2025;green;33079
28.07.2025;orange;1197
28.07.2025;red;41
29.07.2025;green;33080
29.07.2025;orange;1199
29.07.2025;red;41
30.07.2025;green;33078
30.07.2025;orange;1199
30.07.2025;red;41
31.07.2025;green;33084
31.07.2025;orange;1196
31.07.2025;red;41
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
