TIMESTEP;BVD_AMPEL;N_FARMS
28.01.2025;green;30043
28.01.2025;orange;4367
28.01.2025;red;54
29.01.2025;green;30043
29.01.2025;orange;4370
29.01.2025;red;53
30.01.2025;green;30055
30.01.2025;orange;4358
30.01.2025;red;53
31.01.2025;green;30058
31.01.2025;orange;4354
31.01.2025;red;53
01.02.2025;green;30105
01.02.2025;orange;4297
01.02.2025;red;55
02.02.2025;green;30102
02.02.2025;orange;4301
02.02.2025;red;55
03.02.2025;green;30106
03.02.2025;orange;4297
03.02.2025;red;55
04.02.2025;green;30126
04.02.2025;orange;4276
04.02.2025;red;55
05.02.2025;green;30138
05.02.2025;orange;4263
05.02.2025;red;56
06.02.2025;green;30164
06.02.2025;orange;4238
06.02.2025;red;56
07.02.2025;green;30192
07.02.2025;orange;4209
07.02.2025;red;57
08.02.2025;green;30224
08.02.2025;orange;4177
08.02.2025;red;57
09.02.2025;green;30223
09.02.2025;orange;4178
09.02.2025;red;56
10.02.2025;green;30226
10.02.2025;orange;4175
10.02.2025;red;56
11.02.2025;green;30252
11.02.2025;orange;4150
11.02.2025;red;56
12.02.2025;green;30275
12.02.2025;orange;4126
12.02.2025;red;56
13.02.2025;green;30299
13.02.2025;orange;4104
13.02.2025;red;55
14.02.2025;green;30318
14.02.2025;orange;4084
14.02.2025;red;55
15.02.2025;green;30323
15.02.2025;orange;4076
15.02.2025;red;55
16.02.2025;green;30323
16.02.2025;orange;4075
16.02.2025;red;55
17.02.2025;green;30323
17.02.2025;orange;4075
17.02.2025;red;55
18.02.2025;green;30330
18.02.2025;orange;4067
18.02.2025;red;56
19.02.2025;green;30339
19.02.2025;orange;4059
19.02.2025;red;56
20.02.2025;green;30365
20.02.2025;orange;4040
20.02.2025;red;54
21.02.2025;green;30019
21.02.2025;orange;4376
21.02.2025;red;54
22.02.2025;green;30023
22.02.2025;orange;4371
22.02.2025;red;55
23.02.2025;green;30028
23.02.2025;orange;4369
23.02.2025;red;53
24.02.2025;green;30068
24.02.2025;orange;4329
24.02.2025;red;53
25.02.2025;green;30069
25.02.2025;orange;4328
25.02.2025;red;53
26.02.2025;green;30100
26.02.2025;orange;4297
26.02.2025;red;52
27.02.2025;green;30151
27.02.2025;orange;4249
27.02.2025;red;47
28.02.2025;green;30172
28.02.2025;orange;4225
28.02.2025;red;48
01.03.2025;green;30180
01.03.2025;orange;4219
01.03.2025;red;48
02.03.2025;green;30177
02.03.2025;orange;4219
02.03.2025;red;48
03.03.2025;green;30186
03.03.2025;orange;4214
03.03.2025;red;48
04.03.2025;green;30218
04.03.2025;orange;4181
04.03.2025;red;49
05.03.2025;green;30226
05.03.2025;orange;4168
05.03.2025;red;50
06.03.2025;green;30247
06.03.2025;orange;4148
06.03.2025;red;50
07.03.2025;green;30249
07.03.2025;orange;4147
07.03.2025;red;50
08.03.2025;green;30264
08.03.2025;orange;4131
08.03.2025;red;50
09.03.2025;green;30268
09.03.2025;orange;4131
09.03.2025;red;49
10.03.2025;green;30272
10.03.2025;orange;4127
10.03.2025;red;49
11.03.2025;green;30284
11.03.2025;orange;4116
11.03.2025;red;49
12.03.2025;green;30299
12.03.2025;orange;4100
12.03.2025;red;49
13.03.2025;green;30312
13.03.2025;orange;4086
13.03.2025;red;49
14.03.2025;green;30340
14.03.2025;orange;4061
14.03.2025;red;48
15.03.2025;green;30354
15.03.2025;orange;4047
15.03.2025;red;48
16.03.2025;green;30354
16.03.2025;orange;4049
16.03.2025;red;48
17.03.2025;green;30353
17.03.2025;orange;4050
17.03.2025;red;48
;;
