Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
GE,Genève,2019-03-05,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
FL,Gamprin,2019-03-07,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Port d’ Ouchy,2019-03-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Valeyres-sous-Montagny  ,2019-03-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,"Préverenges, Port du Bief",2019-03-16,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BS,"Basel, Birsfelden ",2019-03-28,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Wohlensee,2019-04-15,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Grandson,2019-05-01,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Morges,2019-06-17,Cygne tuberculé,"Capturé vivant, animal blessé        ",negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Luzern,2019-07-22,Mäusebussard,Totfund Einzeltier,negativ,,
VD,Morges,2019-07-24,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Founex,2019-08-29,Mouette ,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Nyon,2019-10-02,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,St-Imier,2019-10-10,Höckerschwan,Totfund Einzeltier,negativ,,
VD,St-Sulpice ,2019-10-29,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Lausanne,2019-12-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
GE,Genève,2020-01-23,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2020-01-23,Cygne tuberculé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2020-01-23,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,Hinterkappelen,2020-01-26,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Nidau,2020-01-26,Höckerschwan,Totfund Einzeltier,negativ,,
FL,Bendern,2020-01-30,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Erlach,2020-02-05,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-02-11,Krickente,Totfund Einzeltier,negativ,,
TG,Dissenhofen,2020-02-12,Strassentaube,Totfund Einzeltier,negativ,,
VD,Le Sentier ,2020-03-11,Höckerschwan,"Trouvé mort, animal isolé",negativ,,
BE,"Trieten, Brüttelemoos",2020-03-22,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Nidau,2020-03-22,Höckerschwan,Totfund Einzeltier,negativ,,
AG,Murgenthal,2020-03-24,Stockente,Lebendfang klinisch krank,negativ,,
VD,Les Tuileries / Grandson,2020-03-30,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2020-04-01,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD, St-Prex ,2020-04-13,Corneille,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD, Treycovagnes,2020-04-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD, Perroy,2020-04-17,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
NE,La Neuveuille,2020-04-21,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Vinelz,2020-05-13,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Twann,2020-05-20,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Bürgenstock,2020-05-26,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Yverdons-les-Bains,2020-05-27,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,"Galsmoos, Gampelen",2020-07-23,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Grandson,2020-08-07,Moineau ,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BS,Basel ,2020-08-17,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Préverenges ,2020-10-06,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
SH,Schaffhausen,2020-10-07,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Luzern,2020-10-12,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-10-15,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Ollon,2020-10-26,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-10-27,Höckerschwan,Totfund Einzeltier,negativ,,
BS,Basel,2020-10-29,Star,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Schaffhausen,2020-11-09,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-11-09,Höckerschwan,Totfund Einzeltier,negativ,,
GE,Genthod,2020-11-11,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Meinisberg,2020-11-17,Höckerschwan,Totfund Einzeltier,negativ,,
TG,Wuppenau,2020-11-27,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Bibern,2020-12-03,Seetaucher,Lebendfang klinisch krank,negativ,,
SH,Schaffhausen,2020-12-03,Kormoran,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Schaffhausen,2020-12-03,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Zürich,2020-12-06,Dohle ,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Luzern,2020-12-07,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-12-07,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-12-08,Reiherente,Totfund Einzeltier,negativ,,
NE,Auvernier,2020-12-10,Kormoran,Totfund Einzeltier,negativ,,
NE,Neuchâtel,2020-12-16,Mäusebussard,Totfund Einzeltier,negativ,,
GE,Petit-Lancy,2021-01-05,Ente,Totfund Einzeltier,negativ,,
VD,La Tour-de-Peilz,2021-01-05,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Riedikon,2021-01-10,Eisvogel,Totfund Einzeltier,negativ,,
ZH,Zürich,2021-01-12,Höckerschwan,Lebendfang verletztes Tier,negativ,,
SH,Wilchingen (Bahngleis) ,2021-01-17,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Wilchingen (Bahngleis) ,2021-01-17,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
VD,St. Prex,2021-01-17,Lachmöwe,Totfund Einzeltier,negativ,,
SH,Wilchingen (Bahngleis) ,2021-01-17,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Rüri bei Büren,2021-01-18,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Neuhausen am Rheinfall,2021-01-18,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Thayngen,2021-01-18,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Werdinsel,2021-01-18,Kormorane,Jagdprobe gesund,negativ,,
ZH,Werdinsel,2021-01-18,Kormorane,Jagdprobe gesund,negativ,,
ZH,Bülach,2021-01-19,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Eschenz,2021-01-20,Lachmöwe,Lebendfang verletztes Tier,negativ,,
TG,Romanshorn,2021-01-20,Lachmöwe,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-01-21,Schleiereulen,Totfund Einzeltier,negativ,,
SH,Hallau,2021-01-21,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Kraftwerk Schaffhausen,2021-01-26,Lachmöwe,Totfund Einzeltier,negativ,,
SH,Kraftwerk Schaffhausen,2021-01-26,Mäusebussard,Totfund Einzeltier,negativ,,
TG,Ufer am See,2021-01-27,Höckerschwan,Totfund Einzeltier,negativ,,
FL,Schaan,2021-01-27,Spechte,Totfund Einzeltier,negativ,,
VD,Lausanne (in Lastwagens aus Italien),2021-01-28,Turteltaube,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-01-28,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Hemmental,2021-01-29,Finken,Totfund Einzeltier,negativ,,
TG,Bodensee (Untersee) ,2021-01-29,Haubentaucher,Totfund Einzeltier,negativ,,
BE,Rüti b.Büren,2021-01-29,Graureiher,Totfund Einzeltier,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Löhningen, Laagrueb, Bahngleise",2021-01-30,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
FL,Balzers,2021-01-31,Stockente,Totfund Einzeltier,negativ,,
SH,Dörflingen,2021-02-01,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Kraftwerk Schaffhausen,2021-02-01,Mäusebussard,Totfund Einzeltier,negativ,,
SH,"Schaffhausen (Hegeabschuss, wegen auffälligem Verhalten)",2021-02-01,Möwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N4
SH,Neuhausen am Rheinfall,2021-02-01,Specht,Totfund Einzeltier,negativ,,
TG,Hungerbühl,2021-02-02,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Hemishofen (Rheinufer),2021-02-04,Mäusebussard,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N4
SH,Hemishofen (Rheinufer),2021-02-04,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
GE,Genf (Genfersee),2021-02-05,Höckerschwan,Totfund Einzeltier,negativ,,
TG,Arbon,2021-02-05,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Adliswil,2021-02-05,Graureiher,Totfund Einzeltier,negativ,,
TG,Arbon,2021-02-06,Lachmöwe,Totfund Einzeltier,negativ,,
FR,"Lindergut, Canal de la Broye",2021-02-07,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Ellikon an der Thur,2021-02-08,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Büsingen,2021-02-08,Höckerschwan,Totfund Einzeltier,negativ,,
TG,Egnach,2021-02-08,Teichralle,Totfund Einzeltier,negativ,,
SH,Löhningen,2021-02-11,Silberreiher,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-02-12,Finken,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Trasadingen,2021-02-12,Mäusebussard,Lebendfang klinisch krank,negativ,,
SH,Büsingen,2021-02-15,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-02-16,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Büsingen,2021-02-17,Höckerschwan,Totfund Einzeltier,negativ,,
TG,Steckborn (Untersee),2021-02-18,Haubentaucher,Totfund Einzeltier,negativ,,
SH,Beringen,2021-02-20,Stockente,Lebendfang klinisch krank,negativ,,
SH,Büsingen,2021-02-22,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Kleinsonnhalden,2021-02-22,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Kleinsonnhalden,2021-02-22,Graureiher,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Nebikon,2021-02-22,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
TG,Märwil (Riet),2021-02-22,Blässhuhn,Totfund Einzeltier,negativ,,
ZH,Niederuster,2021-02-23,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Niederuster,2021-02-23,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Altishofen,2021-02-23,Rotmilan,Totfund mehrere Tiere an einem Ort,negativ,,
