Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
SO,Deitigen,2021-12-31,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Aesch,2022-01-01,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-01-03,Stockente,Totfund Einzeltier,negativ,,
ZH,Wädenswil,2022-01-03,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Schönenberg,2022-01-03,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Plage des Pins d'Yvonand,2022-01-05,Haubentaucher,Lebendfang klinisch krank,negativ,,
GE,Geneve,2022-01-06,Höckerschwan,Totfund Einzeltier,negativ,,
SG,St. Gallen,2022-01-07,Strassentaube,Lebendfang klinisch krank,negativ,,
VD,Lausanne,2022-01-08,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Luzern,2022-01-10,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Luzern,2022-01-10,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Opfikon, Glattpark",2022-01-11,Möwe,Totfund Einzeltier,negativ,,
SZ,Andermatt,2022-01-11,Alpendohle,Lebendfang verletztes Tier,negativ,,
SZ,Andermatt,2022-01-11,Alpendohle,Lebendfang verletztes Tier,negativ,,
ZH,Zürich,2022-01-11,Taube,Totfund Einzeltier,negativ,,
ZH,Bülach,2022-01-13,Greifvogel,Totfund Einzeltier,negativ,,
GE,Genève,2022-01-17,Höckerschwan,Totfund Einzeltier,negativ,,
GE,Genève,2022-01-17,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Affoltern,2022-01-18,Graureiher,Lebendfang klinisch krank,negativ,,
ZH,Maur,2022-01-20,Graureiher,Lebendfang verletztes Tier,negativ,,
ZH,Wädenswill (Auseeli),2022-01-22,Mäusebussard,Totfund Einzeltier,negativ,,
VD,keine Angabe,2022-01-28,Spechte,Lebendfang klinisch krank,negativ,,
SG,Flawil,2022-01-29,Graureiher,Lebendfang klinisch krank,negativ,,
ZH,Ebmatingen,2022-01-31,Graureiher,Lebendfang klinisch krank,negativ,,
VD,keine Angabe,2022-02-01,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Sursee,2022-02-02,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Horgen,2022-02-06,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Oberrieden,2022-02-06,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Langnau,2022-02-08,Krähen/Raben,Totfund Einzeltier,negativ,,
LU,Ruswil,2022-02-11,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Ruswil,2022-02-11,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Tierpark Langenberg,2022-02-15,Krähen/Raben,Totfund Einzeltier,negativ,,
BE,Bern (Tierpark Dählhölzli),2022-02-18,Graureiher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Küsnacht,2022-02-18,Stockente,Lebendfang klinisch krank,negativ,,
BE,Tierpark Bern,2022-02-19,Krähen/Raben,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-02-21,Blässhuhn,Totfund Einzeltier,negativ,,
BE,Nidau,2022-02-21,Schwan,Lebendfang verletztes Tier,negativ,,
BE,?,2022-02-23,Taube,Totfund Einzeltier,negativ,,
SO,Olten,2022-02-24,Strassentaube,Lebendfang klinisch krank,negativ,,
BE,Bern ,2022-02-25,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Fenchneren in Kappelen,2022-02-28,Mäusebussard,Lebendfang verletztes Tier,negativ,,
FR,Port de Morat,2022-03-02,Kolbenente,Totfund Einzeltier,negativ,,
FR,Jeuss,2022-03-02,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-03-02,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Wald (ZH),2022-03-03,Mäusebussard,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-03-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich,2022-03-08,Mäusebussard,Totfund Einzeltier,negativ,,
LU,Sempachersee,2022-03-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Sempachersee,2022-03-08,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
FR,Gurmels,2022-03-08,Mäusebussard,Lebendfang klinisch krank,negativ,,
BE,Bern (Tierpark Dählhözli),2022-03-09,Graureiher,Totfund Einzeltier,negativ,,
BE,Bern (Tierpark Dählhözli),2022-03-10,Graureiher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TI,Ronco s/ Ascona,2022-03-10,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
TI,Ronco s/ Ascona,2022-03-10,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Gampelen,2022-03-11,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Bielersee,2022-03-14,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-03-14,Höckerschwan,Totfund Einzeltier,negativ,,
FR,Randel / Mont Vully-Fanel,2022-03-15,Graureiher,Lebendfang verletztes Tier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-03-15,Krähen/Raben,Totfund Einzeltier,negativ,,
ZH,Maur,2022-03-16,Waldkauz,Totfund Einzeltier,negativ,,
BS,Basel (?),2022-03-18,Storch,Totfund Einzeltier,negativ,,
BE,Bern (Tierpark Dählhözli),2022-03-21,Haussperling,Totfund Einzeltier,negativ,,
BE,"Wohlensee, Wohlen",2022-03-25,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Maur,2022-03-27,Storch,Lebendfang klinisch krank,negativ,,
TG,Frauenfeld,2022-04-07,Blässhuhn,Lebendfang klinisch krank,negativ,,
VD,Epalinges,2022-04-07,Turmfalke,Lebendfang klinisch krank,negativ,,
SH,Schaffhausen,2022-04-12,Blässhuhn,Totfund Einzeltier,negativ,,
BE,Bern (Tierpark Dählhözli),2022-04-26,Graureiher,Totfund Einzeltier,negativ,,
VD,Cudrefin,2022-05-12,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Seeburg,2022-05-24,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Le Moulin Chapuis,2022-06-01,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Luzern,2022-09-22,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-09-22,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-10-04,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2022-10-11,Höckerschwan,Totfund Einzeltier,negativ,,
ZG,Seebad Zug,2022-10-30,Höckerschwan,Lebendfang klinisch krank,negativ,,
ZH,Seuzach,2022-11-14,Graureiher,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
SO,Schöenwerd,2022-11-17,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Wetzikon,2022-11-18,Ralle,Totfund Einzeltier,negativ,,
BS,Basel,2022-11-18,Höckerschwan,Lebendfang verletztes Tier,negativ,,
TI,Lido San Nazzaro,2022-11-22,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Dietikon,2022-11-25,Strassentaube,Lebendfang klinisch krank,negativ,,
FR,Les Grantés,2022-11-26,Höckerschwan,Totfund Einzeltier,negativ,,
TI,Pregassona ,2022-11-28,Uhu,Lebendfang verletztes Tier,negativ,,
ZH,?,2022-11-28,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Herliberg,2022-11-29,Höckerschwan,Totfund Einzeltier,negativ,,
TG,Steckborn,2022-11-30,Lachmöwe,Lebendfang verletztes Tier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TI,Campleggio Rivabella-Tenero,2022-12-01,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TI,Melide,2022-12-02,Höckerschwan,Totfund Einzeltier,negativ,,
SG,Rapperswil,2022-12-07,Spechte,Totfund Einzeltier,negativ,,
SZ,Altdorf,2022-12-09,Turmfalke,Totfund Einzeltier,negativ,,
SZ,Bürglen,2022-12-09,Turmfalke,Totfund Einzeltier,negativ,,
TI,Brusino Arsizio,2022-12-09,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Morges,2022-12-09,Höckerschwan,Lebendfang klinisch krank,negativ,,
SZ,Schaffhausen (Kraftwerk),2022-12-12,Stockente,Totfund Einzeltier,negativ,,
GR,Lenzerheide,2022-12-13,Kormoran,Totfund Einzeltier,negativ,,
BE,Gwatt,2022-12-13,Höckerschwan,Totfund Einzeltier,negativ,,
FL,Schaan ,2022-12-14,Graureiher,Lebendfang verletztes Tier,negativ,,
TI,Melide,2022-12-14,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Oberkirch,2022-12-15,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
ZH,Buchs,2022-12-15,Storch,Lebendfang verletztes Tier,negativ,,
BS,Basel,2022-12-16,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Pfaffnau,2022-12-16,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Seuzach,2022-12-16,Graureiher,Totfund Einzeltier,negativ,,
TI,Chiasso,2022-12-17,Stockente,Totfund Einzeltier,negativ,,
VD,Vevey,2022-12-17,Lachmöwe,Totfund Einzeltier,negativ,,
TG,Arbon,2022-12-18,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Winterthur,2022-12-19,Falken,Totfund Einzeltier,negativ,,
ZH,Zürich,2022-12-19,Höckerschwan,Totfund Einzeltier,negativ,,
BS,Basel (Zoo Basel),2022-12-20,Taube,Totfund Einzeltier,negativ,,
ZH,Maur (Greifensee),2022-12-20,Möwe,Totfund Einzeltier,negativ,,
BS,Basel (Zoo Basel),2022-12-20,Graureiher,Totfund Einzeltier,negativ,,
BS,Basel (Zoo Basel),2022-12-24,Stockente,Totfund Einzeltier,negativ,,
VD,Lausanne (Château d’Ouchy),2022-12-29,Krähen/Raben,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Lausanne (Château d’Ouchy),2022-12-29,Krähen/Raben,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich,2023-01-02,Höckerschwan,Totfund Einzeltier,negativ,,
SZ,Vorderthal,2023-01-06,Elster,Totfund Einzeltier,negativ,,
FR,"Wittenbach, Lac de Schiffenen",2023-01-08,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
SG,Rorschach,2023-01-09,Höckerschwan,Totfund Einzeltier,negativ,,
TI,Lugano,2023-01-10,Sperber,Totfund Einzeltier,negativ,,
SH,Stein am Rhein,2023-01-12,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn,2023-01-12,Höckerschwan,Totfund Einzeltier,negativ,,
TI,Lugano,2023-01-13,Höckerschwan,Totfund Einzeltier,positiv,low pathogenic avian influenza (LPAI),H9N2
BS,Basel,2023-01-17,Graureiher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Hallau,2023-01-20,Turmfalke,Totfund Einzeltier,negativ,,
BE,Hasle bei Burgdorf,2023-01-21,Ente,Totfund Einzeltier,negativ,,
NE,Fleurier,2023-01-23,Turmfalke,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Fleurier,2023-01-23,Turmfalke,Totfund mehrere Tiere an einem Ort,negativ,,
BS,Basel,2023-01-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
BS,Basel,2023-01-24,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Schaffhausen (Kraftwerk),2023-01-24,Kolkrabe,Totfund Einzeltier,negativ,,
VD,Lausanne,2023-01-24,Aaskrähe,Totfund Einzeltier,negativ,,
LU,Sursee,2023-01-25,Mittelmeermöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Uster,2023-01-26,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich,2023-01-26,Mittelmeermöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Oberwisen (Näfbach),2023-01-27,Reiher,Totfund Einzeltier,negativ,,
ZH,Zürich,2023-01-27,Wanderfalke,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,Montreux (Veytraux-Chillon),2023-01-28,Möwe,Lebendfang klinisch krank,negativ,,
TI,Agno,2023-01-30,Stockente,Lebendfang klinisch krank,negativ,,
LU,Oberkirch,2023-01-31,Weisskopfmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,Basel (Hafenbecken),2023-01-31,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,Basel (Hafenbecken),2023-01-31,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,Basel (Hafenbecken),2023-01-31,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich,2023-02-02,Finken,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich,2023-02-02,Finken,Totfund mehrere Tiere an einem Ort,negativ,,
SZ,Stansstad,2023-02-02,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Thalwil,2023-02-02,Graureiher,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk),2023-02-02,Kormoran,Totfund Einzeltier,negativ,,
LU,Reiden,2023-02-02,Möwe,Totfund Einzeltier,negativ,,
SZ,Stansstad,2023-02-02,Aaskrähe,Totfund Einzeltier,negativ,,
BS,Basel ,2023-02-03,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
FR,,2023-02-03,Möwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BL,Binningen,2023-02-03,Graureiher,Totfund Einzeltier,negativ,,
BS,Basel ,2023-02-06,Lachmöwe,Totfund Einzeltier,negativ,,
BS,Basel ,2023-02-06,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,Basel ,2023-02-06,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Ermatingen (Hafenbecken),2023-02-06,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
TG,Ermatingen (Hafenbecken),2023-02-06,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
TG,Ermatingen (Hafenbecken),2023-02-06,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich,2023-02-06,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Wipkingen,2023-02-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BE,Bern,2023-02-07,Zeisige,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Bern,2023-02-07,Finken,Totfund mehrere Tiere an einem Ort,negativ,,
BS,Riehen,2023-02-07,Krähen/Raben,Totfund Einzeltier,negativ,,
GR,Bonaduz,2023-02-07,Mäusebussard,Lebendfang klinisch krank,negativ,,
BS,Basel ,2023-02-07,Rostgans,Totfund Einzeltier,negativ,,
BS,Riehen,2023-02-07,Graureiher,Totfund Einzeltier,negativ,,
LU,Sursee,2023-02-07,Graureiher,Totfund Einzeltier,negativ,,
ZH,am Zürichsee,2023-02-09,Lachmöwe,Lebendfang klinisch krank,negativ,,
ZH,Zürich,2023-02-09,Lachmöwe,Lebendfang klinisch krank,positiv,,
ZH,am Zürichsee,2023-02-09,Lachmöwe,Lebendfang klinisch krank,negativ,,
ZH,Zürich,2023-02-09,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich,2023-02-09,Lachmöwe,Totfund Einzeltier,negativ,,
BS,Basel (Hafenbecken),2023-02-10,Stockente,Totfund Einzeltier,negativ,,
BS,Basel ,2023-02-10,Weisskopfmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Uttwil ,2023-02-10,Mittelmeermöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich,2023-02-10,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich Hafen Tiefenbrunnen,2023-02-10,Lachmöwe,Totfund Einzeltier,negativ,,
BL,Gewässer,2023-02-13,Weisskopfmöwe,Totfund Einzeltier,negativ,,
ZH,Küsnacht ,2023-02-13,Rotmilan,Totfund Einzeltier,negativ,,
ZH,Schwerzenbach,2023-02-13,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Zürich ,2023-02-13,Mäusebussard,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Schwerzenbach,2023-02-13,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich,2023-02-13,Lachmöwe,Lebendfang klinisch krank,negativ,,
ZH,Zürich ,2023-02-13,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich ,2023-02-13,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Küsnacht ,2023-02-13,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, Wollishofen",2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich ,2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,Gondisbach,2023-02-13,Graureiher,Lebendfang klinisch krank,negativ,,
ZH,Zürich,2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich ,2023-02-13,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,"Zürich, Wollishofen",2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,"Postunewald, Weggis",2023-02-13,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Zürich, Wollishofen",2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich ,2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, Wollishofen",2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, Wollishofen",2023-02-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Kilchberg (Hafen Mönchhof),2023-02-14,Seeschwalbe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich (Hafen Horn),2023-02-14,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Kilchberg (Hafen Mönchhof),2023-02-14,Seeschwalbe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich (Anlagestelle Bürkliplatz),2023-02-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,Lausanne,2023-02-14,Lachmöwe,Totfund Einzeltier,negativ,,
BE,"Badeplattform, Bieler Strandbad",2023-02-14,Möwe,Totfund Einzeltier,negativ,,
BE,"Vogelinsel, Bieler Strandboden",2023-02-14,Ente,Totfund Einzeltier,negativ,,
ZH,Zürich (Hafen Riesbach),2023-02-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,"Döttingen, Gewerbestrasse 1",2023-02-16,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
SG,"St. Gallen, Engelstrasse  ",2023-02-16,Aaskrähe,Totfund Einzeltier,negativ,,
SG,"Obersteinach,Schulstrasse",2023-02-16,Reiherente,Lebendfang klinisch krank,negativ,,
BS,"Basel, Riehenstrasse",2023-02-16,Lachmöwe,Totfund Einzeltier,negativ,,
TG,"Ermatingen, oberhalb Hafen",2023-02-17,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZG,,2023-02-18,Krähen/Raben,Totfund Einzeltier,negativ,,
ZG,Badi Casino Zug  ,2023-02-18,Möwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZG,Badi Casino Zug  ,2023-02-18,Möwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZG,Badi Casino Zug  ,2023-02-18,Möwe,Totfund Einzeltier,negativ,,
SH,Schaffhausen (Kraftwerk)  ,2023-02-20,Graureiher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Schaffhausen (Kraftwerk)  ,2023-02-20,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,"Kaisten, Leimhof   ",2023-02-20,Möwe,Totfund Einzeltier,negativ,,
LU,"Luzern, Werftstrasse Zweittupfer: 1. Tupfer von lebendem Vogel -> wenig Material Zweittupfer von euthanasiertem Vogel mit mehr Material gleicher Vogel wie V 0161",2023-02-21,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Landschlacht, Badifloss, Seeweg",2023-02-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"8216 Oberhallau Dorfstrasse Dorfausgang Richtung Hallau, wo Klingengraben unter der Strasse durch geht. 4 tote Enten im Bach unter der Brücke",2023-02-21,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"8216 Oberhallau Dorfstrasse Dorfausgang Richtung Hallau, wo Klingengraben unter der Strasse durch geht. 4 tote Enten im Bach unter der Brücke",2023-02-21,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Landschlacht, Badifloss, Seeweg",2023-02-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"8216 Oberhallau Dorfstrasse Dorfausgang Richtung Hallau, wo Klingengraben unter der Strasse durch geht. 4 tote Enten im Bach unter der Brücke",2023-02-21,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"8216 Oberhallau Dorfstrasse Dorfausgang Richtung Hallau, wo Klingengraben unter der Strasse durch geht. 4 tote Enten im Bach unter der Brücke",2023-02-21,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
BL,"Basel Kraftwerk, total 8 Lachmöwen angeschwemmt",2023-02-22,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
BL,"Basel Kraftwerk, total 8 Lachmöwen angeschwemmt",2023-02-22,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
TI,"Ligornetto, Via L. Vela Campro Sportivo",2023-02-22,Graureiher,Totfund Einzeltier,negativ,,
ZG,Auslauf Eslenbach Zugersee,2023-02-22,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZG,Uferzone Choller - Brüggli,2023-02-22,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Schaffhausen (Kraftwerk)  ,2023-02-22,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Unterengstringen, Limmatschanzenweg",2023-02-22,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BL,"Basel Kraftwerk, total 8 Lachmöwen angeschwemmt",2023-02-22,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Wädenswil, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Wädenswil, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Wädenswil, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Meilen, See Ufernähe",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Meilen, See Ufernähe",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Küsnacht, Seestrasse 246, Strandbad",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Seestrasse 246, Strandbad",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Kilchberg, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Kilchberg, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,Coinsins au centre de soins Vauxlierre,2023-02-23,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,"Basel, Steinenring 50  ",2023-02-23,Nebelkrähe,Totfund Einzeltier,negativ,,
ZH,"Meilen, See Ufernähe",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Kilchberg, Ufernähe See",2023-02-23,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, Limmatquai, Limmat bei Rudolf-Brun-Brücke",2023-02-24,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"Neuhausen,Chlaffental, unterhalb Friedhof",2023-02-24,Mäusebussard,Totfund Einzeltier,negativ,,
VD,keine Angabe,2023-02-24,Mäusebussard,Totfund Einzeltier,negativ,,
FR,"Lac de Morat, Morat",2023-02-24,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
