Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2022,Livestock,Sulfonamides,No,5350.39
2018,Species,Active substance class,No,30617.38
2023,Species,Sulfonamides,No,5385.66
2017,Livestock,Sulfonamides,No,10180.52
2024,Species,Sulfonamides,No,5116.58
2016,Species,Tetracyclines,No,8177.02
2015,Species,Tetracyclines,No,8683.29
2022,Species,Tetracyclines,No,4860.55
2022,Livestock,Tetracyclines,No,4845.99
2023,Species,Active substance class,No,23550.31
2020,Livestock,Tetracyclines,No,6818.44
2023,Livestock,Tetracyclines,No,5168.23
2023,Species,Tetracyclines,No,5185.22
2021,Pet,Active substance class,No,854.17
2017,Species,Tetracyclines,No,6856.08
2016,Livestock,Tetracyclines,No,8172.19
2019,Livestock,Tetracyclines,No,6221.78
2024,Pet,Tetracyclines,No,16.22
2018,Species,Tetracyclines,No,7218.3
2023,Livestock,Active substance class,No,22854.35
2017,Species,Active substance class,No,30903.2
2024,Livestock,Tetracyclines,No,5106.71
2019,Pet,Tetracyclines,No,4.72
2015,Species,Active substance class,No,38934.83
2015,Livestock,Tetracyclines,No,8678.8
2022,Livestock,Active substance class,No,23432.35
2020,Species,Tetracyclines,No,6823.4
2021,Pet,Polymyxins,No,0.45
2016,Livestock,Polymyxins,No,372.03
2023,Species,Polymyxins,No,33.47
2021,Species,Trimethoprim,No,676.06
2020,Species,Active substance class,No,27562.27
2017,Pet,Polymyxins,No,0.24
2021,Species,Tetracyclines,No,5793
2021,Livestock,Trimethoprim,No,676.06
2018,Pet,Tetracyclines,No,4.34
2021,Species,Active substance class,No,27193.56
2019,Species,Polymyxins,No,206.48
2016,Pet,Polymyxins,No,0.36
2019,Livestock,Active substance class,No,27934.13
2015,Pet,Polymyxins,No,0.4
2019,Pet,Polymyxins,No,0.54
2024,Species,Trimethoprim,No,555.09
2021,Livestock,Active substance class,No,26339.39
2018,Livestock,Polymyxins,No,234.17
2022,Livestock,Trimethoprim,No,510.27
2017,Livestock,Active substance class,No,30144.32
2020,Pet,Active substance class,No,756.05
2019,Species,Trimethoprim,No,582.43
2017,Species,Sulfonamides,No,10180.52
2021,Livestock,Sulfonamides,No,7147.73
2019,Species,Sulfonamides,No,8406.4
2018,Pet,Active substance class,No,719.51
2022,Species,Sulfonamides,No,5350.39
2016,Livestock,Sulfonamides,No,13130.27
2022,Species,Active substance class,No,24207.25
2021,Species,Sulfonamides,No,7147.73
2024,Species,Tetracyclines,No,5122.93
2015,Livestock,Active substance class,No,38176.21
2020,Species,Sulfonamides,No,6696.51
2023,Pet,Active substance class,No,695.96
2016,Species,Polymyxins,No,372.39
2020,Livestock,Active substance class,No,26806.22
2022,Livestock,Polymyxins,No,43.63
2021,Livestock,Tetracyclines,No,5787.2
2018,Pet,Polymyxins,No,0.51
2024,Pet,Active substance class,No,648.15
2019,Species,Tetracyclines,No,6226.5
2015,Species,Sulfonamides,No,14958.95
2018,Livestock,Sulfonamides,No,9291.97
2017,Livestock,Tetracyclines,No,6851.41
2024,Pet,Amphenicols,No,12.8
2021,Pet,Amphenicols,No,78.63
2020,Pet,Amphenicols,No,38.28
2015,Livestock,Amphenicols,No,199.41
2019,Pet,Amphenicols,No,41.73
2024,Livestock,Other¹,No,35.09
2020,Pet,Other¹,No,77.6
2015,Livestock,Cephalosporins 1st/2nd generation,No,67.47
2015,Pet,Amphenicols,No,17.13
2018,Pet,Amphenicols,No,35.83
2015,Pet,Other¹,No,29.76
2016,Pet,Cephalosporins 1st/2nd generation,No,234.1
2023,Pet,Cephalosporins 1st/2nd generation,No,140.49
2016,Species,Cephalosporins 1st/2nd generation,No,298.14
2022,Livestock,Other¹,No,25.62
2018,Pet,Cephalosporins 1st/2nd generation,No,195.05
2015,Species,Amphenicols,No,216.54
2021,Livestock,Amphenicols,No,607.76
2016,Livestock,Cephalosporins 1st/2nd generation,No,64.04
2019,Livestock,Other¹,No,129.57
2024,Livestock,Cephalosporins 1st/2nd generation,No,136.54
2017,Species,Amphenicols,No,378.32
2024,Species,Other¹,No,124.13
2018,Pet,Other¹,No,26.73
2023,Livestock,Other¹,No,32.5
2016,Species,Amphenicols,No,272.97
2021,Livestock,Other¹,No,26.59
2015,Species,Cephalosporins 1st/2nd generation,No,322.33
2023,Livestock,Cephalosporins 1st/2nd generation,No,108.88
2018,Livestock,Amphenicols,No,463.05
2023,Pet,Other¹,No,108.95
2024,Pet,Other¹,No,89.04
2021,Species,Amphenicols,No,686.39
2019,Species,Amphenicols,No,570.69
2019,Species,Other¹,No,176.98
2017,Livestock,Other¹,No,181.11
2022,Pet,Amphenicols,No,49.79
2018,Species,Amphenicols,No,498.88
2019,Pet,Other¹,No,47.41
2024,Species,Amphenicols,No,775.62
2016,Livestock,Other¹,No,152.31
2020,Species,Amphenicols,No,612.24
2022,Species,Amphenicols,No,777.24
2015,Species,Other¹,No,226.67
2017,Species,Other¹,No,210.11
2022,Species,Other¹,No,153.24
2023,Species,Amphenicols,No,736.02
2019,Livestock,Amphenicols,No,528.96
2022,Pet,Cephalosporins 1st/2nd generation,No,143.96
2017,Species,Cephalosporins 1st/2nd generation,No,278.93
2020,Pet,Cephalosporins 1st/2nd generation,No,178
2024,Species,Cephalosporins 1st/2nd generation,No,256.95
2017,Pet,Amphenicols,No,37.64
2021,Livestock,Cephalosporins 1st/2nd generation,No,85.15
2016,Pet,Amphenicols,No,28.86
2024,Livestock,Amphenicols,No,762.82
2019,Species,Cephalosporins 1st/2nd generation,No,249.06
2023,Livestock,Amphenicols,No,716.35
2020,Livestock,Other¹,No,118.2
2022,Livestock,Cephalosporins 1st/2nd generation,No,86.34
2017,Livestock,Amphenicols,No,340.68
2019,Pet,Cephalosporins 1st/2nd generation,No,171.41
2016,Pet,Other¹,No,29.59
2021,Livestock,Aminoglycosides,No,2495.76
2018,Livestock,Aminoglycosides,No,2513.43
2016,Species,Other¹,No,181.9
2015,Livestock,Other¹,No,196.91
2020,Livestock,Aminoglycosides,No,2495.01
2018,Species,Other¹,No,151.58
2017,Livestock,Aminoglycosides,No,2461.87
2023,Species,Cephalosporins 1st/2nd generation,No,249.37
2018,Livestock,Other¹,No,124.85
2016,Livestock,Aminoglycosides,No,2987.65
2017,Pet,Cephalosporins 1st/2nd generation,No,211.12
2023,Species,Other¹,No,141.45
2021,Pet,Other¹,No,128.37
2021,Species,Cephalosporins 1st/2nd generation,No,246.71
2020,Species,Other¹,No,195.8
2024,Livestock,Aminoglycosides,No,1934.96
2016,Livestock,Penicillins,No,9248.71
2015,Livestock,Aminoglycosides,No,3094.83
2017,Livestock,Penicillins,No,9142.89
2020,Species,Penicillins,No,9755.04
2023,Livestock,Aminoglycosides,No,2041.12
2020,Livestock,Penicillins,No,9317.8
2018,Livestock,Penicillins,No,9375.24
2024,Livestock,Penicillins,No,8486.91
2019,Species,Aminoglycosides,No,2464.68
2019,Livestock,Aminoglycosides,No,2456.24
2021,Livestock,Penicillins,No,9431.16
2019,Livestock,Penicillins,No,9325.16
2023,Livestock,Penicillins,No,8848.03
2015,Livestock,Penicillins,No,9573.49
2022,Livestock,Aminoglycosides,No,2250.37
2018,Species,Aminoglycosides,No,2522.62
2020,Species,Cephalosporins 1st/2nd generation,No,255.31
2017,Pet,Other¹,No,29
2016,Livestock,Amphenicols,No,244.11
2016,Pet,Aminoglycosides,No,9.52
2015,Pet,Cephalosporins 1st/2nd generation,No,254.86
2024,Pet,Cephalosporins 1st/2nd generation,No,120.41
2022,Species,Cephalosporins 1st/2nd generation,No,230.3
2015,Pet,Aminoglycosides,No,9.26
2022,Pet,Other¹,No,127.62
2023,Pet,Amphenicols,No,19.67
2021,Species,Other¹,No,154.96
2021,Pet,Cephalosporins 1st/2nd generation,No,161.56
2017,Livestock,Cephalosporins 1st/2nd generation,No,67.81
2022,Livestock,Amphenicols,No,727.45
2019,Livestock,Cephalosporins 1st/2nd generation,No,77.65
2020,Species,Aminoglycosides,No,2514.54
2019,Pet,Aminoglycosides,No,8.44
2018,Livestock,Cephalosporins 1st/2nd generation,No,73.28
2020,Livestock,Amphenicols,No,573.96
2020,Livestock,Cephalosporins 1st/2nd generation,No,77.31
2017,Pet,Aminoglycosides,No,9.13
2018,Species,Cephalosporins 1st/2nd generation,No,268.33
2023,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,38.87
2024,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,39.72
2019,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,5.79
2020,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,5.65
2015,Livestock,Active substance class,Yes,3161.24
2024,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,4.94
2022,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,47.52
2019,Livestock,Active substance class,Yes,1399.6
2023,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,5.44
2023,Livestock,Active substance class,Yes,818.55
2019,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,72.45
2020,Pet,Active substance class,Yes,36.61
2017,Species,Active substance class,Yes,1923.19
2019,Pet,Active substance class,Yes,40.81
2023,Pet,Active substance class,Yes,29.95
2018,Pet,Active substance class,Yes,43.88
2016,Pet,Active substance class,Yes,48.93
2018,Species,Active substance class,Yes,1779.68
2021,Pet,Active substance class,Yes,40.33
2024,Species,Active substance class,Yes,683.57
2024,Livestock,Active substance class,Yes,656.8
2018,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,94.46
2022,Pet,Active substance class,Yes,34.07
2020,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,58.8
2024,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,44.66
2017,Livestock,Active substance class,Yes,1875.89
2020,Species,Active substance class,Yes,1308.56
2015,Pet,Active substance class,Yes,51.09
2017,Pet,Active substance class,Yes,47.3
2016,Livestock,Active substance class,Yes,2375.32
2018,Pet,Macrolides ᶜʳⁱᵗ,Yes,18.99
2020,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,177.91
2016,Species,Macrolides ᶜʳⁱᵗ,Yes,1987.83
2018,Livestock,Active substance class,Yes,1735.8
2024,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,134.85
2018,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,18.68
2024,Livestock,Macrolides ᶜʳⁱᵗ,Yes,493.19
2019,Species,Macrolides ᶜʳⁱᵗ,Yes,1182.86
2022,Species,Macrolides ᶜʳⁱᵗ,Yes,546.54
2018,Livestock,Macrolides ᶜʳⁱᵗ,Yes,1463.24
2015,Pet,Macrolides ᶜʳⁱᵗ,Yes,21.76
2017,Livestock,Macrolides ᶜʳⁱᵗ,Yes,1573.77
2018,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,184.31
2021,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,186.04
2023,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,12.06
2017,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,206.64
2023,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,149.93
2019,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,16.44
2020,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,162.76
2021,Livestock,Active substance class,Yes,1048.68
2021,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,17.02
2022,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,13.48
2015,Species,Active substance class,Yes,3212.33
2015,Species,Macrolides ᶜʳⁱᵗ,Yes,2632.2
2015,Livestock,Macrolides ᶜʳⁱᵗ,Yes,2610.44
2021,Pet,Macrolides ᶜʳⁱᵗ,Yes,17.53
2016,Pet,Macrolides ᶜʳⁱᵗ,Yes,20.79
2017,Pet,Macrolides ᶜʳⁱᵗ,Yes,19.96
2024,Pet,Macrolides ᶜʳⁱᵗ,Yes,10.87
2019,Pet,Macrolides ᶜʳⁱᵗ,Yes,18.58
2020,Pet,Macrolides ᶜʳⁱᵗ,Yes,15.81
2024,Species,Macrolides ᶜʳⁱᵗ,Yes,504.06
2022,Livestock,Macrolides ᶜʳⁱᵗ,Yes,531.42
2017,Species,Macrolides ᶜʳⁱᵗ,Yes,1593.73
2016,Livestock,Macrolides ᶜʳⁱᵗ,Yes,1967.04
2023,Species,Macrolides ᶜʳⁱᵗ,Yes,654.26
2018,Species,Macrolides ᶜʳⁱᵗ,Yes,1482.23
2022,Pet,Macrolides ᶜʳⁱᵗ,Yes,15.12
2020,Livestock,Macrolides ᶜʳⁱᵗ,Yes,1056.04
2020,Species,Macrolides ᶜʳⁱᵗ,Yes,1071.85
2023,Pet,Macrolides ᶜʳⁱᵗ,Yes,12.45
2021,Livestock,Macrolides ᶜʳⁱᵗ,Yes,826.03
2021,Species,Macrolides ᶜʳⁱᵗ,Yes,843.56
2019,Livestock,Macrolides ᶜʳⁱᵗ,Yes,1164.28
2023,Livestock,Macrolides ᶜʳⁱᵗ,Yes,641.81
2015,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,6.66
2015,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,173.13
2016,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,126.1
2024,Pet,Active substance class,Yes,26.77
2020,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,53.15
2016,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,6.62
2021,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,59.41
2021,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,5.78
2022,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,52.99
2022,Species,Active substance class,Yes,746.72
2022,Livestock,Active substance class,Yes,712.65
2018,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,88.25
2017,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,101.57
2015,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,166.47
2017,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,6.09
2019,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,66.66
2017,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,95.48
2018,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,6.21
2016,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,132.72
2019,Species,Active substance class,Yes,1440.41
2022,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,5.47
2023,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,44.31
2021,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,Yes,53.63
2019,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,185.1
2024,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,123.89
2021,Species,Active substance class,Yes,1089.01
2022,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,147.19
2020,Livestock,Active substance class,Yes,1271.95
2023,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,137.87
2016,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,303.7
2017,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,227.89
2019,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,168.66
2022,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,133.71
2015,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,384.33
2015,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,22.67
2023,Species,Active substance class,Yes,848.5
2020,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,15.15
2021,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,169.02
2018,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,202.99
2016,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,21.52
2016,Livestock,Fluoroquinolones ᶜʳⁱᵗ,Yes,282.18
2016,Species,Active substance class,Yes,2424.25
2015,Species,Fluoroquinolones ᶜʳⁱᵗ,Yes,407
2017,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,21.25
2024,Pet,Fluoroquinolones ᶜʳⁱᵗ,Yes,10.96
