Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2017,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,278.93
2022,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,230.3
2024,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,136.54
2018,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,73.28
2019,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,77.65
2024,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,120.41
2019,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,249.06
2021,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,161.56
2022,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,86.34
2015,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,254.86
2020,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,178
2023,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,108.88
2020,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,77.31
2016,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,298.14
2021,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,85.15
2016,Species,Other¹,All types of active ingredients,181.9
2018,Species,Other¹,All types of active ingredients,151.58
2019,Pet,Other¹,All types of active ingredients,47.41
2022,Pet,Other¹,All types of active ingredients,127.62
2024,Livestock,Other¹,All types of active ingredients,35.09
2016,Livestock,Other¹,All types of active ingredients,152.31
2024,Species,Other¹,All types of active ingredients,124.13
2018,Livestock,Other¹,All types of active ingredients,124.85
2022,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,143.96
2018,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,268.33
2016,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,64.04
2020,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,255.31
2024,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,256.95
2017,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,67.81
2023,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,249.37
2017,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,211.12
2022,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,5.47
2018,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,6.21
2020,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,53.15
2017,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,95.48
2018,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,94.46
2023,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,44.31
2022,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,47.52
2019,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,66.66
2015,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,6.66
2017,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,101.57
2022,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,52.99
2020,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,58.8
2016,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,132.72
2020,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,5.65
2016,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,126.1
2021,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,53.63
2023,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,140.49
2015,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,67.47
2021,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,5.78
2018,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,88.25
2021,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,246.71
2018,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,195.05
2016,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,234.1
2019,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,171.41
2024,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,39.72
2019,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,72.45
2024,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,4.94
2023,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,38.87
2019,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,5.79
2015,Livestock,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,166.47
2017,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,6.09
2016,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,6.62
2024,Livestock,Tetracyclines,All types of active ingredients,5106.71
2021,Livestock,Tetracyclines,All types of active ingredients,5787.2
2015,Pet,Tetracyclines,All types of active ingredients,4.49
2020,Livestock,Tetracyclines,All types of active ingredients,6818.44
2023,Livestock,Tetracyclines,All types of active ingredients,5168.23
2024,Pet,Tetracyclines,All types of active ingredients,16.22
2024,Species,Tetracyclines,All types of active ingredients,5122.93
2017,Pet,Tetracyclines,All types of active ingredients,4.67
2022,Livestock,Tetracyclines,All types of active ingredients,4845.99
2015,Livestock,Tetracyclines,All types of active ingredients,8678.8
2016,Pet,Tetracyclines,All types of active ingredients,4.83
2022,Species,Tetracyclines,All types of active ingredients,4860.55
2023,Pet,Tetracyclines,All types of active ingredients,16.99
