Code,NAME DE,NAME FR,NAME IT,NAME EN
1,Risiko unbedeutend,Risque négligeable,Rischio irrilevante,Insignificant risk
2,Risiko klein,Risque faible,Rischio basso,Small risk
3,Risiko erheblich,Risque important,Rischio significativo,Significant risk
4,Risiko gross,Risque élevé,Rischio elevato,High risk
