Kanton CODE,Kampagne CODE,Erhebungsgrund CODE,Betriebskategorie CODE,Produktionsland CODE,Ursprungsland CODE,Produktionsmethode CODE,Probe ID,Datum Probenahme,Jahr,Probenbezugsteil CODE,PAID,MAID,Matrix Descriptor CODE,Ergebnis quantitativ,Einheit CODE,Ergebnis qualitativ,Ergebnisbewertung CODE,LOQ,LOD
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,828-39,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,368-61,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,619-84,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,12650-75,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,20793-90,6504-83,,,mg/kg,<LOQ,NB,0.002,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,211-47,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,821-60,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,20792-93,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,214-38,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,1755-71,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1187-29,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,6067-36,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1156-25,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,5976-18,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,183-34,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,1120-36,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,6043-11,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,430-69,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,759-52,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1141-70,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1323-09,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,986-50,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,1447-25,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,427-78,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1856-59,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,6303-07,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1129-09,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,11-65,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1155-28,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1139-76,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,1416-21,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,748-85,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1120-36,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,6214-80,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1171-77,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,6046-02,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,682-89,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,380-25,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,80-52,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,9222-77,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,284-22,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,702-29,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1433-67,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1007-84,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,736-24,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,248-33,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,12650-75,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,1442-40,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1354-13,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1155-28,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1984-63,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1207-66,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1155-28,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1874-05,8677-63,,28.0,mg/kg,,K,,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,759-52,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,6043-11,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,214-38,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1354-13,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,11087-11,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,6214-80,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,6276-88,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1111-63,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1684-90,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1080-59,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,747-88,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,20787-11,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,543-21,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1332-79,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,978-74,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,5930-59,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,418-08,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,984-56,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,304-59,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,709-08,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,336-60,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,208-56,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,1191-17,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,1279-44,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,145-51,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,908-90,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,908-90,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,826-45,9343-05,,,mg/kg,<LOQ,K,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,6047-96,9343-05,,,mg/kg,<LOQ,NB,0.1,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,604-32,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,733-33,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,999-11,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,6261-36,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,6261-36,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,6256-51,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,736-24,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,6064-45,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,837-12,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,984-56,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,543-21,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,6046-02,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,6047-96,9343-05,,,mg/kg,<LOQ,NB,0.1,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1543-28,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1171-77,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,1311-45,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,1215-42,6504-83,,,mg/kg,<LOQ,NB,0.01,
