Kanton CODE,Kampagne CODE,Erhebungsgrund CODE,Betriebskategorie CODE,Produktionsland CODE,Ursprungsland CODE,Produktionsmethode CODE,Probe ID,Datum Probenahme,Jahr,Probenbezugsteil CODE,PAID,MAID,Matrix Descriptor CODE,Ergebnis quantitativ,Einheit CODE,Ergebnis qualitativ,Ergebnisbewertung CODE,LOQ,LOD
AG,101,M2,C302,TR,,1.0,65067,2023-06-05,2023,,1003-96,6514-53,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,B501,CH,,1.0,61528,2023-01-10,2023,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,SGA,,1.0,65110,2023-06-08,2023,,1003-96,6443-72,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C301,CH,,1.0,64113,2023-04-12,2023,,1003-96,4791-81,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C201,PL,,1.0,65187,2023-06-14,2023,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C203,CH,,1.0,64300,2023-04-25,2023,,1003-96,6236-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,61527,2023-01-10,2023,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,TH,,1.0,67431,2023-09-11,2023,,1003-96,7216-81,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B601,TH,,1.0,67429,2023-09-11,2023,,1003-96,8681-51,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C201,SGA,,1.0,65197,2023-06-14,2023,,1003-96,6504-83,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C201,CH,,1.0,64277,2023-04-24,2023,,1003-96,6236-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,DE,,1.0,65024,2023-06-01,2023,,1003-96,9532-20,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,B601,TH,,1.0,67428,2023-09-11,2023,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C204,TR,,1.0,65338,2023-06-22,2023,,1003-96,4810-24,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C106,PK,,1.0,65164,2023-06-12,2023,,1003-96,13124-11,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,B501,CH,,4.0,61775,2023-01-11,2023,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,TH,,1.0,68016,2023-09-27,2023,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,SGA,,1.0,65105,2023-06-08,2023,,1003-96,13808-93,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C401,TH,,1.0,68015,2023-09-27,2023,,1003-96,19204-07,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C201,EG,,1.0,65399,2023-06-28,2023,,1003-96,6516-47,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C302,TR,,1.0,65068,2023-06-05,2023,,1003-96,6512-59,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,B501,CH,,1.0,61561,2023-01-11,2023,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,67527,2023-09-18,2023,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,61559,2023-01-11,2023,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
ZH,101,M2,C302,TR,TR,6.0,OFgKKlOX9xPPd5nFKAYCU+cdE9cPFREKb5uBYxNntEE=,2023-11-23,2023,,1003-96,4759-80,,0.001,mg/kg,,K,,
AG,101,M2,C202,EG,,1.0,65106,2023-06-08,2023,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.05,
AG,101,M2,C202,CH,,1.0,64156,2023-04-17,2023,,1003-96,6236-14,,,mg/kg,<LOQ,NB,0.01,
