Kanton CODE,Kampagne CODE,Erhebungsgrund CODE,Betriebskategorie CODE,Produktionsland CODE,Ursprungsland CODE,Produktionsmethode CODE,Probe ID,Datum Probenahme,Jahr,Probenbezugsteil CODE,PAID,MAID,Matrix Descriptor CODE,Ergebnis quantitativ,Einheit CODE,Ergebnis qualitativ,Ergebnisbewertung CODE,LOQ,LOD
RK,101,M2,C106,IN,IN,1,01F9E66D-B788-4113-B3BF-A5B51EE9B9B2,2025-01-02,2025,,25249-11,8160-62,,,mg/kg,<LOQ,K,0.02,
SG,102,M2,C202,CH,,6,11835F64-AAB2-457A-B00B-B3874AC795BD,2025-01-06,2025,,5937-38,36602-96,,,µg/kg,<LOD,NB,,
SG,102,M2,C202,CH,,6,11835F64-AAB2-457A-B00B-B3874AC795BD,2025-01-06,2025,,1947-77,36602-96,,,µg/kg,<LOD,K,,
SG,102,M2,C202,CH,,6,11835F64-AAB2-457A-B00B-B3874AC795BD,2025-01-06,2025,,1934-19,36602-96,,,µg/kg,<LOD,K,,
SG,102,M2,C202,CH,,6,11835F64-AAB2-457A-B00B-B3874AC795BD,2025-01-06,2025,,1935-16,36602-96,,,µg/kg,<LOD,K,,
SG,102,M2,C202,CH,,6,11835F64-AAB2-457A-B00B-B3874AC795BD,2025-01-06,2025,,1950-68,36602-96,,,µg/kg,<LOD,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,5937-38,36987-08,,1.3,µg/kg,,K,,
GR,102,M2,C202,CH,,1,632661,2025-01-07,2025,,1947-77,37033-64,,,,<LOD,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,1947-77,36987-08,,,,<LOD,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,1935-16,36987-08,,137.0,µg/kg,,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,1934-19,36987-08,,,,<LOD,K,,
GR,102,M2,C202,CH,,1,632661,2025-01-07,2025,,1934-19,37033-64,,,,<LOD,K,,
GR,102,M2,C202,CH,,1,632661,2025-01-07,2025,,2224-22,37033-64,,,,<LOD,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,1950-68,36987-08,,,,<LOD,K,,
GR,102,M2,C202,CH,,1,632661,2025-01-07,2025,,1935-16,37033-64,,15.0,µg/kg,,K,,
GR,102,M2,C202,CH,,1,632661,2025-01-07,2025,,5937-38,37033-64,,,,<LOD,K,,
GR,102,M2,D102,IT,,1,632660,2025-01-07,2025,,2224-22,36987-08,,,,<LOD,K,,
