Code,NAME DE,NAME FR,NAME IT,NAME EN
1,Konventionell,Conventionnelle,Convenzionale ,Conventional
4,Bio,Bio ,Biologico,Organic production
5,IP,IP,produzione integrata,Integrated production
6,Nicht bekannt,Inconnue,Non noto,Production method unknown
7,Bodenhaltung,Elevage au sol,Allevamento al suolo,Floor management
8,Umstellungsbetrieb,Exploitation en conversion,Azienda in conversione,Establishment in process of converting
9,Wild gewachsen,Sauvage,Selvatico,Wild
