Kanton CODE,Kampagne CODE,Erhebungsgrund CODE,Betriebskategorie CODE,Produktionsland CODE,Ursprungsland CODE,Produktionsmethode CODE,Probe ID,Datum Probenahme,Jahr,Probenbezugsteil CODE,PAID,MAID,Matrix Descriptor CODE,Ergebnis quantitativ,Einheit CODE,Ergebnis qualitativ,Ergebnisbewertung CODE,LOQ,LOD
AG,101,M2,C202,CH,,1.0,58874,2022-08-24,2022,,1003-96,4731-67,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C204,TR,,1.0,58645,2022-08-16,2022,,1003-96,7103-32,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,56011,2022-04-11,2022,,1003-96,19186-61,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,CO,,1.0,58621,2022-08-15,2022,,1003-96,7217-78,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,CR,,1.0,58961,2022-08-30,2022,,1003-96,7219-72,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,EC,,1.0,58878,2022-08-24,2022,,1003-96,7219-72,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,CH,,1.0,54026,2022-02-08,2022,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,CH,,1.0,57445,2022-06-28,2022,,1003-96,4752-04,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,TH,,1.0,55921,2022-04-04,2022,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,56013,2022-04-11,2022,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,LK,,1.0,56104,2022-04-19,2022,,1003-96,4759-80,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,54123,2022-02-14,2022,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,TH,,1.0,56144,2022-04-25,2022,,1003-96,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,SN,,1.0,58622,2022-08-15,2022,,1003-96,7214-87,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C106,TH,,1.0,56096,2022-04-19,2022,,1003-96,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C302,CH,,1.0,57255,2022-06-14,2022,,1003-96,4796-66,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,54062,2022-02-09,2022,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C202,ES,,1.0,58623,2022-08-15,2022,,1003-96,7216-81,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C203,BR,,1.0,58699,2022-08-18,2022,,1003-96,7195-47,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,54120,2022-02-14,2022,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,B501,CH,,1.0,54126,2022-02-14,2022,,1003-96,4781-14,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C203,IL,,1.0,58700,2022-08-18,2022,,1003-96,7214-87,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C302,TH,,1.0,55927,2022-04-04,2022,,1003-96,9343-05,,,mg/kg,<LOQ,NB,0.01,
