Code,NAME DE,NAME FR,NAME IT,NAME EN
1,Kontrollbereich Selbstkontrollkonzept ,Domaine de contrôle Concept d’autocontrôle ,Ambito di controllo modello di autocontrollo,Control area Self-monitoring concept
2,Kontrollbereich Lebensmittel,Domaine de contrôle Denrées alimentaires,Ambito di controllo Derrate alimentari,Control area Foodstuffs
3,Kontrollbereich Prozesse und Tätigkeiten,Domaine de contrôle Processus et activités,Ambito di controllo Processi e attività,Control area Processes and activities
4,Kontrollbereich Räumlich-betriebliche Voraussetzungen,Domaine de contrôle Exigences concernant les locaux et l’exploitation,Ambito di controllo Requisiti per i locali e l’azienda,Control area Physical and operational conditions
5,"Kontrollbereich Überblick, Management und Täuschung","Domaine de contrôle Vue d’ensemble, gestion et tromperie","Ambito di controllo Visione generale, gestione e inganni","Control area Overview, management and fraud/deception"
