Code,NAME DE,NAME FR,NAME IT,NAME EN
<LOQ,Kleiner als Bestimmungsgrenze,Inférieur à la limite de quantification,Inferiore al limite di quantificazione,Non Quantified Value
<LOD,Nicht nachweisbar,Non détectable,Non rilevabile,Non Detected Value
>ROQ,Oberhalb Messbereich,Supérieur à la zone de mesure ,Sopra l’intervallo di misurazione,Beyond range of quantification
5,Unauffällig,Aucun résultat particulier à signaler,Nessuna anomalia,Non-significant
6,Auffällig,Résultat particulier à signaler,Anomalia,Significant
