Year,Canton,Species,Type of Slaughter,Origin of animal,Fitness for consumption,Count
2014,AR,Cattle < 6We,Sanitary,Abroad,No,0
2014,AR,Cattle > 6We,Normal,Inland,Yes,436
2014,AR,Cattle > 6We,Sanitary,Inland,Yes,149
2014,AR,Cattle > 6We,Normal,Abroad,Yes,0
2014,AR,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,AR,Cattle > 6We,Normal,Inland,No,1
2014,AR,Cattle > 6We,Sanitary,Inland,No,8
2014,AR,Cattle > 6We,Normal,Abroad,No,0
2014,AR,Cattle > 6We,Sanitary,Abroad,No,0
2014,AR,Equidae,Normal,Inland,Yes,60
2014,AR,Equidae,Sanitary,Inland,Yes,0
2014,AR,Equidae,Normal,Abroad,Yes,0
2014,AR,Equidae,Sanitary,Abroad,Yes,0
2014,AR,Equidae,Normal,Inland,No,0
2014,AR,Equidae,Sanitary,Inland,No,0
2014,AR,Equidae,Normal,Abroad,No,0
2014,AR,Equidae,Sanitary,Abroad,No,0
2014,AR,Goats,Normal,Inland,Yes,280
2014,AR,Goats,Sanitary,Inland,Yes,1
2014,AR,Goats,Normal,Abroad,Yes,0
2014,AR,Goats,Sanitary,Abroad,Yes,0
2014,AR,Goats,Normal,Inland,No,3
2014,AR,Goats,Sanitary,Inland,No,0
2014,AR,Goats,Normal,Abroad,No,0
2014,AR,Goats,Sanitary,Abroad,No,0
2014,AR,Sheep,Normal,Inland,Yes,546
2014,AR,Sheep,Sanitary,Inland,Yes,2
2014,AR,Sheep,Normal,Abroad,Yes,0
2014,AR,Sheep,Sanitary,Abroad,Yes,0
2014,AR,Sheep,Normal,Inland,No,0
2014,AR,Sheep,Sanitary,Inland,No,1
2014,AR,Sheep,Normal,Abroad,No,0
2014,AR,Sheep,Sanitary,Abroad,No,0
2014,AR,Swine,Normal,Inland,Yes,1787
2014,AR,Swine,Sanitary,Inland,Yes,8
2014,AR,Swine,Normal,Abroad,Yes,0
2014,AR,Swine,Sanitary,Abroad,Yes,0
2014,AR,Swine,Normal,Inland,No,8
2014,AR,Swine,Sanitary,Inland,No,0
2014,AR,Swine,Normal,Abroad,No,0
2014,AR,Swine,Sanitary,Abroad,No,0
2014,BE,Cattle < 6We,Normal,Inland,Yes,293
2014,BE,Cattle < 6We,Sanitary,Inland,Yes,18
2014,BE,Cattle < 6We,Normal,Abroad,Yes,0
2014,BE,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,BE,Cattle < 6We,Normal,Inland,No,1
2014,BE,Cattle < 6We,Sanitary,Inland,No,0
2014,BE,Cattle < 6We,Normal,Abroad,No,0
2014,BE,Cattle < 6We,Sanitary,Abroad,No,0
2014,BE,Cattle > 6We,Normal,Inland,Yes,56908
2014,BE,Cattle > 6We,Sanitary,Inland,Yes,2135
2014,BE,Cattle > 6We,Normal,Abroad,Yes,0
2014,BE,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,BE,Cattle > 6We,Normal,Inland,No,195
2014,BE,Cattle > 6We,Sanitary,Inland,No,345
2014,BE,Cattle > 6We,Normal,Abroad,No,0
2014,BE,Cattle > 6We,Sanitary,Abroad,No,0
2014,BE,Equidae,Normal,Inland,Yes,686
2014,BE,Equidae,Sanitary,Inland,Yes,25
2014,BE,Equidae,Normal,Abroad,Yes,0
2014,BE,Equidae,Sanitary,Abroad,Yes,0
2014,BE,Equidae,Normal,Inland,No,8
2014,BE,Equidae,Sanitary,Inland,No,6
2014,BE,Equidae,Normal,Abroad,No,0
2014,BE,Equidae,Sanitary,Abroad,No,0
2014,BE,Goats,Normal,Inland,Yes,9448
2014,BE,Goats,Sanitary,Inland,Yes,48
2014,BE,Goats,Normal,Abroad,Yes,0
2014,BE,Goats,Sanitary,Abroad,Yes,0
2014,BE,Goats,Normal,Inland,No,14
2014,BE,Goats,Sanitary,Inland,No,5
2014,BE,Goats,Normal,Abroad,No,0
2014,BE,Goats,Sanitary,Abroad,No,0
2014,BE,Sheep,Normal,Inland,Yes,33549
2014,BE,Sheep,Sanitary,Inland,Yes,154
2014,BE,Sheep,Normal,Abroad,Yes,0
2014,BE,Sheep,Sanitary,Abroad,Yes,0
2014,BE,Sheep,Normal,Inland,No,66
2014,BE,Sheep,Sanitary,Inland,No,23
2014,BE,Sheep,Normal,Abroad,No,0
2014,BE,Sheep,Sanitary,Abroad,No,0
2014,BE,Swine,Normal,Inland,Yes,147493
2014,BE,Swine,Sanitary,Inland,Yes,630
2014,BE,Swine,Normal,Abroad,Yes,0
2014,BE,Swine,Sanitary,Abroad,Yes,0
2014,BE,Swine,Normal,Inland,No,175
2014,BE,Swine,Sanitary,Inland,No,76
2014,BE,Swine,Normal,Abroad,No,0
2014,BE,Swine,Sanitary,Abroad,No,0
2014,BL,Cattle < 6We,Normal,Inland,Yes,29
2014,BL,Cattle < 6We,Sanitary,Inland,Yes,0
2014,BL,Cattle < 6We,Normal,Abroad,Yes,0
2014,BL,Cattle < 6We,Sanitary,Abroad,Yes,0
